State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,1787218.0,1662984.0,1811206.0,1682835.0,1487172.0,1650532.0,1673889.0,1631786.0,1660870.0,1715519.0,1625856.0,1683609.0,20073476.0
Alaska,105981.0,100834.0,109792.0,108006.0,96006.0,106913.0,116740.0,114478.0,116889.0,121832.0,116808.0,125420.0,1339699.0
Arizona,716340.0,673468.0,733304.0,645365.0,562908.0,626858.0,614986.0,594567.0,607102.0,608839.0,557090.0,583650.0,7524477.0
Arkansas,4725.0,4365.0,4752.0,5987.0,5510.0,6133.0,3786.0,3356.0,3425.0,3212.0,2677.0,2762.0,50690.0
Colorado,2939854.0,2713690.0,2968849.0,2569713.0,2384749.0,2497602.0,2525138.0,2623419.0,2527770.0,2635187.0,2480754.0,2468394.0,31335119.0
Illinois,2542297.0,2383913.0,2600489.0,2512190.0,2282987.0,2482325.0,2514380.0,2506696.0,2502433.0,2604613.0,2476060.0,2567514.0,29975897.0
Indiana,3058678.0,2838436.0,3095191.0,3018947.0,2734281.0,2986986.0,3150794.0,3141716.0,3150279.0,3220105.0,2998955.0,3083260.0,36477628.0
Kansas,22579.0,20640.0,22473.0,13729.0,11014.0,12267.0,17967.0,18180.0,18561.0,19526.0,18918.0,19523.0,215377.0
Kentucky Total,9263912.0,8671971.0,9452353.0,9133224.0,8212955.0,9020578.0,9333104.0,9229745.0,9300520.0,9472571.0,8797937.0,9170117.0,109058987.0
Eastern,6927042.0,6497636.0,7079983.0,6775665.0,6054870.0,6680391.0,6823841.0,6702010.0,6783526.0,6831045.0,6264100.0,6563976.0,79984085.0
Western,2336870.0,2174335.0,2372370.0,2357559.0,2158085.0,2340187.0,2509263.0,2527735.0,2516994.0,2641526.0,2533837.0,2606141.0,29074902.0
Louisiana,394507.0,306194.0,340932.0,236316.0,317312.0,391227.0,417876.0,390630.0,349436.0,252025.0,346065.0,308571.0,4051091.0
Maryland,207167.0,194035.0,211371.0,291910.0,273041.0,302232.0,242135.0,228236.0,231725.0,202689.0,150582.0,159458.0,2694581.0
Mississippi,281375.0,276741.0,308865.0,211444.0,305707.0,255039.0,263869.0,370685.0,279415.0,205608.0,322009.0,257685.0,3338442.0
