State,Jan,Feb,Mar,Q1,Apr,May,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Total
Alabama,1226737,1034358,984420,3245515,806571,769497,792734,2368802,817040,897925,896321,2611286,932314,913716,971382,2817412,11043015
Alaska,93322,79087,72604,245013,57927,55130,59262,172319,66439,72564,70949,209952,84091,83630,91783,259504,886788
Colorado,973685,824065,768596,2566346,617689,599703,652649,1870041,751774,830312,804747,2386833,816016,805940,814031,2435987,9259207
Illinois,3952734,3342688,3088658,10384080,2475395,2337403,2401804,7214602,2487762,2707091,2551810,7746663,2477069,2439727,2476548,7393344,32738689
Indiana,2741118,2318425,2134202,7193745,1689716,1583121,1637899,4910736,1714296,1877502,1741491,5333289,1738917,1711173,1708815,5158905,22596675
Kentucky Total,3043247,2570948,2416691,8030886,1946737,1829835,1911925,5688497,1993587,2189115,1959717,6142419,1956003,1933851,1972867,5862721,25724523
Eastern (KY),1113056,941593,875507,2930156,690475,645306,672332,2008113,689933,760815,691502,2142250,646638,638760,641800,1927198,9007717
Western (KY),1930191,1629355,1541184,5100730,1256262,1184529,1239593,3680384,1303654,1428300,1268215,4000169,1309365,1295091,1331067,3935523,16716806
Louisiana,86306,72644,75157,234107,80450,82612,99119,262181,111497,123964,107585,343046,112832,110613,87343,310788,1150122
Maryland,134809,113683,113114,361606,95500,89357,90011,274868,99247,108489,99230,306966,103808,101866,96964,302638,1246078
Mississippi,202351,170540,169161,542052,153925,146678,158052,458655,170356,189877,202250,562483,196121,195329,216100,607550,2170740
Missouri,14098,11997,11164,37259,8942,8615,9494,27051,10223,11357,11561,33141,11827,11776,12952,36555,134006
Montana,2516091,2139688,2085611,6741390,1866952,1842299,2019001,5728252,2465514,2730605,2487711,7683830,2503750,2473486,2429891,7407127,27560599
New Mexico,1519771,1282853,1207793,4010417,1006487,927336,861781,2795604,893917,983084,871067,2748068,914174,899956,931254,2745384,12299473
North Dakota,2023976,1718266,1699960,5442202,1351045,1299477,1459884,4110406,1715572,1917867,2026297,5659736,2378262,2330180,2483180,7191622,22403966
Ohio,664761,562401,540199,1767361,444627,404290,396181,1245098,393259,430226,384724,1208209,352557,346991,349470,1049018,5269686
Oklahoma,16731,14298,13519,44548,10137,9659,10125,29921,10813,12011,11272,34096,7832,7616,7440,22888,131453
Pennsylvania Total,4140188,3492124,3411827,11044139,2840116,2682428,2898196,8420740,3165020,3435567,3115228,9715815,3367220,3302752,3271476,9941448,39122142
Anthracite (PA),221208,185396,180959,587563,169172,162132,170967,502271,210996,236596,220340,667932,254641,249213,235895,739749,2497515
Bituminous (PA),3918980,3306728,3230868,10456576,2670944,2520296,2727229,7918469,2954024,3198971,2894888,9047883,3112579,3053539,3035581,9201699,36624627
Tennessee,31335,26171,25971,83477,29865,29153,30208,89226,39240,43649,41004,123893,39779,39314,39300,118393,414989
Texas,1802302,1523026,1451738,4777066,1195678,1164210,1248470,3608358,1441814,1597925,1551962,4591701,1610933,1591833,1597574,4800340,17777465
Utah,1355137,1141205,1076330,3572672,860690,795858,817044,2473592,820054,898030,900163,2618247,989265,981594,1061843,3032702,11697213
Virginia,1004913,849192,825938,2680043,699393,674539,734236,2108168,819015,902000,830292,2551307,885807,875384,860104,2621295,9960813
West Virginia Total,7731004,6518720,6280008,20529732,5284350,4992734,5209640,15486724,5586579,6119762,5689859,17396200,5660385,5568680,5536621,16765686,70178342
Northern (WV),4071934,3435117,3282856,10789907,2729859,2547666,2626374,7903899,2815916,3078178,2897763,8791857,2920321,2873849,2944816,8738986,36224649
Southern (WV),3659070,3083603,2997152,9739825,2554491,2445068,2583266,7582825,2770663,3041584,2792096,8604343,2740064,2694831,2591805,8026700,33953693
Wyoming,20968137,17761493,17529284,56258914,14759604,14022967,15008465,43791036,17513556,19314733,18738474,55566763,19460285,19234351,19418721,58113357,213730070
Appalachian Total,16046803,13538242,13056984,42642029,10890897,10287304,10823538,32001739,11609333,12698433,11748160,36055926,11988508,11787463,11767117,35543088,146242782
Interior Total,10745831,9082973,8484783,28313587,6870505,6516827,6804556,20191888,7250415,7948027,7446146,22644588,7464896,7363158,7437839,22265893,93415956
Western Total,29450119,24946657,24440178,78836954,20520394,19542770,20878086,60941250,24226826,26747195,25899408,76873429,27145843,26809137,27230703,81185683,297837316
East of Mississippi River,24873197,20999250,19990189,65862636,16466195,15539035,16260886,48266116,17285401,18901203,17511926,53698530,17709980,17428783,17499647,52638410,220465692
West of Mississippi River,31369556,26568622,25991756,83929934,21815601,20807866,22245294,64868761,25801173,28492452,27581788,81875413,28889267,28530975,28936012,86356254,317030362
Bituminous and Lignite,56021545,47382476,45800986,149205007,38112624,36184769,38335213,112632606,42875578,47157059,44873374,134906011,46344606,45710545,46199764,138254915,534998539
Anthracite,221208,185396,180959,587563,169172,162132,170967,502271,210996,236596,220340,667932,254641,249213,235895,739749,2497515
US Total,56242753,47567872,45981945,149792570,38281796,36346901,38506180,113134877,43086574,47393655,45093714,135573943,46599247,45959758,46435659,138994664,537496054
