State,Jan,Feb,Mar,Q1,Apr,May,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Total
Alabama,1200120,1165089,1262604,3627813,1140443,1229757,1212721,3582921,1143257,1249577,1116611,3509445,1226682,1168610,1202878,3598170,14318349
Alaska,68491,66945,74104,209540,71214,76043,75588,222845,85663,93725,82801,262189,87607,83527,83070,254204,948778
Arizona,491276,478886,522204,1492366,460499,486578,488108,1435185,514319,560065,512740,1587124,613520,584620,593054,1791194,6305869
Arkansas,3640,3452,3932,11024,4037,4182,4287,12506,5588,6067,5451,17106,,,,,40636
Colorado,1469739,1418130,1532632,4420501,1264300,1308417,1336331,3909048,1144480,1239987,1114762,3499229,1111631,1059413,1085576,3256620,15085398
Illinois,4110683,3991931,4343094,12445708,3914998,4193140,4160020,12268158,4007394,4369965,3916270,12293629,4050684,3858529,3936137,11845350,48852845
Indiana,2580370,2507703,2727817,7815890,2436358,2574841,2584072,7595271,2623350,2869991,2606604,8099945,2877175,2721109,2765791,8364075,31875181
Kentucky Total,3549543,3441210,3762856,10753609,3309659,3463632,3504371,10277662,3154051,3439473,3118246,9711770,3266878,3099494,3156363,9522735,40265776
Eastern (KY),1624640,1565533,1739185,4929358,1636035,1701154,1731070,5068259,1511547,1647298,1487594,4646439,1544522,1467759,1483573,4495854,19139910
Western (KY),1924903,1875677,2023671,5824251,1673624,1762478,1773301,5209403,1642504,1792175,1630652,5065331,1722356,1631735,1672790,5026881,21125866
Louisiana,202485,200889,210574,613948,118433,121607,124094,364134,86916,92446,84023,263385,93561,90440,93846,277847,1519314
Maryland,148323,142740,156842,447905,142341,148511,150840,441692,125165,136516,122551,384232,112914,107688,107860,328462,1602291
Mississippi,227914,220073,240825,688812,197289,201668,207905,606862,157147,169189,158619,484955,180769,170262,182231,533262,2313891
Missouri,19079,18514,20119,57712,17986,18981,19076,56043,20766,22677,20593,64036,22024,20892,21170,64086,241877
Montana,2550416,2475272,2732324,7758012,2713461,2912492,2891515,8517468,3482955,3824701,3449395,10757051,3648795,3482434,3485091,10616320,37648851
New Mexico,1171750,1138373,1241382,3551505,1055094,1128977,1120581,3304652,880161,954109,851271,2685541,709411,675266,673590,2058267,11599965
North Dakota,2190600,2128559,2336204,6655363,2128334,2240188,2257401,6625923,2482809,2719507,2446617,7648933,2646706,2518956,2560262,7725924,28656143
Ohio,608563,589843,653251,1851657,609852,641613,646693,1898158,766597,836489,752479,2355565,795038,754775,765889,2315702,8421082
Oklahoma,38824,37347,42232,118403,41162,42774,43588,127524,47957,47653,45993,141603,53772,51240,53115,158127,545657
Pennsylvania Total,4144029,4018910,4363573,12526512,3767784,3960354,3993287,11721425,3907772,4260795,3872650,12041217,4118050,3911726,3975716,12005492,48294646
Anthracite (PA),159502,154464,169815,483781,146252,156610,155307,458169,138481,152165,141816,432462,154519,146469,148411,449399,1823811
Bituminous (PA),3984527,3864446,4193758,12042731,3621532,3803744,3837980,11263256,3769291,4108630,3730834,11608755,3963531,3765257,3827305,11556093,46470835
Tennessee,36220,35385,38181,109786,29032,30264,30647,89943,23681,25758,23437,72876,18875,18195,18126,55196,327801
Texas,2548684,2480378,2731209,7760271,2514248,2668727,2670415,7853390,2821851,3084621,2753852,8660324,2602422,2521372,2483404,7607198,31881183
Utah,1061975,1031954,1135808,3229737,1026001,1080446,1087720,3194167,1231784,1341091,1200853,3773728,1333397,1269239,1285359,3887995,14085627
Virginia,1130589,1098105,1190561,3419255,1029571,1083162,1091046,3203779,1046915,1141971,1028935,3217821,1061046,1006335,1022100,3089481,12930336
West Virginia Total,7793215,7578660,8238570,23610445,7497263,7942294,7954396,23393953,7914936,8635227,7799476,24349639,8516450,8103684,8204580,24824714,96178751
Northern (WV),3835430,3731419,4047831,11614680,3450762,3626968,3654822,10732552,3582216,3899087,3552709,11034012,3973279,3782216,3842345,11597840,44979084
Southern (WV),3957785,3847241,4190739,11995765,4046501,4315326,4299574,12661401,4332720,4736140,4246767,13315627,4543171,4321468,4362235,13226874,51199667
Wyoming,25766110,25040022,27115030,77921162,23662944,24818576,25091066,73572586,25991470,28369305,25556987,79917762,26206980,24986203,25244543,76437726,307849236
Appalachian Total,16685699,16194265,17642767,50522731,15852321,16737109,16810700,49400130,16439870,17933631,16203733,50577234,17393577,16538772,16780722,50713071,201213166
Interior Total,11656582,11335964,12343473,35336019,10918135,11588398,11586758,34093291,11413473,12454784,11222057,35090314,11602763,11065579,11208484,33876826,138396450
Western Total,34770357,33778141,36689688,105238186,32381847,34051717,34348310,100781874,35813641,39102490,35215426,110131557,36358047,34659658,35010545,106028250,422179867
East of Mississippi River,25529569,24789649,26978174,77297392,24074590,25469236,25535998,75079824,24870265,27134951,24515878,76521094,26224561,24920407,25337671,76482639,305380949
West of Mississippi River,37583069,36518721,39697754,113799544,35077713,36907988,37209770,109195471,38796719,42355954,38125338,119278011,39129826,37343602,37662080,114135508,456408534
Bituminous and Lignite,62953136,61153906,66506113,190613155,59006051,62220614,62590461,183817126,63528503,69338740,62499400,195366643,65199868,62117540,62851340,190168748,759965672
Anthracite,159502,154464,169815,483781,146252,156610,155307,458169,138481,152165,141816,432462,154519,146469,148411,449399,1823811
US Total,63112638,61308370,66675928,191096936,59152303,62377224,62745768,184275295,63666984,69490905,62641216,195799105,65354387,62264009,62999751,190618147,761789483
