State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,1598227.0,1556987.0,1899837.0,1759950.0,1545180.0,1741505.0,1602918.0,1683055.0,1676623.0,1635411.0,1732615.0,1766061.0,20198369.0
Alaska,108318.0,109743.0,134120.0,142418.0,125976.0,143962.0,142965.0,151959.0,149911.0,137119.0,141776.0,140071.0,1628338.0
Arizona,561762.0,554449.0,677614.0,636469.0,556568.0,626084.0,557843.0,592937.0,584947.0,522539.0,539629.0,533150.0,6943991.0
Arkansas,179.0,68.0,84.0,106.0,96.0,102.0,41.0,44.0,44.0,1384.0,1501.0,1485.0,5134.0
Colorado,2529729.0,2382754.0,2827561.0,2305480.0,2183733.0,1990720.0,1608786.0,1701505.0,2180499.0,2099654.0,1871748.0,1866817.0,25548986.0
Illinois,2471154.0,2418012.0,2921949.0,2831330.0,2584958.0,2784094.0,2589020.0,2718455.0,2686716.0,2656095.0,2758217.0,2804307.0,32224307.0
Indiana,2889154.0,2796099.0,3386385.0,3375364.0,3062533.0,3279235.0,2859171.0,3002111.0,2972454.0,2837932.0,2955534.0,3006689.0,36422661.0
Kansas,20305.0,19773.0,24165.0,19643.0,16909.0,18737.0,14847.0,15780.0,15567.0,13129.0,13516.0,13353.0,205724.0
Kentucky Total,8426109.0,8272537.0,10041922.0,9501057.0,8519331.0,9369931.0,8610767.0,9041251.0,8966863.0,8626310.0,9026327.0,9187383.0,107589788.0
Eastern,5920746.0,5842199.0,7108862.0,6586902.0,5842457.0,6494142.0,5822282.0,6113356.0,6076191.0,5771575.0,6070105.0,6182777.0,73831594.0
Western,2505363.0,2430338.0,2933060.0,2914155.0,2676874.0,2875789.0,2788485.0,2927895.0,2890672.0,2854735.0,2956222.0,3004606.0,33758194.0
Louisiana,327730.0,334849.0,364778.0,144204.0,411161.0,496917.0,398381.0,308462.0,404239.0,335948.0,414949.0,396616.0,4338234.0
Maryland,139762.0,139468.0,169968.0,272700.0,251070.0,252994.0,191377.0,200947.0,199976.0,194477.0,205461.0,209357.0,2427557.0
Mississippi,263147.0,287478.0,268820.0,241852.0,350687.0,248096.0,334676.0,344668.0,300766.0,336275.0,366069.0,395761.0,3738295.0
Missouri,32918.0,32273.0,39442.0,40160.0,35394.0,39789.0,35281.0,37503.0,36997.0,35131.0,36394.0,35958.0,437240.0
Montana,3435499.0,3204861.0,3787583.0,3626048.0,3541859.0,3564980.0,3742363.0,3936421.0,4189504.0,4279838.0,3934707.0,3551115.0,44794778.0
New Mexico,1919055.0,1852384.0,2251449.0,2162975.0,1931970.0,1879158.0,1865007.0,1357865.0,2144023.0,2191540.0,2363583.0,2634376.0,24553385.0
