State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,1492365.0,1367530.0,1732785.0,1714637.0,1548387.0,1868718.0,1685941.0,1737428.0,1944123.0,1937598.0,2037429.0,2045230.0,21112171.0
Alaska,69971.0,65816.0,92530.0,83542.0,74794.0,162855.0,155046.0,154696.0,114149.0,105263.0,109936.0,106430.0,1295028.0
Arizona,980250.0,900453.0,1104317.0,1174452.0,1064166.0,1197258.0,1131022.0,1147077.0,1006942.0,960913.0,1017070.0,996549.0,12680469.0
Arkansas,921.0,823.0,693.0,664.0,677.0,1265.0,1058.0,1032.0,1130.0,991.0,934.0,606.0,10794.0
Colorado,3353455.0,3023032.0,3231307.0,3313366.0,3355865.0,3373052.0,3290989.0,3355636.0,3255994.0,3402276.0,3396369.0,3418733.0,39770074.0
Illinois,2234993.0,2085591.0,2532280.0,2822203.0,2645006.0,3103801.0,2797448.0,2837177.0,2611429.0,2604460.0,2703817.0,2684823.0,31663028.0
Indiana,2962270.0,2737480.0,3239926.0,3184887.0,2961510.0,3046696.0,2860322.0,2928038.0,2902541.0,2865754.0,2951278.0,2992727.0,35633429.0
Kansas,13401.0,12269.0,13267.0,8011.0,6698.0,9232.0,7727.0,7681.0,1044.0,0.0,0.0,8926.0,88256.0
Kentucky Total,9107905.0,8466394.0,9906533.0,9433580.0,8647939.0,9743914.0,9193583.0,9413740.0,9579322.0,9260289.0,9544948.0,9836961.0,112135108.0
Eastern,7471077.0,6943647.0,8127383.0,7769032.0,7096864.0,7940842.0,7510080.0,7675033.0,7563837.0,7251870.0,7522088.0,7540773.0,90412526.0
Western,1636828.0,1522747.0,1779150.0,1664548.0,1551075.0,1803072.0,1683503.0,1738707.0,2015485.0,2008419.0,2022860.0,2296188.0,21722582.0
Louisiana,418206.0,278267.0,345737.0,205708.0,387089.0,322811.0,380767.0,377010.0,371180.0,365808.0,335924.0,430590.0,4219097.0
Maryland,394645.0,369362.0,436103.0,447337.0,409775.0,458864.0,440222.0,450900.0,445012.0,433248.0,454084.0,456603.0,5196155.0
Mississippi,325863.0,246800.0,275733.0,267823.0,275871.0,262213.0,322602.0,285367.0,261482.0,342605.0,265068.0,302721.0,3434148.0
Missouri,40068.0,43067.0,50733.0,49774.0,45199.0,50976.0,41974.0,42344.0,43621.0,47621.0,51418.0,47186.0,553981.0
Montana,3004860.0,2807530.0,3234375.0,3124591.0,3121464.0,3058653.0,3211692.0,3300038.0,3188728.0,3331541.0,3290430.0,3450304.0,38124206.0
New Mexico,2274867.0,2096993.0,2275019.0,2217534.0,2040858.0,2295648.0,2194702.0,2245244.0,2188620.0,2084437.0,2162308.0,2392111.0,26468341.0
North Dakota,2606613.0,2393715.0,2924224.0,2720420.0,2380872.0,2712080.0,2740094.0,2787474.0,2395944.0,2285705.0,2408152.0,2334537.0,30689830.0
Ohio,1717030.0,1578914.0,1880054.0,1860295.0,1731414.0,2170903.0,2041442.0,2068633.0,1839894.0,1719347.0,1771436.0,1864608.0,22243970.0
Oklahoma,122617.0,112731.0,146036.0,155435.0,139410.0,149408.0,140646.0,144547.0,145101.0,143549.0,151362.0,151872.0,1702714.0
Pennsylvania Total,5828489.0,5393715.0,5885705.0,5498947.0,5009688.0,5734168.0,5404688.0,5520733.0,5450323.0,5171243.0,5345943.0,5333824.0,65577466.0
Anthracite,108472.0,100673.0,114789.0,103614.0,94288.0,199830.0,192222.0,198655.0,204869.0,181386.0,189915.0,159957.0,1848670.0
Bituminous,5720017.0,5293042.0,5770916.0,5395333.0,4915400.0,5534338.0,5212466.0,5322078.0,5245454.0,4989857.0,5156028.0,5173867.0,63728796.0
Tennessee,211925.0,199277.0,240823.0,233070.0,209625.0,237851.0,223974.0,232993.0,285142.0,290025.0,301935.0,310198.0,2976838.0
Texas,4149657.0,3699590.0,3974013.0,3865754.0,3854121.0,3492755.0,3632022.0,3715484.0,3456899.0,3588050.0,3507389.0,4169515.0,45105249.0
