State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Utah,2061815.0,1925571.0,1675175.0,1666899.0,1532743.0,1711083.0,1643817.0,1714969.0,2058765.0,2004186.0,2066710.0,2099763.0,22161496.0
Virginia,2438932.0,2261666.0,2690733.0,2729184.0,2550810.0,2959760.0,2828334.0,2891752.0,2831595.0,2764285.0,2846298.0,2692936.0,32486285.0
Washington,500498.0,452450.0,602846.0,643453.0,595505.0,615402.0,602772.0,607562.0,456296.0,436016.0,462242.0,354175.0,6329217.0
West Virginia Total,11860767.0,11016692.0,11973234.0,11455059.0,10585982.0,12392422.0,11975942.0,12329559.0,13175116.0,13005721.0,13367902.0,13408912.0,146547308.0
Northern,2632304.0,2465505.0,2864966.0,2798719.0,2556157.0,3181417.0,3078385.0,3216628.0,3959090.0,4058410.0,4198127.0,4076413.0,39086121.0
Southern,9228463.0,8551187.0,9108268.0,8656340.0,8029825.0,9211005.0,8897557.0,9112931.0,9216026.0,8947311.0,9169775.0,9332499.0,107461187.0
Wyoming,32870925.0,30763280.0,31585021.0,32160746.0,31395297.0,32993501.0,33049155.0,34630739.0,33239196.0,34089073.0,32369840.0,34202828.0,393349601.0
Appalachian Total,31415230.0,29130803.0,32966820.0,31707561.0,29142545.0,33763528.0,32110623.0,32907031.0,33535042.0,32573337.0,33647115.0,33653084.0,386552719.0
Interior Total,11904824.0,10739365.0,12357568.0,12224807.0,11866656.0,12242229.0,11868069.0,12077387.0,11809912.0,11967257.0,11990050.0,13085154.0,144133278.0
Western Total,47723254.0,44428840.0,46724814.0,47105003.0,45561564.0,48119532.0,48019289.0,49943435.0,47904634.0,48699410.0,47283057.0,49355430.0,570868262.0
East of Miss River,38575184.0,35723421.0,40793909.0,39647022.0,36576007.0,41979310.0,39774498.0,40696320.0,41325979.0,40394575.0,41590138.0,41929543.0,479005906.0
West of Miss River,52468124.0,48575587.0,51255293.0,51390349.0,49994758.0,52145979.0,52223483.0,54231533.0,51923609.0,52845429.0,51330084.0,54164125.0,622548353.0
US Total,91043308.0,84299008.0,92049202.0,91037371.0,86570765.0,94125289.0,91997981.0,94927853.0,93249588.0,93240004.0,92920222.0,96093668.0,1101554259.0
