State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,1863358.0,1649591.0,1837199.0,1599274.0,1681814.0,1732193.0,1629463.0,1837021.0,1579788.0,1700012.0,1592324.0,1488395.0,20190432.0
Alaska,114965.0,101632.0,113161.0,108823.0,117786.0,114801.0,110936.0,125289.0,107282.0,124857.0,123693.0,102363.0,1365588.0
Arizona,784184.0,693226.0,771870.0,615227.0,652342.0,662572.0,627178.0,708317.0,606512.0,629141.0,568951.0,551516.0,7871036.0
Arkansas,1938.0,1714.0,1907.0,2791.0,2921.0,3042.0,2845.0,3214.0,2750.0,5119.0,6432.0,7084.0,41757.0
Colorado,3297102.0,2993519.0,3348922.0,3097664.0,3234405.0,3242950.0,3127225.0,3417788.0,3164754.0,3177346.0,3008542.0,2988238.0,38098455.0
Illinois,2739970.0,2448870.0,2731684.0,2590118.0,2754341.0,2734735.0,2630441.0,2933551.0,2589640.0,2880534.0,2829477.0,2672679.0,32536040.0
Indiana,3028429.0,2699528.0,3010203.0,2852508.0,3003229.0,3051993.0,2899069.0,3241186.0,2844172.0,3098523.0,2982568.0,2877730.0,35589138.0
Kansas,28325.0,25040.0,27880.0,36005.0,37701.0,39252.0,36703.0,41452.0,35495.0,41960.0,42033.0,37242.0,429088.0
Kentucky Total,9979100.0,8875159.0,9892148.0,9272322.0,9858344.0,9863795.0,9432036.0,10576341.0,9214911.0,10186036.0,9853604.0,9338275.0,116342071.0
Eastern,7619531.0,6764367.0,7537097.0,6950742.0,7404092.0,7402800.0,7075325.0,7951851.0,6890092.0,7570721.0,7256970.0,6856041.0,87279629.0
Western,2359569.0,2110792.0,2355051.0,2321580.0,2454252.0,2460995.0,2356711.0,2624490.0,2324819.0,2615315.0,2596634.0,2482234.0,29062442.0
Louisiana,334450.0,342522.0,114817.0,78832.0,159629.0,371732.0,396605.0,319191.0,253171.0,332658.0,379866.0,376658.0,3460131.0
Maryland,509673.0,451840.0,503334.0,414384.0,444666.0,439101.0,422030.0,475128.0,409973.0,381284.0,312884.0,230514.0,4994811.0
Mississippi,260206.0,267716.0,316135.0,345130.0,257904.0,336605.0,335891.0,330403.0,309982.0,342437.0,240291.0,288631.0,3631331.0
Missouri,15427.0,13636.0,15185.0,24034.0,25363.0,26001.0,24501.0,27666.0,23695.0,22961.0,19480.0,17837.0,255786.0
Montana,3324708.0,3028610.0,3390376.0,3272824.0,3404305.0,3418901.0,3299691.0,3589876.0,3359517.0,3560638.0,3537251.0,3608320.0,40795017.0
New Mexico,2155583.0,1915238.0,2134416.0,2014635.0,2124480.0,2163561.0,2049964.0,2301010.0,1999888.0,2187011.0,2094189.0,1939743.0,25079718.0
North Dakota,2552882.0,2256781.0,2512797.0,2099329.0,2212555.0,2274313.0,2140108.0,2416995.0,2069585.0,2468734.0,2488275.0,2340689.0,27833043.0
Ohio,2089924.0,1863946.0,2078696.0,1917252.0,2013294.0,2054440.0,1948088.0,2176259.0,1913321.0,2009456.0,1882807.0,1840051.0,23787534.0
Oklahoma,176028.0,155609.0,173264.0,160669.0,170466.0,172932.0,163792.0,184981.0,158394.0,172813.0,163039.0,150821.0,2002808.0
Pennsylvania Total,5280487.0,4687546.0,5223115.0,4902000.0,5183608.0,5258090.0,4989680.0,5607158.0,4859877.0,5477052.0,5352388.0,5049374.0,61870375.0
Anthracite,117053.0,103626.0,115407.0,109809.0,116768.0,117658.0,111884.0,126150.0,108457.0,138277.0,145902.0,132103.0,1443094.0
Bituminous,5163434.0,4583920.0,5107708.0,4792191.0,5066840.0,5140432.0,4877796.0,5481008.0,4751420.0,5338775.0,5206486.0,4917271.0,60427281.0
Tennessee,245714.0,217212.0,241854.0,225029.0,242824.0,238124.0,229399.0,259080.0,221838.0,234263.0,215144.0,198891.0,2769372.0
Texas,3753369.0,3424311.0,3834956.0,3735052.0,3861465.0,3910337.0,3762495.0,4081256.0,3845664.0,3811456.0,3627845.0,3602821.0,45251027.0
Utah,1951262.0,1736320.0,1935381.0,1862888.0,1991580.0,1970123.0,1894837.0,2124210.0,1851852.0,2057152.0,1998446.0,1850195.0,23224246.0
Virginia,2550114.0,2275587.0,2537821.0,2308038.0,2443174.0,2453136.0,2345044.0,2619283.0,2303718.0,2472095.0,2356798.0,2132004.0,28796812.0
Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Virginia Total,12889723.0,11492646.0,12815303.0,11862429.0,12557548.0,12623178.0,12055953.0,13478274.0,11828146.0,13014881.0,12622581.0,12116831.0,149357493.0
Northern,4049525.0,3608325.0,4022852.0,3671142.0,3928685.0,3870878.0,3732469.0,4178184.0,3655325.0,3985214.0,3828505.0,3627278.0,46158382.0
Southern,8840198.0,7884321.0,8792451.0,8191287.0,8628863.0,8752300.0,8323484.0,9300090.0,8172821.0,9029667.0,8794076.0,8489553.0,103199111.0
Wyoming,39584868.0,34719404.0,37786422.0,36906737.0,37795381.0,35656882.0,37130180.0,38587302.0,37474583.0,39845314.0,39944805.0,38533314.0,453965192.0
Appalachian Total,33048524.0,29402735.0,32774419.0,30179148.0,31971020.0,32201062.0,30694982.0,34404054.0,30006753.0,32859764.0,31591896.0,29912101.0,379046458.0
Interior Total,12697711.0,11489738.0,12581082.0,12146719.0,12727271.0,13107624.0,12609053.0,13787390.0,12387782.0,13323776.0,12887665.0,12513737.0,152259548.0
Western Total,53765554.0,47444730.0,51993345.0,49978127.0,51532834.0,49504103.0,50380119.0,53270787.0,50633973.0,54050193.0,53764152.0,51914378.0,618232295.0
East of Miss River,41436698.0,36929641.0,41187492.0,38288484.0,40440746.0,40785390.0,38917094.0,43533684.0,38075366.0,41796573.0,40240866.0,38233375.0,479865409.0
West of Miss River,58075091.0,51407562.0,56161354.0,54015510.0,55790379.0,54027399.0,54767060.0,57928547.0,54953142.0,58437160.0,58002847.0,56106841.0,669672892.0
US Total,99511789.0,88337203.0,97348846.0,92303994.0,96231125.0,94812789.0,93684154.0,101462231.0,93028508.0,100233733.0,98243713.0,94340216.0,1149538301.0
