State,Jan,Feb,Mar,Q1,Apr,May,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Total
Alabama,1202222,980894,1257857,3440973,1299853,1407485,1349083,4056421,1190439,1209038,1038051,3437528,944077,924707,839134,2707918,13642840
Alaska,112001,92623,115931,320555,113288,120105,116072,349465,109957,111116,101245,322318,106210,104520,96031,306761,1299099
Colorado,882087,735262,956854,2574203,955155,1019088,1002083,2976326,957702,985474,962832,2906008,909072,902661,924725,2736458,11192995
Illinois,2668912,2211262,2904399,7784573,2810020,3044839,3306212,9161071,3069114,3201063,3302237,9572414,3592275,3487003,3495434,10574712,37092770
Indiana,1704865,1418486,1748214,4871565,1615800,1728609,1767202,5111611,1605505,1666128,1624978,4896611,1507668,1507075,1540589,4555332,19435119
Kentucky Total,1938443,1605056,2028744,5572243,1872688,2038146,2159337,6070171,2222400,2311903,2364533,6898836,2356040,2340039,2279721,6975800,25517050
Eastern (KY),628248,523237,677796,1829281,630859,679799,745613,2056271,717718,746034,802332,2266084,795154,795421,826014,2416589,8568225
Western (KY),1310195,1081819,1350948,3742962,1241829,1358347,1413724,4013900,1504682,1565869,1562201,4632752,1560886,1544618,1453707,4559211,16948825
Louisiana,81791,66538,81390,229719,45248,46262,48632,140142,24455,24804,24988,74247,21235,20783,20911,62929,507037
Maryland,105992,88242,108135,302369,102066,107755,111128,320949,92415,94580,93394,280389,95434,96191,103584,295209,1198916
Mississippi,279176,233577,282924,795677,352881,380759,384023,1117663,319111,342450,280774,942335,217225,223899,211683,652807,3508482
Missouri,15085,12543,16037,43665,16276,17157,14684,48117,13265,13563,12021,38849,9439,9255,9087,27781,158412
Montana,2457475,2034688,2382887,6875050,2205972,2354539,2319600,6880111,2214942,2286751,2367910,6869603,2311606,2296762,2353773,6962141,27586905
New Mexico,955640,797488,933326,2686454,878383,937770,943807,2759960,870573,877725,819096,2567394,714194,709045,679128,2102367,10116175
North Dakota,2898436,2385907,2937479,8221822,2968476,3179892,2904713,9053081,2715211,2774517,2491885,7981613,2363455,2337271,2270486,6971212,32227728
Ohio,309024,256876,315123,881023,253965,271381,274695,800041,244055,253453,249104,746612,228453,226840,224601,679894,3107570
Oklahoma,4736,4293,6224,15253,252,264,226,742,,,,,,,,,15995
Pennsylvania Total,3213232,2660370,3182676,9056278,2784632,3016402,3304874,9105908,3399827,3502241,3637750,10539818,3973271,3967067,3987149,11927487,40629491
Anthracite (PA),237538,198537,217566,653641,202701,215268,215731,633700,216073,219598,194316,629987,168846,169242,160592,498680,2416008
Bituminous (PA),2975694,2461833,2965110,8402637,2581931,2801134,3089143,8472208,3183754,3282643,3443434,9909831,3804425,3797825,3826557,11428807,38213483
Tennessee,38825,32145,31640,102610,29320,31460,31812,92592,,,,,,,,,195202
Texas,1682414,1399531,1806377,4888322,1825910,1961291,1874565,5661766,1863053,1917620,1727130,5507803,1478058,1451299,1362892,4292249,20350140
Utah,1294941,1076155,1409992,3781088,1459055,1553931,1490443,4503429,1380692,1414279,1238117,4033088,1130601,1114069,1027474,3272144,15589749
Virginia,918917,757374,919970,2596261,812276,864982,875019,2552277,840968,858975,895450,2595393,942241,933994,950632,2826867,10570798
West Virginia Total,5746518,4798606,6087034,16632158,5937434,6406187,6794719,19138340,6606627,6814339,6837037,20258003,6878266,6813800,6797257,20489323,76517824
Northern (WV),3111466,2604403,3436358,9152227,3525443,3807196,4091351,11423990,4167886,4280977,4202547,12651410,4280293,4242409,4095420,12618122,45845749
Southern (WV),2635052,2194203,2650676,7479931,2411991,2598991,2703368,7714350,2438741,2533362,2634490,7606593,2597973,2571391,2701837,7871201,30672075
Wyoming,20054012,16644543,20378601,57077156,19985171,21400311,21040890,62426372,20593827,21264397,21008110,62866334,19568813,19599488,19496115,58664416,241034278
Appalachian Total,12162978,10097744,12580231,34840953,11850405,12785451,13486943,38122799,13092049,13478660,13553118,40123827,13856896,13758020,13728371,41343287,154430866
Interior Total,7747174,6428049,8196513,22371736,7908216,8537528,8809268,25255012,8399185,8731497,8534329,25665011,8386786,8243932,8094303,24725021,98016780
Western Total,28654592,23766666,29115070,81536328,28565500,30565636,29817608,88948744,28842904,29714259,28989195,87546358,27103951,27063816,26847732,81015499,339046929
East of Mississippi River,18126126,15042888,18866716,52035730,17870935,19298005,20358104,57527044,19590461,20254170,20323308,60167939,20734950,20520615,20429784,61685349,231416062
West of Mississippi River,30438618,25249571,31025098,86713287,30453186,32590610,31755715,94799511,30743677,31670246,30753334,93167257,28612683,28545153,28240622,85398458,360078513
Bituminous and Lignite,48327206,40093922,49674248,138095376,48121420,51673347,51898088,151692855,50118065,51704818,50882326,152705209,49178787,48896526,48509814,146585127,589078567
Anthracite,237538,198537,217566,653641,202701,215268,215731,633700,216073,219598,194316,629987,168846,169242,160592,498680,2416008
US Total,48564744,40292459,49891814,138749017,48324121,51888615,52113819,152326555,50334138,51924416,51076642,153335196,49347633,49065768,48670406,147083807,591494575
