State,Jan,Feb,Mar,Q1,Apr,May,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Total
Alabama,1348835,1187285,1135184,3671304,1259545,1291232,1177907,3728684,1201309,1305927,1172783,3680019,1206950,1138836,1100919,3446705,14526712
Alaska,71509,63517,60407,195433,63121,64746,59124,186991,67657,71885,74082,213624,88445,84555,87632,260632,856680
Arizona,595752,525269,501763,1622784,565180,575972,524746,1665898,525594,568283,505513,1599390,,,,,4888072
Colorado,1150480,1012794,973573,3136847,1119501,1137124,1067252,3323877,1116339,1206571,1017875,3340785,986944,941183,945565,2873692,12675201
Illinois,4181802,3686323,3524086,11392211,3972829,4074329,3755472,11802630,3953620,4259716,3844069,12057405,3951762,3744102,3673328,11369192,46621438
Indiana,3020929,2657439,2564919,8243287,3000289,3045757,2783844,8829890,2850329,3080574,2767915,8698818,2859372,2686528,2576883,8122783,33894778
Kentucky Total,3291825,2903752,2778326,8973903,3095221,3147824,2915270,9158315,2986680,3214084,2955102,9155866,3005650,2846432,2811952,8664034,35952118
Eastern (KY),1475304,1302574,1233615,4011493,1305774,1326294,1221983,3854051,1207604,1296916,1168648,3673168,1141944,1084277,1066124,3292345,14831057
Western (KY),1816521,1601178,1544711,4962410,1789447,1821530,1693287,5304264,1779076,1917168,1786454,5482698,1863706,1762155,1745828,5371689,21121061
Louisiana,97696,85692,89944,273332,144332,148033,137426,429791,146558,161019,112187,419764,81713,81295,84752,247760,1370647
Maryland,94739,84182,79164,258085,75783,77061,73495,226339,82623,88352,94564,265539,109409,105895,116159,331463,1081426
Mississippi,246595,216142,211842,674579,282128,289040,266882,838050,282790,307936,244444,835170,213527,202107,188800,604434,2952233
Missouri,22364,19699,18740,60803,21265,21647,19629,62541,19378,20972,18115,58465,16865,15921,14940,47726,229535
Montana,3299844,2912871,2762472,8975187,3026160,3090528,2788004,8904692,2920593,3138923,2921081,8980597,2803380,2696248,2666283,8165911,35026387
New Mexico,553573,491217,483403,1528193,635433,630696,660791,1926920,1147441,1268792,1158605,3574838,1439328,1362859,1360962,4163149,11193100
North Dakota,2566501,2265723,2151902,6984126,2357894,2401985,2204532,6964411,2306030,2482548,2202140,6990718,2176756,2067897,2021419,6266072,27205327
Ohio,709351,631061,587761,1928173,597648,621054,564706,1783408,666958,722025,707923,2096906,717293,678791,642981,2039065,7847552
Oklahoma,72312,62729,61896,196937,87173,88475,73307,248955,51088,65248,48435,164771,27091,26610,24619,78320,688983
Pennsylvania Total,4255503,3742699,3607136,11605338,4129369,4173308,3881451,12184128,3876328,4163161,3863043,11902532,3903705,3703316,3686134,11293155,46985153
Anthracite (PA),152566,134811,128474,415851,152101,156287,144688,453076,159834,173453,168957,502244,178859,172692,182339,533890,1905061
Bituminous (PA),4102937,3607888,3478662,11189487,3977268,4017021,3736763,11731052,3716494,3989708,3694086,11400288,3724846,3530624,3503795,10759265,45080092
Tennessee,14794,13153,12521,40468,11819,12046,12128,35993,15201,16476,20015,51692,21874,20974,22147,64995,193148
Texas,1902645,1688287,1598325,5189257,1630289,1662116,1546090,4838495,1589020,1723529,1627860,4940409,1582134,1549870,1709257,4841261,19809422
Utah,1196513,1061601,990105,3248219,983629,1009193,937709,2930531,1038473,1122077,1077186,3237736,1184195,1127163,1162008,3473366,12889852
Virginia,1049897,926791,885566,2862254,987156,1006758,932716,2926630,976129,1052845,976130,3005104,980525,935125,938211,2853861,11647849
West Virginia Total,8467288,7467931,7087576,23022795,7869454,8062405,7380351,23312210,7435383,7981278,7275156,22691817,7247932,6911144,6950285,21109361,90136183
Northern (WV),3888293,3429700,3289975,10607968,3691132,3751635,3486887,10929654,3665183,3945123,3648705,11259011,3769448,3590063,3632598,10992109,43788742
Southern (WV),4578995,4038231,3797601,12414827,4178322,4310770,3893464,12382556,3770200,4036155,3626451,11432806,3478484,3321081,3317687,10117252,46347441
Wyoming,24268534,21433525,20490123,66192182,22849835,23235343,21395388,67480566,22989046,24815649,23175508,70980203,22538094,21434158,20914033,64886285,269539236
Appalachian Total,17415711,15355676,14628523,47399910,16236548,16570158,15244737,48051443,15461535,16626980,15278262,47366777,15329632,14578358,14522960,44430950,187249080
Interior Total,11360864,10017489,9614463,30992816,10927752,11150927,10275937,32354616,10671859,11536162,10449479,32657500,10596170,10068588,10018407,30683165,126688097
Western Total,33702706,29766517,28413748,91882971,31600753,32145587,29637546,93383886,32111173,34674728,32131990,98917891,31217142,29714063,29157902,90089107,374273855
East of Mississippi River,26681558,23516758,22474081,72672397,25281241,25800814,23744222,74826277,24327350,26192374,23921144,74440868,24217999,22973250,22707799,69899048,291838590
West of Mississippi River,35797723,31622924,30182653,97603300,33483812,34065858,31413998,98963668,33917217,36645496,33938587,104501300,32924945,31387759,30991470,95304174,396372442
Bituminous and Lignite,62326715,55004871,52528260,169859846,58612952,59710385,55013532,173336869,58084733,62664417,57690774,178439924,56964085,54188317,53516930,164669332,686305971
Anthracite,152566,134811,128474,415851,152101,156287,144688,453076,159834,173453,168957,502244,178859,172692,182339,533890,1905061
US Total,62479281,55139682,52656734,170275697,58765053,59866672,55158220,173789945,58244567,62837870,57859731,178942168,57142944,54361009,53699269,165203222,688211032
