State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,1638818.0,1535172.0,1598286.0,1510177.0,1548828.0,1532154.0,1543739.0,1646055.0,1428395.0,1679957.0,1622195.0,1564443.0,18848219.0
Alaska,167962.0,158624.0,165926.0,170959.0,183215.0,171725.0,175944.0,189492.0,162825.0,187436.0,180703.0,170959.0,2085770.0
Arizona,581540.0,549202.0,574489.0,557906.0,586417.0,571893.0,606620.0,653321.0,561383.0,635030.0,612233.0,570175.0,7060209.0
Arkansas,4724.0,4461.0,4666.0,6038.0,6271.0,6266.0,6356.0,6846.0,5882.0,4436.0,4277.0,4166.0,64389.0
Colorado,2794388.0,2577323.0,2325002.0,2487354.0,2402703.0,2600292.0,2701660.0,2941418.0,2616284.0,2894053.0,2907239.0,2132395.0,31380111.0
Illinois,2994319.0,2791203.0,2920273.0,2831593.0,2934271.0,2800679.0,3020561.0,3186769.0,2841866.0,3535525.0,3421821.0,3404267.0,36683147.0
Indiana,3048808.0,2845193.0,2973412.0,2887858.0,2964255.0,2894408.0,2967249.0,3138158.0,2778538.0,3107095.0,3005572.0,2950154.0,35560700.0
Kansas,6530.0,6166.0,6453.0,9131.0,9484.0,9475.0,4113.0,4426.0,3806.0,4163.0,4010.0,3725.0,71482.0
Kentucky Total,9083962.0,8484178.0,8859313.0,8306476.0,8598849.0,8272205.0,8357635.0,8851995.0,7808152.0,8409962.0,8132844.0,7963723.0,101129294.0
Eastern,5659598.0,5294180.0,5519630.0,5107374.0,5302634.0,5095370.0,4935987.0,5247159.0,4586318.0,4848066.0,4684449.0,4545318.0,60826083.0
Western,3424364.0,3189998.0,3339683.0,3199102.0,3296215.0,3176835.0,3421648.0,3604836.0,3221834.0,3561896.0,3448395.0,3418405.0,40303211.0
Louisiana,243562.0,264749.0,180951.0,175415.0,446995.0,355490.0,328028.0,288055.0,245181.0,208337.0,329868.0,286806.0,3353437.0
Maryland,158754.0,148621.0,154828.0,149945.0,156791.0,148835.0,139345.0,148381.0,129232.0,167476.0,161764.0,157326.0,1821298.0
Mississippi,287502.0,280890.0,202941.0,151315.0,284208.0,164246.0,264692.0,292269.0,278220.0,162522.0,213592.0,203823.0,2786220.0
