State,Jan,Feb,Mar,Q1,Apr,May,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Total
Alabama,779123,752418,797388,2328929,590196,617530,619765,1827491,572426,628727,666891,1868044,703552,665974,705355,2074881,8099345
Alaska,96421,90587,93031,280039,71880,75843,75446,223169,74196,79092,77820,231108,85677,80965,77733,244375,978691
Colorado,909051,869375,982682,2761108,945746,1026455,1036408,3008609,1222776,1321147,1310960,3854883,1337114,1240252,1104569,3681935,13306535
Illinois,3867045,3670655,3655608,11193308,3003985,3159764,2890506,9054255,2530415,2751367,2759421,8041203,2808276,2641996,2593950,8044222,36332988
Indiana,1535743,1460075,1622934,4618752,1425840,1527899,1564540,4518279,1608211,1755425,1809973,5173609,1888015,1796704,1733454,5418173,19728813
Kentucky Total,2330179,2217951,2434357,6982487,2141219,2241963,2166726,6549908,2195558,2370071,2379202,6944831,2507750,2370795,2241787,7120332,27597558
Eastern (KY),897227,858318,969065,2724610,905906,938628,928707,2773241,977427,1051357,1040835,3069619,1105576,1040927,966255,3112758,11680228
Western (KY),1432952,1359633,1465292,4257877,1235313,1303335,1238019,3776667,1218131,1318714,1338367,3875212,1402174,1329868,1275532,4007574,15917330
Louisiana,18223,17549,20797,56569,20723,23105,25735,69563,30323,33385,30573,94281,27279,25548,22705,75532,295945
Maryland,112387,106337,119239,337963,106493,107123,105105,318721,104568,113835,109918,328321,110244,104532,97767,312543,1297548
Mississippi,261982,247708,270315,780005,268984,286752,282606,838342,271088,299657,304761,875506,286764,268771,231732,787267,3281120
Missouri,6307,6026,6560,18893,3445,3423,3633,10501,1673,1714,1838,5225,2451,2661,3492,8604,43223
Montana,2344260,2235236,2474249,7053745,2264075,2430523,2397758,7092356,2562729,2772244,2655929,7990902,2663908,2501154,2291445,7456507,29593510
New Mexico,642260,618857,726906,1988023,599717,642863,682549,1925129,732578,825725,878769,2437072,1052969,999927,975819,3028715,9378939
North Dakota,2225958,2125762,2219395,6571115,1933942,2061734,2124642,6120318,2162414,2315696,2259099,6737209,2292820,2159351,2073268,6525439,25954081
Ohio,198955,188160,209843,596958,167976,181360,189102,538438,207201,225701,234879,667781,250968,235714,216225,702907,2506084
Oklahoma,,,,,116,123,105,344,82,90,81,253,91,93,96,280,877
Pennsylvania Total,4348057,4112260,4282575,12742892,3601555,3767876,3376240,10745671,3064489,3290426,3165739,9520654,3220617,3044519,2877415,9142551,42151768
Anthracite (PA),146942,140822,159245,447009,134976,146705,159497,441178,172462,191991,202311,566764,232416,220283,214584,667283,2122234
Bituminous (PA),4201115,3971438,4123330,12295883,3466579,3621171,3216743,10304493,2892027,3098435,2963428,8953890,2988201,2824236,2662831,8475268,40029534
Texas,1191642,1139338,1259408,3590388,1130149,1227494,1294862,3652505,1464774,1592099,1618839,4675712,1639380,1533289,1419944,4592613,16511218
Utah,993461,942692,1003043,2939196,863981,929542,954208,2747731,955437,1031970,990640,2978047,1018774,964681,904645,2888100,11553074
Virginia,973146,925695,1017141,2915982,904450,965415,920788,2790653,943305,1012114,937049,2892468,934136,882058,830099,2646293,11245396
West Virginia Total,7213164,6833374,7247466,21294004,6364469,6765464,6570426,19700359,6516162,6990533,6856825,20363520,7186702,6777831,6424986,20389519,81747402
Northern (WV),4271609,4035107,4097405,12404121,3514623,3711861,3606847,10833331,3602311,3863254,3822594,11288159,4054754,3836342,3677959,11569055,46094666
Southern (WV),2941555,2798267,3150061,8889883,2849846,3053603,2963579,8867028,2913851,3127279,3034231,9075361,3131948,2941489,2747027,8820464,35652736
Wyoming,19583563,18555291,20249258,58388112,19086531,20404336,20520266,60011133,21757237,23403829,22322400,67483466,22432307,21184197,19499186,63115690,248998401
Appalachian Total,14522059,13776562,14642717,42941338,12641045,13343396,12710133,38694574,12385578,13312693,13012136,38710407,13511795,12751555,12118102,38381452,158727771
Interior Total,8313894,7900984,8300914,24515792,7088555,7531895,7300006,21920456,7124697,7752451,7863853,22741001,8054430,7598930,7280905,22934265,92111514
Western Total,26794974,25437800,27748564,79981338,25765872,27571296,27791277,81128445,29467367,31749703,30495617,91712687,30883569,29130527,26926665,86940761,339763231
East of Mississippi River,21619781,20514633,21656866,63791280,18575167,19621146,18685804,56882117,18013423,19437856,19224658,56675937,19897024,18788894,17952770,56638688,233988022
West of Mississippi River,28011146,26600713,29035329,83647188,26920305,28825441,29115612,84861358,30964219,33376991,32146948,96488158,32552770,30692118,28372902,91617790,356614494
Bituminous and Lignite,49483985,46974524,50532950,146991459,45360496,48299882,47641919,141302297,48805180,52622856,51169295,152597331,52217378,49260729,46111088,147589195,588480282
Anthracite,146942,140822,159245,447009,134976,146705,159497,441178,172462,191991,202311,566764,232416,220283,214584,667283,2122234
US Total,49630927,47115346,50692195,147438468,45495472,48446587,47801416,141743475,48977642,52814847,51371606,153164095,52449794,49481012,46325672,148256478,590602516
