State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,1894596.0,1884138.0,2172069.0,2082506.0,2036316.0,2238581.0,2001927.0,2236258.0,2156931.0,2004971.0,2132950.0,1892525.0,24733768.0
Alaska,94201.0,92244.0,106503.0,98409.0,96880.0,108624.0,113048.0,126746.0,122199.0,113212.0,119680.0,112124.0,1303870.0
Arizona,898830.0,889144.0,1026571.0,902119.0,879482.0,969839.0,878291.0,984742.0,949394.0,879590.0,915642.0,833621.0,11007265.0
Arkansas,249.0,134.0,156.0,234.0,234.0,240.0,137.0,153.0,146.0,134.0,117.0,66.0,2000.0
Colorado,3439230.0,3342831.0,3753055.0,3420579.0,3413243.0,3464197.0,3559405.0,3730538.0,3625919.0,3567373.0,3523717.0,3144367.0,41984454.0
Illinois,2523677.0,2473153.0,2824935.0,2355702.0,2318265.0,2447140.0,2296148.0,2507907.0,2425379.0,2300229.0,2359293.0,2352461.0,29184289.0
Indiana,2799563.0,2722885.0,3116788.0,2657767.0,2602417.0,2784243.0,2547622.0,2796915.0,2703220.0,2552002.0,2627539.0,2650248.0,32561209.0
Kansas,10190.0,7685.0,8873.0,6234.0,5975.0,6618.0,5857.0,6568.0,6332.0,5866.0,8147.0,8233.0,86578.0
Kentucky Total,9108522.0,8786364.0,10083475.0,9266834.0,9123369.0,9841830.0,9231132.0,10195483.0,9846928.0,9246375.0,9661507.0,8849234.0,113241053.0
Eastern,6869104.0,6670336.0,7669425.0,7045661.0,6927547.0,7486028.0,6847646.0,7599894.0,7335860.0,6858570.0,7182222.0,6749139.0,85241432.0
Western,2239418.0,2116028.0,2414050.0,2221173.0,2195822.0,2355802.0,2383486.0,2595589.0,2511068.0,2387805.0,2479285.0,2100095.0,27999621.0
Louisiana,446298.0,346269.0,384118.0,242028.0,318000.0,376705.0,437995.0,386245.0,341038.0,278349.0,413462.0,429886.0,4400393.0
Maryland,421165.0,415143.0,478021.0,430906.0,423737.0,457887.0,416990.0,464460.0,448134.0,417639.0,440374.0,432826.0,5247282.0
Mississippi,247342.0,262259.0,315553.0,284667.0,273428.0,320438.0,283766.0,337216.0,344404.0,351616.0,374131.0,275963.0,3670783.0
Missouri,41690.0,42011.0,48504.0,44556.0,43462.0,47870.0,42386.0,47526.0,45821.0,42449.0,45421.0,43478.0,535174.0
Montana,3429834.0,3185921.0,3562981.0,3576459.0,3268629.0,3159750.0,3177051.0,3299348.0,3210488.0,3184475.0,3137243.0,3009666.0,39201845.0
