State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,1705438.0,1528219.0,1580177.0,1683758.0,1675161.0,1558602.0,1612901.0,1662259.0,1568751.0,1582220.0,1450460.0,1496673.0,19104619.0
Alaska,177843.0,165563.0,177097.0,193578.0,199478.0,171758.0,163818.0,168553.0,160159.0,186821.0,170865.0,176024.0,2111557.0
Arizona,492438.0,455537.0,487270.0,557728.0,559732.0,509842.0,576852.0,593528.0,564578.0,671393.0,614060.0,628420.0,6711378.0
Arkansas,8185.0,7544.0,8067.0,10887.0,10753.0,10126.0,6293.0,6473.0,6076.0,5492.0,5021.0,5390.0,90307.0
Colorado,1734162.0,1535613.0,1620950.0,1636321.0,1581432.0,1855935.0,2224932.0,2246533.0,1868392.0,1834019.0,1984907.0,2114142.0,22237338.0
Illinois,3928637.0,3569208.0,3742416.0,3701164.0,3778084.0,3401567.0,4048224.0,4217515.0,4014832.0,4397759.0,4088884.0,4219049.0,47107339.0
Indiana,3191253.0,2882948.0,3025522.0,3053004.0,3069634.0,2836350.0,3125837.0,3247037.0,3081740.0,3260788.0,3021962.0,3122297.0,36918372.0
Kansas,3162.0,2914.0,3119.0,3045.0,3006.0,2832.0,2652.0,2728.0,2561.0,2324.0,2123.0,2192.0,32658.0
Kentucky Total,8188682.0,7409713.0,7882065.0,7865274.0,7981677.0,7220976.0,7453608.0,7738847.0,7335408.0,7619092.0,7054332.0,7286454.0,91036128.0
Eastern,4495983.0,4056899.0,4318700.0,4111854.0,4172587.0,3745696.0,3847233.0,3977581.0,3762262.0,3879152.0,3570542.0,3679907.0,47618396.0
Western,3692699.0,3352814.0,3563365.0,3753420.0,3809090.0,3475280.0,3606375.0,3761266.0,3573146.0,3739940.0,3483790.0,3606547.0,43417732.0
Louisiana,271073.0,306932.0,237746.0,310577.0,317049.0,294699.0,306542.0,324948.0,309613.0,304112.0,289852.0,297322.0,3570465.0
Maryland,165267.0,149230.0,152712.0,122886.0,125649.0,110730.0,145497.0,150184.0,141790.0,142659.0,131018.0,135712.0,1673334.0
Mississippi,209898.0,261031.0,341682.0,231703.0,197831.0,224979.0,313799.0,320003.0,340509.0,331373.0,281897.0,215196.0,3269901.0
Missouri,33697.0,31126.0,33298.0,30979.0,30905.0,28507.0,34477.0,35472.0,33474.0,34134.0,31217.0,32144.0,389430.0
Montana,1831881.0,2539373.0,3219052.0,3626231.0,3946865.0,4110731.0,4964675.0,5124976.0,4822141.0,3704144.0,3978786.0,3347957.0,45216812.0
New Mexico,1853305.0,1828956.0,1629862.0,1320110.0,1925879.0,1803975.0,2360983.0,2171360.0,1845847.0,2950817.0,2252870.0,2714752.0,24658716.0
North Dakota,2502570.0,2286467.0,2179563.0,2311160.0,2260036.0,1937005.0,2492188.0,2485819.0,2341540.0,2442713.0,2156210.0,2277401.0,27672672.0
Ohio,2477020.0,2237455.0,2343238.0,2317892.0,2324860.0,2161831.0,2372657.0,2466212.0,2340765.0,2464762.0,2286587.0,2356610.0,28149889.0
Oklahoma,72510.0,67086.0,71763.0,85503.0,85879.0,78094.0,84520.0,86963.0,82219.0,87187.0,79739.0,82130.0,963593.0
Pennsylvania Total,4846180.0,4363059.0,4638030.0,4716142.0,4742298.0,4339764.0,4516015.0,4668549.0,4426813.0,4783770.0,4403503.0,4550047.0,54994170.0
Anthracite,205770.0,185005.0,192759.0,189839.0,191569.0,173010.0,180443.0,185958.0,176548.0,200113.0,183423.0,189702.0,2254139.0
Bituminous,4640410.0,4178054.0,4445271.0,4526303.0,4550729.0,4166754.0,4335572.0,4482591.0,4250265.0,4583657.0,4220080.0,4360345.0,52740031.0
Tennessee,114827.0,103547.0,106800.0,103425.0,106165.0,92177.0,103257.0,106238.0,99764.0,91368.0,83562.0,87031.0,1198161.0
Texas,3481177.0,3268375.0,3512834.0,3584804.0,3578366.0,3125169.0,3536152.0,3665917.0,3401911.0,3916913.0,3675423.0,3589952.0,42336993.0
