State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,2199433.0,1941007.0,2347643.0,2128021.0,2310435.0,2096214.0,1857397.0,2091886.0,1902389.0,1995821.0,1875266.0,1715927.0,24461439.0
Alaska,121542.0,104961.0,127143.0,114740.0,127154.0,122332.0,111347.0,125875.0,113556.0,114579.0,107804.0,100502.0,1391535.0
Arizona,562241.0,476517.0,597989.0,552444.0,598987.0,805168.0,742844.0,852267.0,771206.0,868304.0,816944.0,749454.0,8394365.0
Arkansas,105.0,101.0,125.0,108.0,119.0,1127.0,1134.0,1282.0,1160.0,394.0,370.0,545.0,6570.0
Colorado,3562031.0,3105059.0,3656028.0,3575118.0,3714251.0,2447692.0,2286452.0,2414968.0,2545248.0,3472653.0,3187995.0,3147599.0,37115094.0
Illinois,2810728.0,2484665.0,2977215.0,2772102.0,2989810.0,2862775.0,2677864.0,2948409.0,2712165.0,2835775.0,2642931.0,2533678.0,33248117.0
Indiana,3088659.0,2712205.0,3256858.0,3013952.0,3239284.0,3160715.0,2914086.0,3225153.0,2960942.0,3068580.0,2865244.0,2723372.0,36229050.0
Kansas,11893.0,11111.0,13458.0,12146.0,13182.0,20637.0,19366.0,21889.0,20763.0,19981.0,18801.0,19848.0,203075.0
Kentucky Total,10235658.0,9002418.0,10838489.0,9955508.0,10810394.0,11002737.0,10177082.0,11337481.0,10235992.0,10095699.0,9448595.0,8942855.0,122082908.0
Eastern,7765962.0,6816658.0,8222685.0,7511294.0,8189349.0,8480584.0,7817165.0,8746897.0,7879219.0,7722934.0,7239564.0,6830841.0,93223152.0
Western,2469696.0,2185760.0,2615804.0,2444214.0,2621045.0,2522153.0,2359917.0,2590584.0,2356773.0,2372765.0,2209031.0,2112014.0,28859756.0
Louisiana,399940.0,233630.0,344355.0,230055.0,437554.0,385440.0,414248.0,401707.0,330371.0,362671.0,295705.0,419779.0,4255455.0
Maryland,523478.0,465273.0,562073.0,511255.0,561264.0,542156.0,495564.0,556509.0,501809.0,506591.0,475497.0,447365.0,6148834.0
Mississippi,332296.0,258316.0,300260.0,343638.0,257137.0,366716.0,332560.0,297975.0,261901.0,259125.0,255542.0,275945.0,3541411.0
Missouri,54116.0,48529.0,58784.0,53048.0,57862.0,57488.0,51480.0,58198.0,52355.0,56797.0,53441.0,46804.0,648902.0
Montana,3298414.0,2840924.0,3331804.0,3293686.0,3393808.0,3179633.0,3154954.0,3301584.0,3197562.0,3471164.0,3175825.0,3170458.0,38809816.0
New Mexico,2679036.0,2364688.0,2849316.0,2611008.0,2823589.0,2183694.0,1918660.0,2141170.0,2015674.0,2240757.0,2098516.0,1977290.0,27903398.0
North Dakota,2716739.0,2398740.0,2905712.0,2622239.0,2857701.0,2843970.0,2544740.0,2876724.0,2583768.0,2578336.0,2425821.0,2270632.0,31625122.0
Ohio,2264173.0,2004427.0,2405305.0,2230251.0,2390431.0,2233634.0,2047954.0,2262838.0,2055397.0,2143432.0,2000217.0,1885934.0,25923993.0
Oklahoma,165738.0,145700.0,176495.0,159274.0,174303.0,172018.0,154568.0,174732.0,161118.0,177677.0,167168.0,155595.0,1984386.0
Pennsylvania Total,5693368.0,5008303.0,6040887.0,5519429.0,5988865.0,5873182.0,5346513.0,5981334.0,5415089.0,5353652.0,5018080.0,4741215.0,65979917.0
Anthracite,185582.0,162981.0,197143.0,178656.0,195365.0,191569.0,173265.0,195185.0,160301.0,100429.0,94371.0,92573.0,1927420.0
Bituminous,5507786.0,4845322.0,5843744.0,5340773.0,5793500.0,5681613.0,5173248.0,5786149.0,5254788.0,5253223.0,4923709.0,4648642.0,64052497.0
