State,Jan,Feb,Mar,Q1,Apr,May,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Total
Alabama,925527,861167,824680,2611374,657325,719416,759146,2135887,740758,817360,797118,2355236,797425,761110,722479,2281014,9383511
Alaska,64746,60910,59970,185626,61697,67744,84851,214292,95360,99236,98959,293555,122587,119124,107176,348887,1042360
Arizona,464077,429505,413104,1306686,366631,399515,440416,1206562,453838,499961,474589,1428388,478939,466193,455442,1400574,5342210
Arkansas,7860,7584,7023,22467,5385,5861,6004,17250,6180,6858,6096,19134,4905,4741,4450,14096,72947
Colorado,1230994,1153906,1103458,3488358,930238,1013715,1092725,3036678,1087633,1237580,1150101,3475314,979054,945623,870685,2795362,12795712
Illinois,4185062,3877047,3706616,11768725,2969395,3245799,3511980,9727174,3758357,4102101,3969970,11830428,4362488,4181599,3914956,12459043,45785370
Indiana,2305592,2156509,2074879,6536980,1797315,1972659,2236800,6006774,2414195,2631274,2521945,7567414,2717956,2648104,2527182,7893242,28004410
Kansas,16263,15093,14643,45999,12429,13755,15232,41416,17199,19282,16534,53015,15495,15408,11409,42312,182742
Kentucky Total,3861150,3599286,3471454,10931890,3033654,3321459,3768272,10123385,4005621,4395870,4184840,12586331,4282671,4148418,3814166,12245255,45886861
Eastern (KY),1710974,1590398,1531799,4833171,1324062,1447471,1646263,4417796,1715722,1878411,1776664,5370797,1730606,1668504,1493699,4892809,19514573
Western (KY),2150176,2008888,1939655,6098719,1709592,1873988,2122009,5705589,2289899,2517459,2408176,7215534,2552065,2479914,2320467,7352446,26372288
Louisiana,251176,235819,223057,710052,201378,225211,227969,654558,296423,331023,309302,936748,306197,297071,257194,860462,3161820
Maryland,139681,127351,124922,391954,115099,124654,136688,376441,170625,144258,131664,446547,139531,135057,129277,403865,1618807
Mississippi,180852,171083,167032,518967,170800,189727,226327,586854,245951,273425,259170,778546,277446,273482,251819,802747,2687114
Missouri,8987,8480,7994,25461,6707,7362,8336,22405,7568,8660,9096,25324,10996,11196,11701,33893,107083
Montana,2901473,2703412,2576946,8181831,2151579,2369081,2625631,7146291,3025617,3319268,3103309,9448194,3106732,2993458,2841518,8941708,33718024
New Mexico,1044489,962606,954920,2962015,1075693,1202526,1473213,3751432,1797692,1986297,1824094,5608083,1846266,1778149,1456745,5081160,17402690
North Dakota,1893582,1782633,1734667,5410882,1628060,1796959,2076609,5501628,2405442,2635806,2537753,7579001,3032758,2886918,2768524,8688200,27179711
Ohio,1057607,983055,946720,2987382,784857,866620,1049777,2701254,1137538,1252507,1225866,3615911,1411902,1378896,1270503,4061301,13365848
Oklahoma,47918,45691,44542,138151,41782,45670,52717,140169,56777,61670,60326,178773,67560,65495,59907,192962,650055
Pennsylvania Total,3217792,2999931,2888304,9106027,2556362,2829569,3272488,8658419,3699463,4078910,3936836,11715209,4205447,4072799,3886244,12164490,41644145
Anthracite (PA),140929,132563,129286,402778,132704,146095,162281,441080,197558,210662,198131,606351,209360,202816,168989,581165,2031374
Bituminous (PA),3076863,2867368,2759018,8703249,2423658,2683474,3110207,8217339,3501905,3868248,3738705,11108858,3996087,3869983,3717255,11583325,39612771
Tennessee,59716,56429,54417,170562,49369,54028,62373,165770,70264,84209,80656,235129,88477,86497,75964,250938,822399
Texas,1812669,1696521,1641092,5150282,1583721,1801908,2297897,5683526,3137484,3481221,3522479,10141184,4455249,4350134,4107859,12913242,33888234
Utah,878943,825409,797703,2502055,748170,832313,997412,2577895,1160660,1198917,1172124,3531701,1376046,1338816,1287831,4002693,12614344
Virginia,877193,828430,805278,2510901,738516,809617,946297,2494430,1034686,1136104,1125732,3296522,1315005,1276528,1211262,3802795,12104648
West Virginia Total,6259472,5797087,5598584,17655143,4780367,5248581,5943163,15972111,6491578,7022981,6910689,20425248,7736110,7449040,7160899,22346049,76398551
Northern (WV),3205263,2968511,2876716,9050490,2508712,2744920,3116451,8370083,3587872,3862619,3812603,11263094,4495844,4341262,4149393,12986499,41670166
Southern (WV),3054209,2828576,2721868,8604653,2271655,2503661,2826712,7602028,2903706,3160362,3098086,9162154,3240266,3107778,3011506,9359550,34728385
Wyoming,24588740,23025519,22199409,69813668,19573690,21448696,23715862,64738248,27770654,30433257,28799949,87003860,29881344,29153252,26917636,85952232,307508008
Appalachian Total,14247962,13243848,12774704,40266514,11005957,12099956,13816195,36922108,15060634,16414740,15985225,47460599,17424503,16828431,15950327,50203261,174852482
Interior Total,10966555,10222715,9826533,31015803,8498504,9381940,10705271,28585715,12230033,13432973,13083094,38746100,14770357,14327144,13466944,42564445,140912063
Western Total,33067044,30943900,29840177,93851121,26535758,29130549,32506719,88173026,37796896,41410322,39160878,118368096,40823726,39681533,36705557,117210816,417603059
East of Mississippi River,23069644,21457375,20662886,65189905,17653059,19382129,21913311,58948499,23769036,25938999,25144486,74852521,27334458,26411530,24964751,78710739,277701664
West of Mississippi River,35211917,32953088,31778528,99943533,28387160,31230316,35114874,94732350,41318527,45319036,43084711,129722274,45684128,44425578,41158077,131267783,455665940
Bituminous and Lignite,58140632,54277900,52312128,164730660,45907515,50466350,56865904,153239769,64890005,71047373,68031066,203968444,72809226,70634292,65953839,209397357,731336230
Anthracite,140929,132563,129286,402778,132704,146095,162281,441080,197558,210662,198131,606351,209360,202816,168989,581165,2031374
US Total,58281561,54410463,52441414,165133438,46040219,50612445,57028185,153680849,65087563,71258035,68229197,204574795,73018586,70837108,66122828,209978522,733367604
