State,Jan,Feb,Mar,Q1,Apr,May,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Total
Alabama,798766,750490,772242,2321498,673395,724777,769836,2168008,760902,840295,752327,2353524,1037459,1011100,1007330,3055889,9898919
Alaska,117285,111525,96838,325648,70017,73005,77380,220402,60699,66634,59757,187090,60420,57716,61677,179813,912953
Arizona,505326,475430,468379,1449135,440853,464135,499604,1404592,508742,561240,501666,1571648,509888,489234,471842,1470964,5896339
Arkansas,4375,4035,4053,12463,3223,3234,3562,10019,1539,1656,1638,4833,3078,2999,3105,9182,36497
Colorado,904696,840520,917386,2662602,943828,983190,1076426,3003444,1198425,1324054,1176016,3698495,1471937,1425628,1361497,4259062,13623603
Illinois,4379622,4129232,4095808,12604662,3673745,3936872,4107232,11717849,3632483,3996647,3582053,11211183,3736508,3633648,3657162,11027318,46561012
Indiana,2886186,2709370,2678870,8274426,2495226,2613045,2782563,7890834,2582363,2844372,2544900,7971635,2553151,2453972,2414355,7421478,31558373
Kansas,11182,10698,12026,33906,9182,9635,10350,29167,,,,,,,,,63073
Kentucky Total,3968297,3746919,3672976,11388192,3193028,3348065,3571593,10112686,3367691,3713078,3314618,10395387,3477947,3361591,3343270,10182808,42079073
Eastern (KY),1465469,1385510,1364096,4215075,1138631,1190830,1281954,3611415,1215066,1339017,1194518,3748601,1392280,1342048,1394435,4128763,15703854
Western (KY),2502828,2361409,2308880,7173117,2054397,2157235,2289639,6501271,2152625,2374061,2120100,6646786,2085667,2019543,1948835,6054045,26375219
Louisiana,266540,249348,246068,761956,224889,234119,250565,709573,238443,262885,234223,735551,269223,257368,225611,752202,2959282
Maryland,131961,125054,128915,385930,121752,129435,137348,388535,156528,173746,153816,484090,159796,156773,148709,465278,1723833
Mississippi,285525,270751,260375,816651,237100,251226,264180,752506,256591,283733,252820,793144,263803,255935,227091,746829,3109130
Missouri,23529,21300,21953,66782,27300,28289,30467,86056,28659,31470,28291,88420,24626,23894,20131,68651,309909
Montana,2749767,2604546,2597503,7951816,2412898,2566319,2705042,7684259,2927835,3245530,2882404,9055769,2827435,2778662,2755481,8361578,33053422
New Mexico,1350198,1254743,1191147,3796088,811256,862221,908577,2582054,870821,966328,859800,2696949,1076956,1041452,1086172,3204580,12279671
North Dakota,3154516,2962729,2857695,8974940,2555382,2712811,2820639,8088832,2536769,2799346,2500012,7836127,2350552,2275910,2214885,6841347,31741246
Ohio,1424555,1346070,1248172,4018797,1029557,1075344,1121135,3226036,824964,903849,815501,2544314,665768,650022,633317,1949107,11738254
Oklahoma,67942,63730,61391,193063,53452,55532,58291,167275,47144,51805,46397,145346,42317,41617,39826,123760,629444
Pennsylvania Total,4477078,4179345,4262102,12918525,4179987,4369915,4636659,13186561,4399448,4851618,4328300,13579366,4371999,4237050,4048767,12657816,52342268
Anthracite (PA),172358,162565,152058,486981,123793,132896,139160,395849,126507,139341,124853,390701,139306,135633,140999,415938,1689469
Bituminous (PA),4304720,4016780,4110044,12431544,4056194,4237019,4497499,12790712,4272941,4712277,4203447,13188665,4232693,4101417,3907768,12241878,50652799
Tennessee,79410,75931,65224,220565,47437,50002,52542,149981,40926,45063,40388,126377,39403,38066,37300,114769,611692
Texas,4726678,4452809,4164990,13344477,3756464,3952587,4082430,11791481,3508722,3872440,3456496,10837658,2976769,2908219,2754849,8639837,44613453
Utah,1524781,1426255,1390669,4341705,1281934,1335167,1408328,4025429,1227932,1351819,1208094,3787845,1123818,1089568,1053590,3266976,15421955
Virginia,1423475,1332084,1310328,4065887,1235162,1290827,1370707,3896696,1260735,1388430,1242553,3891718,1163597,1122017,1084330,3369944,15224245
West Virginia Total,7921988,7454638,7416078,22792704,6941132,7338911,7779093,22059136,7558953,8338143,7450350,23347446,7523660,7283244,7176900,21983804,90183090
Northern (WV),4577239,4301430,4232960,13111629,3961202,4166813,4413271,12541286,4275558,4718501,4213745,13207804,4018162,3873566,3733700,11625428,50486147
Southern (WV),3344749,3153208,3183118,9681075,2979930,3172098,3365822,9517850,3283395,3619642,3236605,10139642,3505498,3409678,3443200,10358376,39696943
Wyoming,26316160,24812975,24857538,75986673,23659085,24657415,26515464,74831964,28831570,31919502,28363642,89114714,28023922,27154710,26694381,81873013,321806364
Appalachian Total,17722702,16649122,16567157,50938981,15367053,16170041,17149274,48686368,16217522,17880161,15977753,50075436,16353962,15840320,15531088,47725370,197426155
Interior Total,15154407,14272682,13854414,43281503,12534978,13241774,13879279,39656031,12448569,13719069,12266918,38434556,11955142,11597195,11290965,34843302,156215392
Western Total,36622729,34488723,34377155,105488607,32175253,33654263,36011460,101840976,38162793,42234453,37551391,117948637,37444928,36312880,35699525,109457333,434735553
East of Mississippi River,27776863,26119884,25911090,79807837,23827521,25128419,26592888,75548828,24841584,27378974,24477626,76698184,24993091,24203418,23778531,72975040,305029889
West of Mississippi River,41722975,39290643,38887636,119901254,36249763,37937659,40447125,114634547,41987300,46454709,41318436,129760445,40760941,39546977,38743047,119050965,483347211
Bituminous and Lignite,69327480,65247962,64646668,199222110,59953491,62933182,66900853,189787526,66702377,73694342,65671209,206067928,65614726,63614762,62380579,191610067,786687631
Anthracite,172358,162565,152058,486981,123793,132896,139160,395849,126507,139341,124853,390701,139306,135633,140999,415938,1689469
US Total,69499838,65410527,64798726,199709091,60077284,63066078,67040013,190183375,66828884,73833683,65796062,206458629,65754032,63750395,62521578,192026005,788377100
