State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,1749694.0,1675935.0,1886483.0,1650418.0,1662230.0,1733875.0,1523349.0,1786882.0,1679589.0,1611888.0,1681272.0,1674653.0,20316268.0
Alaska,141457.0,136761.0,157348.0,154527.0,157155.0,162956.0,155289.0,187503.0,175064.0,166549.0,171176.0,166489.0,1932274.0
Arizona,530438.0,512835.0,590033.0,553103.0,557431.0,585803.0,528626.0,636776.0,594541.0,594185.0,610696.0,593963.0,6888430.0
Arkansas,2438.0,2359.0,2716.0,5030.0,5173.0,5483.0,6797.0,8303.0,7753.0,8970.0,9219.0,8966.0,73207.0
Colorado,1866325.0,1837883.0,2223471.0,2031602.0,1610546.0,1912810.0,2052412.0,2711331.0,2809647.0,3004799.0,2151226.0,2331409.0,26543461.0
Illinois,2820628.0,2668103.0,2975787.0,2722395.0,2784406.0,2784581.0,2546103.0,2918149.0,2750081.0,2748760.0,2810821.0,2822702.0,33352516.0
Indiana,3057577.0,2900821.0,3242194.0,2986414.0,3037133.0,3085996.0,2741616.0,3155939.0,2972387.0,2865902.0,2943190.0,2950099.0,35939268.0
Kansas,14991.0,14494.0,16673.0,15471.0,15518.0,16442.0,7537.0,8641.0,8068.0,6820.0,7009.0,6817.0,138481.0
Kentucky Total,9189218.0,8739002.0,9784432.0,8663268.0,8806358.0,8944253.0,8102263.0,9376623.0,8827341.0,8577713.0,8840768.0,8848604.0,106699843.0
Eastern,5961729.0,5689269.0,6387167.0,5641905.0,5725367.0,5862023.0,5089956.0,5922170.0,5570712.0,5457522.0,5660047.0,5650978.0,68618845.0
Western,3227489.0,3049733.0,3397265.0,3021363.0,3080991.0,3082230.0,3012307.0,3454453.0,3256629.0,3120191.0,3180721.0,3197626.0,38080998.0
Louisiana,322227.0,371011.0,244790.0,266936.0,368388.0,331344.0,381732.0,332653.0,317587.0,260777.0,279602.0,295418.0,3772465.0
Maryland,193907.0,185404.0,208451.0,169912.0,171831.0,175997.0,152161.0,177687.0,167072.0,151316.0,157398.0,156942.0,2068078.0
Mississippi,231800.0,227058.0,201398.0,199717.0,184895.0,165082.0,269552.0,187227.0,303065.0,176458.0,271377.0,332557.0,2750186.0
Missouri,33640.0,32527.0,37421.0,34364.0,34543.0,36410.0,32003.0,38307.0,35949.0,39217.0,40307.0,39204.0,433892.0
Montana,2749186.0,2920196.0,3583196.0,3698287.0,2873054.0,3459955.0,4213954.0,4233580.0,3993579.0,4107117.0,4206015.0,3477444.0,43515563.0
New Mexico,2320490.0,2204087.0,1811219.0,1478353.0,1967169.0,2010680.0,1659061.0,1632170.0,1383553.0,1635734.0,1808924.0,1856969.0,21768409.0
North Dakota,2398949.0,2319339.0,2823986.0,2328138.0,2237042.0,2367620.0,2266425.0,2615144.0,2464622.0,2410949.0,2430113.0,2190155.0,28852482.0
Ohio,2282188.0,2162875.0,2415778.0,2228614.0,2265701.0,2301331.0,2089984.0,2404586.0,2265166.0,2194961.0,2250929.0,2257559.0,27119672.0
Oklahoma,83497.0,80725.0,92878.0,80092.0,80391.0,84451.0,81251.0,98183.0,91670.0,96471.0,99155.0,96436.0,1065200.0
Pennsylvania Total,4983060.0,4754989.0,5337828.0,4801880.0,4865229.0,5006147.0,4434364.0,5164771.0,4858362.0,4718313.0,4892485.0,4884956.0,58702384.0
Anthracite,140405.0,134511.0,151423.0,142783.0,144913.0,150076.0,144269.0,170006.0,159795.0,155477.0,162204.0,161555.0,1817417.0
Bituminous,4842655.0,4620478.0,5186405.0,4659097.0,4720316.0,4856071.0,4290095.0,4994765.0,4698567.0,4562836.0,4730281.0,4723401.0,56884967.0
Tennessee,159083.0,152691.0,172134.0,147070.0,149012.0,153652.0,118563.0,138574.0,130197.0,125523.0,131358.0,130664.0,1708521.0
