State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,1743233.0,1662405.0,1667593.0,1713926.0,1732326.0,1574998.0,1649308.0,1625117.0,1651922.0,1849981.0,1585026.0,1721967.0,20177802.0
Alaska,108560.0,105155.0,105729.0,120544.0,121682.0,113347.0,117644.0,116418.0,118715.0,123793.0,104483.0,117151.0,1373221.0
Arizona,560443.0,517850.0,517064.0,512628.0,517453.0,602443.0,672382.0,661521.0,674594.0,725306.0,615012.0,676153.0,7252849.0
Arkansas,9218.0,8696.0,8631.0,7326.0,7398.0,5165.0,4925.0,4825.0,4923.0,5093.0,4290.0,4662.0,75152.0
Colorado,3112412.0,2986282.0,3148509.0,3165646.0,3273264.0,3266463.0,3371861.0,3539895.0,3404378.0,3192746.0,2870261.0,2891414.0,38223131.0
Illinois,3001266.0,2890365.0,2944889.0,2893954.0,2948399.0,2515665.0,2518709.0,2550308.0,2537952.0,2758445.0,2416802.0,2588429.0,32565183.0
Indiana,3197757.0,3039784.0,3087848.0,3097718.0,3150240.0,2873551.0,2972209.0,2982595.0,2985611.0,3321757.0,2902704.0,3098060.0,36709834.0
Kansas,43496.0,41679.0,41876.0,47062.0,47505.0,29319.0,26289.0,25773.0,26282.0,27101.0,22832.0,24803.0,404017.0
Kentucky Total,10250548.0,9760652.0,9893665.0,10395417.0,10550374.0,9734374.0,10082828.0,10084624.0,10144484.0,10357795.0,8870268.0,9617005.0,119742034.0
Eastern,7506543.0,7132196.0,7199737.0,7569103.0,7667846.0,7280249.0,7622752.0,7591199.0,7668053.0,7753508.0,6591620.0,7197495.0,88780301.0
Western,2744005.0,2628456.0,2693928.0,2826314.0,2882528.0,2454125.0,2460076.0,2493425.0,2476431.0,2604287.0,2278648.0,2419510.0,30961733.0
Louisiana,392150.0,381550.0,387402.0,224894.0,300170.0,348943.0,398088.0,379764.0,311448.0,402923.0,398809.0,393506.0,4319647.0
Maryland,183335.0,174565.0,177575.0,225296.0,227947.0,178915.0,175295.0,174287.0,176602.0,251121.0,222431.0,245539.0,2412908.0
Mississippi,275635.0,219689.0,265443.0,339961.0,280351.0,348161.0,346808.0,274368.0,283168.0,150113.0,64728.0,190094.0,3038519.0
Missouri,19606.0,18549.0,18714.0,22809.0,23023.0,17920.0,17783.0,17472.0,17817.0,26475.0,23383.0,25591.0,249142.0
Montana,3690192.0,3527357.0,3751470.0,3845900.0,3989892.0,3516884.0,3484019.0,3686282.0,3520137.0,3970855.0,3713633.0,3692127.0,44388748.0
New Mexico,2068865.0,1957804.0,1982109.0,2115544.0,2145139.0,2013322.0,2111095.0,2101500.0,2118883.0,2768635.0,2446757.0,2638883.0,26468536.0
North Dakota,2617596.0,2470141.0,2465546.0,2426488.0,2449344.0,2285119.0,2415001.0,2372034.0,2418908.0,2721500.0,2322959.0,2539144.0,29503780.0
Ohio,2085786.0,1984965.0,2023797.0,2122987.0,2160233.0,1928124.0,1981870.0,1990370.0,1990037.0,2211667.0,1936151.0,2057859.0,24473846.0
Oklahoma,167653.0,158979.0,159095.0,165440.0,166999.0,148564.0,154013.0,151554.0,154547.0,164129.0,138912.0,152810.0,1882695.0
Pennsylvania Total,5795313.0,5534803.0,5585181.0,5811249.0,5887465.0,5256668.0,5426432.0,5393140.0,5448433.0,5736784.0,4909940.0,5322693.0,66108101.0
Anthracite,154335.0,148574.0,150071.0,176724.0,178606.0,114025.0,102779.0,101573.0,103248.0,99861.0,83610.0,91822.0,1505228.0
Bituminous,5640978.0,5386229.0,5435110.0,5634525.0,5708859.0,5142643.0,5323653.0,5291567.0,5345185.0,5636923.0,4826330.0,5230871.0,64602873.0
Tennessee,214777.0,204196.0,205077.0,228911.0,231068.0,214535.0,222901.0,220376.0,224731.0,242531.0,205766.0,230054.0,2644923.0
Texas,3585431.0,3429287.0,3661405.0,3702461.0,3849402.0,3296129.0,3235130.0,3433734.0,3268463.0,3400829.0,3166123.0,3111970.0,41140364.0
Utah,1996920.0,1908916.0,1939783.0,2131560.0,2163379.0,1956762.0,2005751.0,2011129.0,2020932.0,2161327.0,1865056.0,2031492.0,24193007.0
Virginia,2248009.0,2150389.0,2182008.0,2077666.0,2114373.0,1961085.0,2028278.0,2043429.0,2040663.0,2367153.0,2085409.0,2232004.0,25530466.0
Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Virginia Total,13543580.0,12930196.0,13159163.0,13665636.0,13897738.0,12847429.0,13298168.0,13369229.0,13373986.0,14418102.0,12544830.0,13443262.0,160491319.0
Northern,4230024.0,4088076.0,4144262.0,4159475.0,4226097.0,3477580.0,3442869.0,3464668.0,3471114.0,3750069.0,3252554.0,3534118.0,45240906.0
Southern,9313556.0,8842120.0,9014901.0,9506161.0,9671641.0,9369849.0,9855299.0,9904561.0,9902872.0,10668033.0,9292276.0,9909144.0,115250413.0
Wyoming,39800653.0,37502936.0,39640508.0,36947801.0,35318604.0,33878488.0,39861616.0,40655060.0,39864822.0,40529479.0,39554041.0,40224423.0,463778431.0
Appalachian Total,33320576.0,31773715.0,32200131.0,33414774.0,33918996.0,31242003.0,32405004.0,32407147.0,32574427.0,34830847.0,30081173.0,32450873.0,390619666.0
Interior Total,13436217.0,12817034.0,13269231.0,13327939.0,13656015.0,12037542.0,12134030.0,12313818.0,12066642.0,12861152.0,11417231.0,12009435.0,151346286.0
Western Total,53955641.0,50976441.0,53550718.0,51266111.0,49978757.0,47632828.0,54039369.0,55143839.0,54141369.0,56193641.0,53492202.0,54810787.0,635181703.0
East of Miss River,42539239.0,40552009.0,41192239.0,42572721.0,43180514.0,39433505.0,40702806.0,40707843.0,40857589.0,43665449.0,37744055.0,40746966.0,493894935.0
West of Miss River,58173195.0,55015181.0,57827841.0,55436103.0,54373254.0,51478868.0,57875597.0,59156961.0,57924849.0,60220191.0,57246551.0,58524129.0,683252720.0
US Total,100712434.0,95567190.0,99020080.0,98008824.0,97553768.0,90912373.0,98578403.0,99864804.0,98782438.0,103885640.0,94990606.0,99271095.0,1177147655.0
