state,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52,week_53
Alabama,59317.0,360982.0,377584.0,413214.0,384872.0,391705.0,363305.0,387609.0,414237.0,414539.0,418942.0,407708.0,416990.0,407527.0,401728.0,406998.0,405523.0,384434.0,383769.0,395944.0,381638.0,376936.0,390043.0,375224.0,376069.0,386053.0,365359.0,325856.0,371278.0,377721.0,381500.0,376449.0,382742.0,384499.0,385338.0,383958.0,373359.0,390092.0,385325.0,374010.0,393055.0,394443.0,388362.0,381162.0,398149.0,389126.0,409109.0,374737.0,408298.0,403421.0,378626.0,373398.0,366107.0
Alaska,-1.0,25446.0,26616.0,29127.0,27130.0,27611.0,25609.0,27323.0,29200.0,29221.0,29531.0,28739.0,29394.0,28727.0,32900.0,33331.0,33210.0,31483.0,31429.0,32426.0,31254.0,30869.0,31943.0,30729.0,30729.0,31322.0,32064.0,28721.0,32908.0,34348.0,34163.0,33358.0,35216.0,34654.0,35095.0,34092.0,32953.0,35600.0,34014.0,33612.0,32810.0,33129.0,32750.0,31706.0,32995.0,32524.0,32819.0,29976.0,33653.0,32841.0,29851.0,29498.0,27690.0
Arizona,14509.0,128558.0,134470.0,147159.0,137066.0,139499.0,129385.0,138041.0,147524.0,147631.0,149199.0,145199.0,148504.0,145134.0,145349.0,147255.0,146722.0,139092.0,138851.0,143256.0,138080.0,136379.0,141121.0,135759.0,135759.0,138379.0,125112.0,112067.0,128403.0,134024.0,133303.0,130161.0,137412.0,135217.0,136937.0,133023.0,128581.0,138909.0,132720.0,131153.0,124881.0,126096.0,124653.0,120680.0,125586.0,123795.0,124915.0,114095.0,128093.0,125002.0,113621.0,112277.0,105395.0
Arkansas,112.0,16.0,16.0,18.0,17.0,17.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,25.0,25.0,25.0,24.0,24.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,348.0,351.0,347.0,336.0,349.0,344.0,348.0,318.0,356.0,348.0,316.0,312.0,295.0
Colorado,118367.0,551626.0,576995.0,631443.0,588132.0,598575.0,555175.0,592315.0,633006.0,633467.0,640195.0,623029.0,637212.0,622752.0,526806.0,533717.0,531782.0,504128.0,503255.0,519221.0,500462.0,494295.0,511483.0,492050.0,492346.0,387909.0,380436.0,351172.0,365804.0,365804.0,365804.0,351172.0,373122.0,373122.0,402971.0,477596.0,507445.0,522370.0,522370.0,477596.0,470803.0,470803.0,500228.0,485516.0,441061.0,470465.0,426359.0,411657.0,400729.0,460096.0,430412.0,385887.0,358443.0
Illinois,61135.0,560320.0,586089.0,641394.0,597400.0,608008.0,563925.0,601650.0,642982.0,643451.0,650285.0,632848.0,647254.0,632567.0,653005.0,661572.0,659174.0,624894.0,623813.0,643603.0,620350.0,612706.0,634012.0,609923.0,617029.0,633409.0,589182.0,525479.0,598728.0,609118.0,615212.0,607066.0,617215.0,620049.0,621401.0,619176.0,602084.0,629067.0,621380.0,603133.0,629752.0,631976.0,622233.0,610697.0,637913.0,623457.0,655473.0,600402.0,654174.0,646360.0,606634.0,598258.0,565890.0
Indiana,107611.0,648010.0,677811.0,741773.0,690894.0,703161.0,652179.0,695808.0,743608.0,744151.0,752054.0,731888.0,748550.0,731563.0,779593.0,789820.0,786958.0,746033.0,744742.0,768368.0,740608.0,731482.0,756918.0,728159.0,724129.0,736629.0,650898.0,580522.0,661444.0,672923.0,679654.0,670655.0,681867.0,684998.0,686492.0,684034.0,665151.0,694961.0,686469.0,666310.0,673809.0,676188.0,665764.0,653421.0,682540.0,667073.0,701329.0,642405.0,699939.0,691578.0,649074.0,640111.0,610552.0
Kansas,788.0,4585.0,4796.0,5248.0,4888.0,4975.0,4614.0,4923.0,5261.0,5265.0,5321.0,5178.0,5296.0,5176.0,4416.0,4474.0,4457.0,4226.0,4218.0,4352.0,4195.0,4143.0,4287.0,4124.0,4124.0,4204.0,3330.0,2983.0,3417.0,3567.0,3548.0,3464.0,3657.0,3599.0,3644.0,3540.0,3422.0,3697.0,3532.0,3491.0,3128.0,3158.0,3122.0,3022.0,3145.0,3100.0,3129.0,2858.0,3208.0,3131.0,2846.0,2812.0,2640.0
Kentucky Total,212824.0,1917432.0,2005615.0,2194873.0,2044324.0,2080623.0,1929769.0,2058865.0,2200305.0,2201909.0,2225296.0,2165626.0,2214926.0,2164665.0,2180343.0,2208947.0,2200941.0,2086485.0,2082873.0,2148951.0,2071310.0,2045788.0,2116926.0,2036496.0,2059703.0,2108483.0,1960924.0,1748906.0,1992695.0,2027275.0,2047556.0,2020444.0,2054222.0,2063653.0,2068156.0,2060749.0,2003862.0,2093669.0,2068085.0,2007354.0,2055116.0,2062374.0,2030580.0,1992933.0,2081748.0,2034572.0,2139053.0,1959337.0,2134814.0,2109315.0,1979675.0,1952340.0,1876083.0
Eastern,132438.0,1354294.0,1416578.0,1550252.0,1443919.0,1469557.0,1363008.0,1454189.0,1554089.0,1555222.0,1571740.0,1529595.0,1564416.0,1528916.0,1506038.0,1525796.0,1520266.0,1441207.0,1438712.0,1484355.0,1430725.0,1413096.0,1462234.0,1406678.0,1424243.0,1462054.0,1326483.0,1183062.0,1347975.0,1371367.0,1385086.0,1366746.0,1389595.0,1395975.0,1399021.0,1394011.0,1355529.0,1416280.0,1398973.0,1357891.0,1379580.0,1384452.0,1363109.0,1337837.0,1397458.0,1365789.0,1435926.0,1315284.0,1433080.0,1415963.0,1328937.0,1310587.0,1271981.0
Western,80386.0,563138.0,589037.0,644621.0,600405.0,611066.0,566761.0,604676.0,646216.0,646687.0,653556.0,636031.0,650510.0,635749.0,674305.0,683151.0,680675.0,645278.0,644161.0,664596.0,640585.0,632692.0,654692.0,629818.0,635460.0,646429.0,634441.0,565844.0,644720.0,655908.0,662470.0,653698.0,664627.0,667678.0,669135.0,666738.0,648333.0,677389.0,669112.0,649463.0,675536.0,677922.0,667471.0,655096.0,684290.0,668783.0,703127.0,644053.0,701734.0,693352.0,650738.0,641753.0,604102.0
Louisiana,15686.0,77707.0,64661.0,78187.0,82131.0,91746.0,63384.0,99469.0,78847.0,105496.0,95270.0,89813.0,74238.0,18500.0,40038.0,35203.0,33427.0,30913.0,91355.0,82931.0,104819.0,104819.0,111301.0,126647.0,120839.0,100884.0,105809.0,59790.0,102406.0,90619.0,101085.0,92290.0,79861.0,18500.0,83144.0,82460.0,70753.0,103315.0,117798.0,87410.0,64319.0,75015.0,85154.0,79861.0,85967.0,83295.0,92273.0,118543.0,103807.0,80972.0,106397.0,68678.0,80402.0
Maryland,1765.0,32333.0,33820.0,37011.0,34473.0,35085.0,32541.0,34718.0,37103.0,37130.0,37524.0,36518.0,37350.0,36502.0,64998.0,65851.0,65613.0,62200.0,62093.0,64063.0,61748.0,60987.0,63108.0,60710.0,51634.0,53005.0,43613.0,38897.0,44319.0,45088.0,45539.0,44936.0,45688.0,45897.0,45998.0,45833.0,44568.0,46565.0,45996.0,44645.0,46648.0,46813.0,46091.0,45237.0,47253.0,46182.0,48554.0,44474.0,48457.0,47879.0,44936.0,44315.0,43253.0
Mississippi,15508.0,54172.0,51176.0,62431.0,73081.0,64400.0,74555.0,74453.0,75145.0,54185.0,49638.0,69689.0,76871.0,41697.0,17200.0,46426.0,86590.0,82795.0,38890.0,80660.0,109389.0,99585.0,63881.0,64141.0,86789.0,8864.0,65410.0,56502.0,75003.0,69994.0,105636.0,80750.0,73536.0,68575.0,91090.0,72954.0,43852.0,93127.0,59670.0,83980.0,34051.0,86006.0,109840.0,73536.0,102050.0,102050.0,82160.0,72018.0,44014.0,68331.0,62453.0,126401.0,113095.0
Missouri,1064.0,7483.0,7827.0,8566.0,7978.0,8120.0,7531.0,8035.0,8587.0,8593.0,8684.0,8451.0,8644.0,8448.0,9243.0,9364.0,9330.0,8845.0,8830.0,9110.0,8781.0,8673.0,8974.0,8633.0,8633.0,8800.0,7913.0,7088.0,8121.0,8477.0,8431.0,8233.0,8691.0,8552.0,8661.0,8414.0,8133.0,8786.0,8394.0,8295.0,8422.0,8504.0,8407.0,8139.0,8470.0,8349.0,8424.0,7695.0,8639.0,8430.0,7663.0,7572.0,7110.0
Montana,181197.0,741793.0,775908.0,849126.0,790884.0,804927.0,746566.0,796509.0,851228.0,851848.0,860896.0,837811.0,856884.0,837439.0,846376.0,857480.0,854371.0,809941.0,808539.0,834190.0,804051.0,794144.0,821758.0,790536.0,856590.0,817654.0,837122.0,778719.0,798186.0,934462.0,876058.0,778719.0,934462.0,914994.0,895526.0,973398.0,914994.0,1012334.0,992866.0,973398.0,1070738.0,973398.0,973398.0,876058.0,1012334.0,992866.0,856590.0,798186.0,934462.0,953930.0,856590.0,739783.0,462561.0
New Mexico,81957.0,429380.0,449127.0,491508.0,457795.0,465924.0,432142.0,461052.0,492725.0,493084.0,498321.0,484959.0,495999.0,484744.0,496697.0,503214.0,501390.0,475316.0,474493.0,489546.0,471859.0,466045.0,482251.0,463928.0,286632.0,382175.0,477719.0,382175.0,429947.0,429947.0,429947.0,334403.0,334403.0,334403.0,238860.0,286632.0,621035.0,477719.0,573263.0,382175.0,573263.0,477719.0,477719.0,573263.0,429947.0,573263.0,573263.0,525491.0,668807.0,621035.0,621035.0,525491.0,468198.0
North Dakota,75334.0,531123.0,555549.0,607973.0,566271.0,576326.0,534540.0,570299.0,609477.0,609922.0,616400.0,599871.0,613527.0,599605.0,592056.0,599823.0,597649.0,566569.0,565588.0,583532.0,562449.0,555518.0,574835.0,552995.0,554401.0,550211.0,508993.0,521041.0,566217.0,583535.0,569229.0,582782.0,580523.0,586547.0,603112.0,579770.0,563206.0,581276.0,569229.0,580357.0,599826.0,614018.0,574428.0,577416.0,577416.0,583392.0,595344.0,516911.0,572187.0,587874.0,562477.0,445201.0,429515.0
Ohio,80940.0,470446.0,492082.0,538517.0,501579.0,510486.0,473473.0,505147.0,539849.0,540243.0,545981.0,531341.0,543437.0,531105.0,543576.0,550707.0,548711.0,520176.0,519276.0,535750.0,516393.0,510030.0,527766.0,507713.0,496549.0,509731.0,477270.0,425668.0,485003.0,493420.0,498356.0,491757.0,499978.0,502274.0,503370.0,501567.0,487721.0,509580.0,503353.0,488571.0,513995.0,515810.0,507858.0,498443.0,520656.0,508857.0,534988.0,490040.0,533928.0,527550.0,495127.0,488290.0,464512.0
Oklahoma,2723.0,22071.0,23086.0,25265.0,23532.0,23950.0,22213.0,23699.0,25328.0,25346.0,25615.0,24928.0,25496.0,24917.0,24434.0,24755.0,24665.0,23383.0,23342.0,24083.0,23213.0,22927.0,23724.0,22822.0,22822.0,23263.0,21438.0,19203.0,22002.0,22965.0,22841.0,22303.0,23545.0,23169.0,23464.0,22793.0,22032.0,23802.0,22741.0,22473.0,22241.0,22457.0,22200.0,21493.0,22367.0,22048.0,22247.0,20320.0,22813.0,22263.0,20236.0,19996.0,18770.0
Pennsylvania Total,144266.0,1034497.0,1082073.0,1184182.0,1102959.0,1122543.0,1041153.0,1110804.0,1187113.0,1187979.0,1200597.0,1168403.0,1195001.0,1167884.0,1246136.0,1262485.0,1257908.0,1192493.0,1190428.0,1228194.0,1183820.0,1169233.0,1209892.0,1163923.0,1131650.0,1161693.0,1077973.0,961422.0,1095439.0,1114448.0,1125597.0,1110693.0,1129262.0,1134447.0,1136922.0,1132850.0,1101577.0,1150947.0,1136882.0,1103497.0,1136836.0,1140851.0,1123263.0,1102438.0,1151568.0,1125472.0,1183268.0,1083853.0,1180923.0,1166817.0,1095104.0,1079983.0,1047808.0
