State,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52
New Mexico,369613,411974,422339,433819,438478,394562,418476,360039,372756,381317,403720,396672,398470,384654,404008,381032,377250,389302,359489,359460,360034,337919,339185,344391,365150,348127,288784,324144,339972,352240,350245,360317,361597,364773,369658,367938,330672,337966,346078,336081,282777,291150,308843,275106,288678,291934,266845,262016,284387,266668,258472,191885
North Dakota,553648,601559,616689,633460,640257,576139,611058,525733,544276,556790,589499,579223,581831,521502,523440,493678,488779,504391,465750,465729,466455,437825,439455,446207,473090,451028,390694,446369,468155,485055,482298,496185,497926,502295,509026,506692,482049,492625,476539,510583,512396,491736,521600,498491,487553,493056,483497,442515,480297,483203,436519,360461
Ohio,371152,404268,414442,425706,430286,387181,410662,353315,365781,374177,396176,389257,391024,380828,396878,374304,370593,382416,353139,353108,353670,331947,333194,338302,358710,341972,302441,338151,354657,367457,365373,375882,377229,380528,385620,383828,344792,361738,361007,333999,305971,303412,325582,297671,300843,307762,288720,273034,299797,288533,269349,213018
Oklahoma,16919,17547,17991,18475,18680,16806,17825,15330,15872,16241,17203,16895,16975,14462,14292,13480,13348,13775,12715,12718,12735,11948,12005,12191,12921,12302,10782,12065,12657,13113,13041,13416,13468,13582,13767,13700,12527,12949,12889,13387,12505,12291,13064,12172,12182,12329,11783,11049,12010,11775,10898,8693
Pennsylvania Total,1138663,1270911,1302858,1338297,1352644,1217209,1290966,1110721,1149893,1176328,1245415,1223724,1229243,1177580,1222364,1152886,1141419,1177897,1087651,1087610,1089303,1022436,1026248,1042009,1104813,1053288,888883,1017886,1067562,1106120,1099816,1131483,1135474,1145439,1160774,1155418,1073711,1093708,1086727,1025442,976203,949450,990826,949710,941376,936604,921149,854419,912379,920567,842860,676745
Anthracite (PA),31418,32371,33186,34080,34448,31001,32886,28291,29290,29960,31727,31171,31311,30910,31928,30110,29814,30764,28404,28405,28449,26709,26802,27218,28850,27500,28366,33882,35539,36824,36613,37669,37804,38138,38649,38469,36021,36816,36172,38744,36748,36317,38535,35758,36004,36424,34675,32686,35492,34667,32259,25477
Bituminous (PA),1107245,1238540,1269672,1304217,1318196,1186208,1258080,1082430,1120603,1146368,1213688,1192553,1197932,1146670,1190436,1122776,1111605,1147133,1059247,1059205,1060854,995727,999446,1014791,1075963,1025788,860517,984004,1032023,1069296,1063203,1093814,1097670,1107301,1122125,1116949,1037690,1056892,1050555,986698,939455,913133,952291,913952,905372,900180,886474,821733,876887,885900,810601,651268
Tennessee,12800,12652,12973,13322,13466,12121,12853,11057,11450,11706,12405,12178,12232,12242,12315,11611,11497,11862,10958,10944,10977,10305,10332,10487,11112,10597,11254,13570,14236,14749,14664,15088,15140,15271,15474,15404,14937,14720,14483,17179,17063,16350,16849,16602,16213,15941,16107,14708,15491,16064,14483,11839
Texas,774215,806318,826601,849074,858186,772249,819049,704683,729542,746317,790153,776373,779884,739485,770110,726323,719110,742077,685241,685195,686278,644131,646550,656466,696062,663585,593858,699455,733599,760084,755762,777508,780262,787100,797657,793955,731830,768921,746747,674803,648214,625429,615349,630585,620114,581659,611635,562815,566621,611225,555197,438564
Utah,320506,352529,361394,371224,375202,337639,358091,308093,318959,326286,345461,339443,340970,325084,337413,318231,315068,325130,300227,300213,300687,282213,283270,287624,304973,290744,251860,289380,303505,314466,312677,321680,322808,325638,329990,328459,304557,311176,308950,285963,273125,263645,268181,265702,261404,253487,257715,237248,246936,257555,234025,187710
Virginia,280726,299129,306657,314995,318377,286490,303851,261424,270657,276865,293131,288026,289323,258400,260719,245885,243450,251221,231987,231963,232341,218064,218877,222234,235648,224657,199047,223792,234724,243191,241818,248766,249644,251823,255193,254016,233811,240139,238935,248329,232961,229203,245976,226639,227261,232517,219827,206253,226509,219686,203482,162836
West Virginia Total,1952107,2142960,2196873,2256597,2280817,2052402,2176815,1872854,1938926,1983482,2099999,2063394,2072728,1980767,2060772,1943601,1924299,1985764,1833657,1833554,1836446,1723673,1730135,1756677,1862593,1775706,1593734,1817108,1905790,1974611,1963375,2019897,2027002,2044802,2072175,2062610,1885006,1918962,1940036,1922117,1788106,1757095,1877548,1739598,1742160,1774806,1687292,1581236,1728886,1686228,1559794,1247915
Northern (WV),891834,1005486,1030761,1058803,1070143,962995,1021348,878754,909733,930663,985306,968155,972524,917359,953103,898928,889984,918431,848066,848033,849356,797212,800184,812482,861451,821279,743072,852219,893794,926085,920802,947326,950637,959006,971818,967350,903639,915935,909843,925973,878361,866099,949048,854559,858733,897131,828852,779428,873908,828343,768841,619932
Southern (WV),1060273,1137474,1166112,1197794,1210674,1089407,1155467,994100,1029193,1052819,1114693,1095239,1100204,1063408,1107669,1044673,1034315,1067333,985591,985521,987090,926461,929951,944195,1001142,954427,850662,964889,1011996,1048526,1042573,1072571,1076365,1085796,1100357,1095260,981367,1003027,1030193,996144,909745,890996,928500,885039,883427,877675,858440,801808,854978,857885,790953,627983
Wyoming,6977270,7388759,7574623,7780563,7864085,7076516,7505456,6457440,6685262,6838892,7240646,7114416,7146581,6789601,6990830,6593362,6527860,6736401,6220417,6220028,6229852,5847270,5869192,5959247,6318552,6023834,5582681,6514611,6832536,7079306,7038966,7241620,7267131,7330936,7429043,7394793,6982364,7135835,6955095,7301746,7133638,6927057,7342455,6940107,6868056,6940727,6731377,6233765,6761065,6727158,6149180,4984285
Appalachian Total,4728766,5168733,5298761,5442813,5501254,4950318,5250377,4517241,4676635,4784068,5065132,4976818,4999329,4758940,4935979,4655315,4609094,4756301,4391994,4391720,4398672,4128548,4144009,4207573,4461283,4253177,3754546,4275536,4484228,4646138,4619712,4752691,4769454,4811287,4875689,4853154,4439283,4564591,4564696,4433967,4150984,4069885,4304512,4038340,4035305,4068954,3916912,3662496,3963657,3914414,3612903,2885160
Interior Total,3295363,3535974,3624907,3723463,3763439,3386564,3591819,3090296,3199292,3272811,3465084,3404657,3420078,3276743,3397115,3203978,3172146,3273482,3022745,3022547,3027308,2841375,2852035,2895847,3070425,2927199,2706211,3161107,3315363,3435122,3415525,3513870,3526265,3557267,3604837,3588214,3352568,3456447,3374808,3373458,3324872,3194860,3313680,3234620,3167622,3132365,3137324,2875051,3051270,3135331,2836047,2311986
Western Total,9583891,10180943,10437033,10720809,10835879,9750722,10341720,8897662,9211579,9423274,9976865,9802912,9847208,9376032,9681510,9131064,9040350,9329149,8614577,8614044,8627648,8097810,8128139,8252895,8750469,8342312,7686504,8963550,9400991,9740521,9685024,9963854,9998961,10086761,10221752,10174646,9573490,9781494,9569623,9909725,9619217,9349299,9867177,9358230,9269685,9327298,9076788,8413537,9085836,9071082,8299386,6704698
East of Mississippi River,7204582,7858170,8055840,8274865,8363689,7526105,7982284,6867702,7110007,7273355,7700654,7566382,7600619,7244199,7501472,7074946,7004686,7228434,6674770,6674358,6684910,6274367,6297857,6394508,6780057,6463795,5799127,6643518,6967757,7219389,7178274,7384931,7410949,7476021,7576033,7541066,6954157,7144714,7092774,7025308,6715941,6533068,6897307,6533701,6477493,6519906,6337234,5879137,6351134,6333189,5799448,4682114
West of Mississippi River,10403438,11027480,11304861,11612220,11736883,10561499,11201632,9637497,9977499,10206798,10806427,10618005,10665996,10167516,10513132,9915411,9816904,10130498,9354546,9353953,9368718,8793366,8826326,8961807,9502120,9058893,8348134,9756675,10232825,10602392,10541987,10845484,10883731,10979294,11126245,11074948,10411184,10657818,10416353,10691842,10379132,10080976,10588062,10097489,9995119,10008711,9793790,9071947,9749629,9787638,8948888,7219730
Bituminous and Lignite,17576602,18853279,19327515,19853005,20066124,18056603,19151030,16476908,17058216,17450193,18475354,18153216,18235304,17380805,17982676,16960247,16791776,17328168,16000912,15999906,16025179,15041024,15097381,15329097,16253327,15495188,14118895,16366311,17165043,17784957,17683648,18192746,18256876,18417177,18663629,18577545,17329320,17765716,17472955,17678406,17058325,16577727,17446834,16595432,16436608,16492193,16096349,14918398,16065271,16086160,14716077,11876367
Anthracite,31418,32371,33186,34080,34448,31001,32886,28291,29290,29960,31727,31171,31311,30910,31928,30110,29814,30764,28404,28405,28449,26709,26802,27218,28850,27500,28366,33882,35539,36824,36613,37669,37804,38138,38649,38469,36021,36816,36172,38744,36748,36317,38535,35758,36004,36424,34675,32686,35492,34667,32259,25477
US Total,17608020,18885650,19360701,19887085,20100572,18087604,19183916,16505199,17087506,17480153,18507081,18184387,18266615,17411715,18014604,16990357,16821590,17358932,16029316,16028311,16053628,15067733,15124183,15356315,16282177,15522688,14147261,16400193,17200582,17821781,17720261,18230415,18294680,18455315,18702278,18616014,17365341,17802532,17509127,17717150,17095073,16614044,17485369,16631190,16472612,16528617,16131024,14951084,16100763,16120827,14748336,11901844
