State,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52
Alabama,295013,304313,311975,320445,323900,291453,309125,265952,275355,281669,298227,293012,294345,258566,258705,243985,241572,249281,230192,230178,230543,216379,217199,220520,233829,222907,212005,245024,256987,266260,264750,272376,273335,275722,279414,278112,257465,263137,261602,280532,270785,262502,274670,263436,260268,259636,255511,236221,252918,255359,233014,188280
Alaska,27538,29794,30545,31372,31711,28540,30269,26032,26956,27578,29200,28682,28814,25613,26135,24646,24403,25183,23263,23255,23289,21866,21935,22279,23624,22512,18461,20530,21532,22310,22183,22819,22904,23103,23412,23305,20835,22193,21914,20463,18900,18483,18655,18385,18334,17648,17840,16613,17157,17793,16381,12850
Arizona,136073,148757,152496,156643,158327,142471,151108,130005,134596,137682,145777,143229,143872,139018,144715,136489,135134,139448,128765,128755,128968,121039,121492,123368,130792,124693,118832,139664,146481,151769,150899,155240,155813,157181,159283,158554,147822,152931,149103,147899,142399,138402,141919,138535,137224,134161,134363,124550,130675,134290,122866,97909
Arkansas,2116,2114,2166,2222,2243,2030,2152,1846,1904,1941,2048,2021,2047,1826,1845,1744,1726,1769,1632,1630,1630,1528,1533,1554,1649,1573,1295,1600,1676,1738,1731,1781,1789,1806,1828,1821,1964,1557,1686,2220,2418,2157,2133,2353,2141,2020,2283,1945,1971,2285,1920,1687
Colorado,447966,468942,480735,493810,499104,449126,476343,409839,424285,434040,459536,451525,453564,428614,449479,423926,419712,433115,399941,399921,400552,375943,377363,383148,406266,387303,343108,397363,416757,431810,429352,441709,443268,447153,453160,451063,404526,433376,424212,389648,360156,356170,370468,350380,353144,350192,339854,320520,341133,339632,316179,247151
Illinois,978699,1087381,1114721,1145040,1157327,1041425,1104545,950325,983836,1006457,1065574,1047005,1051734,1057180,1103583,1040858,1030494,1063442,981968,981929,983458,923075,926513,940757,997461,950953,920537,1077637,1130199,1171048,1164336,1197887,1202079,1212675,1228859,1223238,1157514,1182984,1150463,1188131,1232736,1157929,1213462,1199286,1148033,1147097,1163201,1042029,1117377,1162483,1027863,871014
Indiana,704318,750817,769704,790632,799118,719093,762679,656185,679335,694947,735770,722934,726208,675442,693245,653822,647333,668015,616849,616805,617783,579831,582009,590942,626572,597350,538792,620846,651147,674663,670821,690132,692563,698653,707996,704718,658873,668669,662836,690457,659467,643851,682793,641578,638378,645434,622283,579414,628727,621880,571551,459971
Kansas,428,434,441,455,471,424,449,387,399,407,431,421,421,485,455,428,423,438,405,406,407,383,387,391,412,392,807,1331,1395,1447,1438,1479,1484,1497,1515,1507,2383,2453,1429,2326,3870,3351,3830,3763,3321,3618,3649,3015,3524,3647,2977,2936
Kentucky Total,1366403,1473089,1510155,1551202,1567859,1410836,1496366,1287421,1332839,1363455,1443571,1418393,1424813,1342974,1387480,1308580,1295597,1336963,1234566,1234479,1236442,1160488,1164859,1182721,1254052,1195546,1055255,1202027,1260703,1306222,1298794,1336174,1340893,1352666,1370767,1364426,1242763,1303254,1283298,1224148,1146557,1126206,1175858,1115426,1116629,1111491,1081907,1013489,1082740,1081198,999744,791035
Eastern (KY),648955,701415,719065,738607,746546,671773,712500,613009,634632,649213,687361,675372,678428,657643,689019,649839,643386,663932,613079,613035,614009,576297,578467,587333,622756,593716,518818,587834,616531,638790,635158,653440,655746,661503,670356,667253,598088,636756,627566,565767,522030,514067,531140,507848,509698,502064,492587,462611,489076,492260,456347,357791
Western (KY),717448,771674,791090,812595,821313,739063,783866,674412,698207,714242,756210,743021,746385,685331,698461,658741,652211,673031,621487,621444,622433,584191,586392,595388,631296,601830,536437,614193,644172,667432,663636,682734,685147,691163,700411,697173,644675,666498,655732,658381,624527,612139,644718,607578,606931,609427,589320,550878,593664,588938,543397,433244
Louisiana,19233,13404,13743,14112,14267,12836,13618,11712,12127,12404,13137,12908,12967,28706,37830,35681,35320,36456,33662,33658,33711,31639,31757,32258,34187,32601,49705,72605,76139,78893,78430,80699,80996,81720,82804,82429,83351,83560,77511,84848,89031,84526,82948,86618,83788,78424,83996,76058,76390,83972,75027,60720
Maryland,29350,33085,33918,34844,35218,31689,33605,28909,29941,30628,32418,31855,32006,32914,35207,33204,32878,33928,31331,31328,31383,29447,29557,30011,31822,30334,28364,32171,33741,34960,34758,35759,35884,36199,36683,36513,31473,35431,34340,40602,37865,37806,41921,36836,37486,39624,35719,34014,38601,35717,33574,26736
Mississippi,75351,79565,81564,83785,84677,76206,80817,69539,71994,73641,77968,76604,76963,67306,70204,66210,65554,67645,62472,62460,62564,58722,58934,59848,63445,60485,48815,55306,58011,60108,59769,61487,61706,62243,63078,62783,53812,61972,59047,54372,48227,49264,51822,46919,48846,48994,45518,44320,47709,45474,43734,32725
Missouri,6636,6720,6886,7073,7157,6432,6819,5877,6076,6214,6590,6475,6494,6520,7090,6691,6627,6834,6314,6302,6309,5927,5955,6052,6420,6128,5183,6069,6368,6596,6561,6747,6771,6828,6922,6890,5639,6884,6468,4533,3877,3923,3561,3768,3888,3363,3656,3528,3277,3652,3483,2432
Montana,751277,778629,798212,819918,828715,745729,790919,680481,704489,720689,763026,749722,753106,761946,805490,759700,752144,776179,716725,716683,717811,673735,676247,686631,728022,694071,692084,831489,872053,903565,898404,924284,927514,935682,948180,943842,900665,895392,887732,917342,895826,862656,895056,871524,855292,846093,845297,776310,824186,844783,765764,622447
