state,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52,week_53
Alabama,238776.0,358979.0,353209.0,363401.0,362630.0,341592.0,356720.0,368298.0,336871.0,331062.0,329950.0,342951.0,340626.0,328664.0,332638.0,332961.0,339374.0,334806.0,336900.0,330044.0,336978.0,325222.0,335236.0,352565.0,337088.0,338506.0,254592.0,302132.0,336427.0,348085.0,346296.0,342516.0,356746.0,343345.0,353571.0,341761.0,371261.0,367677.0,362304.0,353376.0,364055.0,363056.0,361574.0,352323.0,356443.0,368572.0,366068.0,325904.0,363576.0,372258.0,378390.0,297803.0,138900.0
Alaska,18720.0,28142.0,27690.0,28489.0,28429.0,26779.0,27965.0,28873.0,27106.0,26639.0,26549.0,27595.0,27408.0,26446.0,26765.0,26791.0,27307.0,26940.0,27108.0,26557.0,27115.0,26169.0,26974.0,28369.0,27123.0,27238.0,20485.0,24311.0,27070.0,28008.0,27864.0,27560.0,28705.0,27627.0,28450.0,27499.0,28451.0,28176.0,27842.0,27156.0,27977.0,27900.0,27786.0,27075.0,27392.0,28324.0,28132.0,16374.0,18266.0,18703.0,19011.0,14962.0,8358.0
Arizona,161724.0,243135.0,239228.0,246130.0,245608.0,231359.0,241605.0,249447.0,235791.0,231725.0,230947.0,240047.0,238419.0,230047.0,232828.0,233054.0,237543.0,234346.0,235811.0,231013.0,235866.0,227638.0,234647.0,246776.0,224146.0,225089.0,169290.0,200902.0,223706.0,231459.0,230269.0,227755.0,243460.0,234315.0,247480.0,239214.0,247488.0,245099.0,245869.0,239810.0,247057.0,246379.0,245373.0,239095.0,241891.0,250122.0,248423.0,219080.0,244404.0,250240.0,254362.0,200190.0,98182.0
Arkansas,88.0,130.0,128.0,132.0,131.0,124.0,129.0,133.0,291.0,286.0,285.0,296.0,294.0,284.0,287.0,287.0,293.0,289.0,291.0,285.0,291.0,281.0,289.0,304.0,291.0,292.0,220.0,261.0,290.0,300.0,299.0,296.0,308.0,296.0,305.0,295.0,305.0,302.0,835.0,815.0,839.0,837.0,834.0,812.0,822.0,850.0,844.0,744.0,830.0,850.0,864.0,680.0,306.0
Colorado,429024.0,645000.0,634634.0,652945.0,651560.0,613760.0,640942.0,661744.0,608871.0,598373.0,596363.0,619861.0,615658.0,594038.0,601221.0,601804.0,613396.0,605139.0,608923.0,596532.0,609066.0,587818.0,605917.0,637237.0,578802.0,581236.0,437150.0,518779.0,577665.0,597684.0,594612.0,588121.0,628674.0,605059.0,639055.0,617710.0,702983.0,696197.0,683793.0,666942.0,687097.0,685212.0,682415.0,664955.0,672731.0,695622.0,690897.0,609291.0,679719.0,695951.0,707414.0,556754.0,274896.0
Illinois,386248.0,580693.0,571360.0,587846.0,586599.0,552568.0,577039.0,595767.0,518348.0,509410.0,507699.0,527703.0,524126.0,505720.0,511835.0,512331.0,522199.0,515171.0,518392.0,507843.0,518513.0,500424.0,515833.0,542496.0,518683.0,520864.0,391744.0,464895.0,517665.0,535604.0,532851.0,527034.0,548929.0,528310.0,544044.0,525872.0,663755.0,657348.0,653928.0,637813.0,657089.0,655286.0,652611.0,635913.0,643350.0,665241.0,660722.0,582680.0,650033.0,665555.0,676519.0,532438.0,276649.0
Indiana,468076.0,703713.0,692403.0,712381.0,710871.0,669629.0,699286.0,721981.0,664065.0,652615.0,650423.0,676051.0,671467.0,647887.0,655721.0,656357.0,669000.0,659995.0,664122.0,650607.0,664277.0,641103.0,660843.0,695002.0,617980.0,620578.0,466740.0,553894.0,616767.0,638140.0,634860.0,627930.0,678631.0,653139.0,696985.0,673705.0,717917.0,710988.0,714861.0,697245.0,718316.0,716345.0,713421.0,695168.0,703297.0,727228.0,722288.0,656084.0,731921.0,749399.0,761743.0,599512.0,290034.0
Kansas,2756.0,4141.0,4075.0,4192.0,4183.0,3941.0,4115.0,4249.0,3171.0,3116.0,3106.0,3228.0,3206.0,3094.0,3131.0,3134.0,3194.0,3151.0,3171.0,3107.0,3172.0,3061.0,3156.0,3319.0,3173.0,3186.0,2396.0,2844.0,3167.0,3276.0,3260.0,3224.0,3358.0,3232.0,3328.0,3217.0,3328.0,3296.0,3919.0,3823.0,3938.0,3927.0,3911.0,3811.0,3856.0,3987.0,3960.0,4016.0,4480.0,4587.0,4663.0,3670.0,1650.0
Kentucky Total,1662088.0,2498804.0,2458642.0,2529583.0,2524218.0,2377776.0,2483081.0,2563669.0,2346046.0,2305593.0,2297849.0,2388389.0,2372196.0,2288892.0,2316569.0,2318815.0,2363478.0,2331667.0,2346246.0,2298501.0,2346796.0,2264923.0,2334663.0,2455343.0,2183233.0,2192413.0,1648923.0,1956828.0,2178947.0,2254457.0,2242869.0,2218386.0,2397503.0,2307444.0,2462347.0,2380102.0,2507394.0,2483193.0,2445332.0,2385071.0,2457151.0,2450407.0,2440405.0,2377965.0,2405774.0,2487634.0,2470737.0,2148800.0,2397183.0,2454425.0,2494855.0,1963518.0,1003639.0
Eastern,1346992.0,2025087.0,1992539.0,2050031.0,2045683.0,1927003.0,2012345.0,2077655.0,1917608.0,1884543.0,1878213.0,1952219.0,1938983.0,1870892.0,1893514.0,1895350.0,1931857.0,1905855.0,1917772.0,1878746.0,1918221.0,1851300.0,1908304.0,2006945.0,1784528.0,1792032.0,1347795.0,1599470.0,1781025.0,1842745.0,1833274.0,1813262.0,1959668.0,1886056.0,2012670.0,1945445.0,2012734.0,1993307.0,1960676.0,1912358.0,1970152.0,1964745.0,1956725.0,1906661.0,1928958.0,1994594.0,1981046.0,1712797.0,1910781.0,1956409.0,1988635.0,1565109.0,803243.0
