State,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52
Northern (WV),725697,831061,888015,920871,979125,918704,935168,934736,915422,889700,938340,937311,888847,836630,780954,806722,810896,798367,815882,806262,872633,763025,874454,881533,830723,854471,725490,831922,805299,836627,911617,846483,886501,890223,858783,792401,835584,820584,884259,893166,889255,875612,900396,917704,864956,884115,854031,901723,909506,949441,963409,703543
Southern (WV),732308,873215,903547,942368,1028781,934801,956983,982163,931438,910474,985938,953750,940060,955118,913392,1000158,925709,933791,1011478,920453,1020617,945988,998270,1031063,1029876,975488,885076,964453,1018748,1020711,1056505,1070872,1081523,1028579,1083210,963903,965399,1039368,1017926,1018607,1015668,999273,1031507,1048192,987097,1012885,975456,1029090,1041952,1084449,1099463,780875
Wyoming,4970893,5451857,6019749,6283999,6422999,6227740,6381514,6131770,6205456,6071246,6155403,6353933,5866101,5769886,5270087,5575880,5592439,5387599,5639193,5560479,5888773,5273868,6030799,5948840,5741778,5892965,5272665,5946922,5954793,6080387,6515957,6259387,6442876,6363032,6350295,5758934,5972382,6067046,6187495,5958294,5775836,5841155,5979410,5961181,5770259,5871314,5547757,6015596,6040031,6167525,6427155,4520039
Appalachian Total,3160019,3594925,3837869,4041488,4235320,3970489,4104196,4043326,3956264,3904685,4058956,4051014,3926927,3813075,3575706,3780794,3695764,3655492,3823677,3674698,3995489,3576027,3985461,4036290,3893241,3894416,3355592,3716260,3788223,3869784,4071460,3981930,4100368,3975548,4039461,3664962,3731480,3874823,3939342,3922996,3870021,3828832,3963136,3994022,3782293,3891525,3716976,3943158,4003284,4132190,4212892,3047312
Interior Total,2201795,2521252,2697103,2804146,2970502,2790293,2847752,2835804,2780366,2709246,2846797,2846827,2745033,2599440,2471238,2645829,2519521,2526330,2675888,2505113,2761369,2502531,2717021,2789524,2724574,2654913,2330356,2575094,2635673,2687415,2821279,2770435,2847775,2754976,2810637,2545468,2585885,2685917,2718220,2604125,2600513,2570801,2618848,2683622,2539479,2571462,2497402,2647437,2645334,2776385,2828510,2038582
Western Total,6703034,7356020,8111910,8487848,8666368,8392193,8619562,8273410,8362150,8200453,8305283,8562228,8026001,7856968,7224596,7690838,7615302,7385699,7778144,7571805,8072730,7274270,8212224,8155095,7919643,8024560,7264775,8184850,8219796,8377690,8967912,8640294,8877108,8757493,8765763,7934802,8219809,8376436,8518580,8252442,8026296,8094746,8289044,8283796,7996445,8139208,7709256,8336461,8373072,8570498,8906761,6267478
East of Mississippi River,4826283,5512482,5876196,6169102,6494546,6079258,6264856,6200101,6057496,5960276,6224074,6202479,5986634,5768118,5440037,5774180,5590681,5561392,5839700,5558793,6078693,5461452,6028922,6140744,5945939,5891173,5082426,5605508,5741457,5861247,6141973,6035853,6212180,5997407,6123171,5552623,5629247,5865899,5967103,5929149,5817221,5768655,5992407,6003731,5698645,5884164,5587300,5941026,6053175,6211490,6347443,4621997
West of Mississippi River,7238565,7959715,8770686,9164380,9377644,9073717,9306654,8952439,9041284,8854108,8986962,9257590,8711327,8501365,7831503,8343281,8239906,8006129,8438009,8192823,8750895,7891376,8885784,8840165,8591519,8682716,7868297,8870696,8902235,9073642,9718678,9356806,9613071,9490610,9492690,8592609,8907927,9071277,9209039,8850414,8679609,8725724,8878621,8957709,8619572,8718031,8336334,8986030,8968515,9267583,9600720,6731375
Bituminous and Lignite,12034427,13438377,14610187,15294316,15832344,15115019,15531728,15114508,15060960,14776547,15172833,15421326,14659189,14235300,13238021,14081294,13797456,13533257,14241135,13718674,14792135,13318620,14878977,14943072,14500213,14538972,12922471,14445771,14610477,14902311,15827308,15357739,15790728,15455456,15580435,14114376,14506622,14900854,15140738,14744136,14463362,14460328,14835070,14926891,14284582,14566887,13891477,14891985,14985370,15443328,15910689,11326980
Anthracite,30421,33820,36695,39166,39846,37956,39782,38032,37820,37837,38203,38743,38772,34183,33519,36167,33131,34264,36574,32942,37453,34208,35729,37837,37245,34917,28252,30433,33215,32578,33343,34920,34523,32561,35426,30856,30552,36322,35404,35427,33468,34051,35958,34549,33635,35308,32157,35071,36320,35745,37474,26392
US Total,12064848,13472197,14646882,15333482,15872190,15152975,15571510,15152540,15098780,14814384,15211036,15460069,14697961,14269483,13271540,14117461,13830587,13567521,14277709,13751616,14829588,13352828,14914706,14980909,14537458,14573889,12950723,14476204,14643692,14934889,15860651,15392659,15825251,15488017,15615861,14145232,14537174,14937176,15176142,14779563,14496830,14494379,14871028,14961440,14318217,14602195,13923634,14927056,15021690,15479073,15948163,11353372
