State,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52
Alabama,221768,264176,272888,287008,311231,282334,291444,297135,281313,277297,298273,288058,278011,262980,261309,289142,254881,267152,292407,253436,291987,273481,274858,294976,297724,268588,235097,251859,269295,271139,275872,283068,287281,269394,287159,256803,252861,274385,264765,266452,285546,266504,270721,294602,263219,265829,274151,274408,273440,304766,293162,233718
Alaska,12691,15223,15926,16025,17942,16477,16275,17113,16403,15464,17175,16798,17624,16746,16183,17594,16224,16536,17786,16130,18073,16631,17487,18256,18108,17091,17215,19843,19621,19853,21734,20634,21040,21236,20933,18808,19925,19993,19013,19622,19585,19396,19823,20213,19161,19470,18820,19981,20029,20896,21353,14164
Arizona,92042,107904,113757,116511,127130,117692,118313,121369,117270,112565,121825,120082,117307,110526,104556,109430,107127,106891,110672,106519,116836,103504,115525,118029,112684,112886,103080,122050,114145,118867,133751,119997,125959,130627,121734,112590,122611,116322,129053,136555,138728,135073,137901,143163,133425,135417,133213,139086,139292,148106,148601,108748
Arkansas,770,708,813,971,831,838,985,795,839,939,798,855,979,1009,871,936,981,890,946,977,975,884,1057,984,963,1033,1136,1260,1299,1313,1379,1356,1378,1333,1380,1236,1253,1299,1314,170,,,,,,,,,,,,
Colorado,286285,304849,337187,368181,359128,348844,373878,342862,347584,355710,344167,355911,327380,315533,283065,281749,305820,289376,284939,304075,316289,266486,329794,319527,290129,322266,234785,262853,255109,270770,288007,268138,286902,281242,272025,256453,263983,259934,267087,250607,249718,245513,250849,257691,242523,246292,239817,252843,253380,266609,270132,205011
Illinois,769269,894721,942138,988673,1054124,974708,1004019,1006338,971222,955193,1010223,994446,965604,915500,891342,974792,887333,911228,985849,882276,995983,921996,956890,1006155,1003783,935031,822447,895663,928684,948501,981184,976160,1005019,958140,990300,898358,899324,946280,934784,902725,916387,890583,910767,945632,879720,894294,880006,917108,919970,978299,979840,734591
Indiana,488746,558259,595308,621639,657724,615886,631291,627905,613678,600594,630324,628354,604665,584958,549738,582959,566963,561999,589575,563729,614280,551386,611405,620545,600299,597435,534721,591239,608353,616653,648538,640315,655063,633305,649602,585540,594422,620713,645345,663949,619675,630897,674165,639687,623308,662023,595341,649856,681050,661889,694318,493963
Kentucky Total,680336,754716,818891,868196,889173,847172,881682,848844,844146,838811,852125,864347,844591,809310,744670,765710,784426,761276,774413,779944,832094,724241,845918,840581,788499,826580,647133,709895,724072,746303,777737,761065,790780,762257,775036,709439,715499,746591,756690,747982,713336,719610,755543,736287,710927,741903,685238,741170,763229,761788,791897,573301
Eastern (KY),316419,337691,370282,407717,397825,383074,414040,379790,381694,393916,381246,390840,409054,404988,365848,371690,392525,374019,375904,390295,408797,351561,423293,412975,382738,413626,310068,343602,342173,357594,376453,359659,378891,370422,367796,341282,347694,357452,351182,350558,341304,340313,353733,352259,336185,347346,327830,350487,357322,364447,374471,264997
Western (KY),363917,417025,448609,460479,491348,464098,467642,469054,462452,444895,470879,473507,435537,404322,378822,394020,391901,387257,398509,389649,423297,372680,422625,427606,405761,412954,337065,366293,381899,388709,401284,401406,411889,391835,407240,368157,367805,389139,405508,397424,372032,379297,401810,384028,374742,394557,357408,390683,405907,397341,417426,308304
Louisiana,35778,47564,48407,44062,56051,50082,44751,53509,49908,42571,53712,51096,41734,29714,28490,23558,28808,29123,23828,28638,31839,22284,31066,32162,24268,30356,17417,22511,16542,20078,24685,17388,21283,24113,17638,19020,22628,16861,20393,19493,23383,20641,19128,24109,20381,18777,22432,21247,19321,24933,22694,19612
Maryland,29401,30010,34130,37843,35348,35310,38432,33746,35173,36560,33880,36044,35237,35059,31554,33035,33983,32261,33410,33790,35263,31248,36647,35620,34017,35805,26034,27072,29585,30022,29652,31094,31812,28955,31556,28440,27175,31216,28315,25703,24961,25175,25699,25758,24862,25225,23971,25922,25952,26638,27703,18796
Mississippi,44332,47552,52272,56823,56030,54077,57708,53478,53880,54909,53692,55158,53901,50263,44429,41615,48720,45416,42090,48441,49644,39363,52541,50148,42855,51337,32601,36053,34298,37600,39507,36042,39841,38579,36568,35606,36216,34944,42124,42055,39106,39046,42529,40362,38582,41765,37569,40221,42964,41771,42967,37827
Missouri,3673,4028,4394,4699,4750,4561,4785,4539,4543,4550,4555,4649,4406,4335,4026,4310,4204,4118,4363,4180,4498,4074,4531,4541,4438,4425,4244,4650,4832,4898,5100,5080,5185,4976,5149,4630,4670,4927,5095,5068,4773,4853,5122,4936,4796,5026,4583,5009,5186,5092,5321,3751
Montana,494669,533303,596564,627863,628292,617173,637600,599804,614966,606599,602115,629673,629498,633770,602763,696283,614267,616215,704182,610771,673529,658577,662421,680408,716993,647289,704331,783120,822948,812221,857935,865091,860631,837830,877643,769282,786366,839975,839915,822338,807713,814495,828841,833631,804560,813876,775792,838789,837245,862483,896146,606305
New Mexico,223086,250640,271733,284289,295292,281128,288702,281901,280123,274669,282994,286823,276441,247099,240821,261205,239497,246189,264167,238125,269085,247050,258262,271828,268964,252360,181240,199970,197910,209019,219099,208006,221478,213944,211038,197966,200825,201656,199067,170482,147826,160789,167641,152624,158877,164605,142063,165624,169363,157916,176977,112160
North Dakota,420647,465425,510300,533239,548347,527923,541525,523475,526043,515186,525504,538620,530697,515358,476198,505831,499506,486818,511576,496656,532107,478435,538663,537535,520885,526355,503564,560239,580509,580706,613791,610213,615314,599384,619076,550010,562574,591535,591712,596067,587370,584956,603085,606201,577842,592185,564155,602423,609195,627183,643626,467726
Ohio,117677,128339,140905,149588,151217,145759,151919,144349,145251,144515,144915,148715,152646,147764,136667,144472,143228,139707,146122,142403,152716,136648,154458,154265,148786,150922,156229,173737,176521,180164,190346,185549,190901,185876,188234,170651,174471,179868,181432,181412,174163,175257,183329,179763,173142,180006,167293,180499,185190,185993,192860,137832
Oklahoma,7732,7822,8933,9937,9205,9228,10109,8813,9222,9621,8849,9443,10341,10211,9124,9413,9896,9324,9520,9839,10196,8906,10672,10299,9695,10429,10204,10689,10703,11764,10949,10427,10981,10691,10577,9806,10030,10343,12909,12146,12010,11904,12177,12399,11753,11951,11528,12268,12285,12826,13110,10366
Pennsylvania Total,794926,879300,958512,1013948,1035928,991617,1029685,988957,988069,979613,992787,1011719,954589,914120,847094,886744,886010,865987,896813,880949,946547,838722,955465,956205,913138,933631,798164,883823,898625,920466,968319,944570,975324,945575,958276,871785,887514,919275,956360,939107,904208,908509,947405,933265,897504,930305,868559,935694,957027,965589,999717,720717
Anthracite (PA),30421,33820,36695,39166,39846,37956,39782,38032,37820,37837,38203,38743,38772,34183,33519,36167,33131,34264,36574,32942,37453,34208,35729,37837,37245,34917,28252,30433,33215,32578,33343,34920,34523,32561,35426,30856,30552,36322,35404,35427,33468,34051,35958,34549,33635,35308,32157,35071,36320,35745,37474,26392
Bituminous (PA),764505,845480,921817,974782,996082,953661,989903,950925,950249,941776,954584,972976,915817,879937,813575,850577,852879,831723,860239,848007,909094,804514,919736,918368,875893,898714,769912,853390,865410,887888,934976,909650,940801,913014,922850,840929,856962,882953,920956,903680,870740,874458,911447,898716,863869,894997,836402,900623,920707,929844,962243,694325
Tennessee,6755,7999,8477,8490,9420,8756,8613,8989,8729,8217,9065,8975,8176,7130,6656,6499,6911,6800,6572,6870,7433,6144,7452,7509,6689,7278,4970,5066,5586,5730,5551,5859,6073,5415,5963,5430,5083,5692,5830,4264,4248,4310,4180,4387,4261,4092,4089,4444,4218,4514,4723,3218
Texas,487578,543573,596229,616863,640439,616815,626462,611373,614622,595974,613765,629319,627866,599128,564396,614226,580715,576975,621208,577384,630657,580958,626234,637084,632512,611913,570521,646736,649063,657899,708653,682261,697136,692004,692183,623115,649537,661411,650748,561095,613147,593580,553150,632469,586197,543069,588535,611045,558651,654234,652834,430168
Utah,202721,226819,246694,257741,267238,255216,261755,255116,254305,249014,256100,260388,260953,248050,230923,242866,240422,236075,245629,239050,258038,229719,259273,260672,250102,253348,247895,289853,274761,285867,317638,288828,302908,310198,293019,270759,291143,279975,285238,298477,299520,293369,301494,309092,289798,296049,287639,302119,304537,319780,322771,233325
Virginia,215068,243134,261113,273655,286445,270134,277912,273461,269175,264393,274512,275602,260307,249286,232232,242332,241621,237408,245089,240240,259496,229210,260564,262144,249550,254607,214464,234726,242391,247331,257145,254776,262062,251109,258484,234267,235699,246983,249273,243727,230668,233879,246166,238092,231067,241722,221596,240891,248677,246353,257384,183616
West Virginia Total,1458005,1704276,1791562,1863239,2007906,1853505,1892151,1916899,1846860,1800174,1924278,1891061,1828907,1791748,1694346,1806880,1736605,1732158,1827360,1726715,1893250,1709013,1872724,1912596,1860599,1829959,1610566,1796375,1824047,1857338,1968122,1917355,1968024,1918802,1941993,1756304,1800983,1859952,1902185,1911773,1904923,1874885,1931903,1965896,1852053,1897000,1829487,1930813,1951458,2033890,2062872,1484418
