State,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52
Alabama,158934,181145,190541,185725,196240,187450,193655,180478,178779,169617,171881,174549,176997,144646,173124,168252,144345,154458,162285,150475,173423,180124,162823,182967,187587,184884,153855,164854,184526,184755,174197,196434,194854,180829,195855,179490,167420,175117,175460,231636,248203,231461,221243,249800,228945,228099,233958,243351,237675,254395,243022,180978
Alaska,22359,27690,28511,26127,29995,28054,27244,27593,26755,23865,20440,20320,18900,16417,17918,15142,16415,15996,14609,17118,17960,16213,18519,18945,16891,17968,12391,13893,13647,14886,14699,14524,15701,15252,14480,14469,14134,12955,14145,14463,13202,13357,13820,13283,13214,14243,12445,14045,14848,15025,15576,10696
Arizona,100094,115009,120923,116974,124587,118966,121961,114589,113461,106829,102147,103695,104991,100259,109920,103650,100162,98101,99973,104420,110154,110983,112984,116221,115578,123827,102844,113860,119287,123525,120354,126989,130282,124944,126613,120006,115683,113215,117315,121151,111507,114380,115717,112221,113142,119303,105114,120260,124315,109986,115576,76891
Arkansas,917,923,1042,1073,998,1019,1115,914,969,973,819,891,893,834,807,572,841,727,554,878,815,615,951,863,643,883,355,291,332,431,320,368,462,334,370,430,311,349,433,696,705,711,669,710,702,687,664,745,719,761,783,533
Colorado,187586,194860,214381,219204,211104,210894,228565,194140,201142,200190,197839,210136,223778,220404,232622,214375,220295,207626,206799,229689,233150,229544,248533,245979,239062,281575,240183,284326,266773,288521,300722,284037,304320,312253,283213,280341,289106,253226,274048,337903,337988,330438,322741,340163,326850,332748,318592,347417,346713,327642,328141,230261
Illinois,859847,1009533,1046089,1004838,1093606,1029165,1047695,1005840,981522,917700,911584,912039,917956,797766,934974,911931,796217,834208,879578,830065,936639,976287,898093,988212,1016716,903003,739015,811454,844118,887706,857772,898596,936261,890510,895978,862483,824533,801080,843085,845031,874910,839616,807143,880492,830542,832128,824698,882769,867111,914967,898895,644046
Indiana,576032,652631,687425,673169,706970,676310,701872,650247,645001,614800,580817,590723,601589,575867,622897,571115,575470,555969,550920,600015,624291,611510,649209,658691,636873,658670,523694,582028,597632,629058,615285,636220,663467,638775,634372,611183,591462,567191,597445,602827,563519,572815,575800,567117,566620,593624,531178,602253,618578,572271,595958,400435
Kansas,2095,2635,2806,2448,2855,2760,2552,2623,2628,2230,2932,3014,2644,2084,2286,2172,2079,2034,2081,2158,2282,2338,2374,2444,2445,2074,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Total,777001,910041,959195,908001,985855,943653,946756,906717,899993,829262,805849,820079,801951,735172,802051,729050,734691,715857,703290,765993,803864,780644,828841,848128,813020,854012,680465,770926,770777,817351,815133,820558,862107,846251,818202,794139,783565,731522,776303,806768,784626,784304,770609,789619,775840,794453,739598,824619,827869,810251,829664,565167
Eastern (KY),286019,335685,356795,334230,363667,351003,348512,334463,334778,305250,299432,307250,295242,264108,286772,255793,263992,255960,246773,275236,287450,273905,297834,303267,285278,316496,245415,281369,274451,294794,297551,292174,310949,308906,291345,286434,286033,260474,280006,324920,312933,311803,310355,314923,308434,319955,294970,327825,333413,343278,350408,241316
Western (KY),490982,574356,602400,573771,622188,592650,598244,572254,565215,524012,506417,512829,506709,471064,515279,473257,470699,459897,456517,490757,516414,506739,531007,544861,527742,537516,435050,489557,496326,522557,517582,528384,551158,537345,526857,507705,497532,471048,496297,481848,471693,472501,460254,474696,467406,474498,444628,496794,494456,466973,479256,323851
Louisiana,53922,59146,63550,63012,64068,62518,65700,58929,59630,57553,52015,53961,55261,52701,56010,50188,52681,50000,48416,54930,56141,53745,59439,59237,55974,60278,48090,55863,53290,57772,59083,56736,60940,61344,56574,56137,56795,50587,54864,64210,59239,59406,61330,59612,58762,63226,55835,62454,65882,49962,51336,35671
