State,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52
Mississippi,51384,59193,59055,76296,58613,60957,65189,46389,59368,74909,58215,57825,70090,65365,79849,81448,86634,80987,82888,92143,83137,88169,88506,89765,90360,90258,83026,57164,87562,78782,61605,84632,80117,62612,86523,68021,56755,74234,71251,55240,46382,45622,57122,45624,52605,58388,44160,50392,58728,44883,50408,38893
Missouri,2980,3404,3228,3754,3377,3337,3205,2683,3246,3926,3589,3383,3696,3511,3756,3603,4005,3812,3667,4264,3912,3900,3393,3503,3314,3473,3261,2695,3227,3102,2899,3116,3152,2942,3183,2786,2778,2836,2907,2415,2418,1960,1872,2387,2274,1930,2319,2180,1960,2377,2199,2004
Montana,507680,569332,533998,579716,565884,552073,495635,448041,537870,560990,554161,516167,525043,505128,513084,498200,530735,520309,507074,564489,534190,539283,525419,558848,535638,536138,525603,458535,531910,510155,494159,514019,518855,502172,525564,538431,556633,551387,564277,531748,557100,468250,524600,548408,540188,536213,530890,517333,564192,564251,541387,497740
New Mexico,198139,215347,209385,233744,213836,216384,199830,169289,210810,226178,209327,202285,211685,196118,203198,196964,213829,206055,200477,227431,211563,213206,215947,225771,216047,220923,210444,183211,201271,201622,197449,194495,205063,200648,198861,187269,195764,183631,196293,180715,170677,146955,162301,167997,169549,165882,162634,162362,164200,162624,159851,140677
North Dakota,539319,678744,618279,682455,674746,639234,583432,534277,622757,690945,691112,625216,646633,646592,687683,690390,703555,697406,702624,748355,715967,747298,648093,696990,690659,663095,653713,555291,656438,632222,598409,634404,642965,608143,648606,572371,578224,583663,599830,550862,567453,478870,539594,558580,552428,551540,540732,529067,547130,541943,522034,478468
Ohio,67445,72967,68599,69320,72601,70945,59287,57480,69133,71203,75445,70384,66642,63926,59695,57553,60120,60533,58584,63947,62137,62288,61310,66975,63760,62577,61122,49384,60210,56743,53225,58175,57721,54085,59477,57113,57198,59528,59876,53981,54957,46735,51599,54094,53925,52739,52380,51645,53861,54035,52463,47027
Oklahoma,1049,867,1205,1327,863,1237,1125,667,1210,1681,1093,1516,1566,595,60,58,59,59,58,63,58,61,63,69,66,13,31,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania Total,677064,759101,705995,726878,755162,730177,621541,597950,711473,723749,761658,702871,677381,663116,650494,649792,651217,659634,661356,692641,677241,703353,726144,799115,788492,746312,774541,711120,815563,773134,766338,788161,786290,778763,805820,817154,864878,846939,856378,864182,930761,798096,949295,916076,920583,970308,886755,881643,995815,919864,900294,828271
Anthracite (PA),50772,53137,52477,58348,52751,54231,49877,41758,52831,52893,48382,47489,49498,45539,46746,44876,49953,47402,45677,53133,48659,48568,48402,49836,47237,52900,52119,44473,51708,50264,47933,49970,51123,48691,51082,44593,45381,45065,46746,42548,39234,34982,39890,38613,40360,40774,37369,38647,40313,37345,38013,32242
Bituminous (PA),626292,705964,653518,668530,702411,675946,571664,556192,658642,670856,713276,655382,627883,617577,603748,604916,601264,612232,615679,639508,628582,654785,677742,749279,741255,693412,722422,666647,763855,722870,718405,738191,735167,730072,754738,772561,819497,801874,809632,821634,891527,763114,909405,877463,880223,929534,849386,842996,955502,882519,862281,796029
Tennessee,8004,8841,8486,9367,8780,8780,8010,6952,8546,7585,7200,6863,7092,6615,6789,6699,7041,6881,6819,7489,7066,7251,7179,7612,7418,7358,4185,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,341140,385418,364208,405259,382898,376451,346451,303151,366745,432558,413482,388174,404812,391933,420893,427265,433731,426835,434857,461327,438207,462490,403403,430700,431587,461305,444349,376173,458355,435271,405396,442955,442685,411982,452891,397868,395536,411505,416944,362872,363407,304428,319812,357774,351241,326893,346374,336371,315638,337877,323082,289522
Utah,248966,293071,276427,321350,290973,285636,274686,230357,278244,345891,316871,297026,323691,309871,336491,327528,356288,341261,333333,378981,350334,354529,342188,355581,341623,349120,333500,279781,337744,322489,301500,326401,327970,306417,333715,285186,284560,293350,298843,268641,271323,230673,256902,267083,266111,262588,258551,254855,247378,246077,238798,215198
Virginia,187834,217357,198618,210434,216197,205401,179928,171188,200127,211482,219890,199443,197935,194081,190555,181494,194628,193236,184725,207017,198392,196465,197264,212489,199784,202235,199173,178112,196720,191531,191942,190110,194787,195064,194376,201535,215598,203288,211199,209714,226453,188995,216471,222914,218017,221264,215791,208798,229253,225889,215186,202135
West Virginia Total,1168715,1296801,1250345,1410507,1287687,1292101,1205782,1019374,1258779,1480187,1365878,1309069,1385280,1289520,1373190,1367535,1419924,1392538,1391862,1510252,1429678,1480278,1529948,1627338,1599819,1560574,1549156,1360047,1594009,1527478,1466064,1540583,1553460,1489884,1575113,1560232,1597634,1599195,1635047,1548187,1648409,1384355,1583262,1622648,1596939,1618339,1570762,1529408,1642826,1614260,1545915,1439021
Northern (WV),624085,697159,675668,773118,692047,698145,660869,547835,680118,843453,763870,735864,789347,744659,809562,808920,853073,820996,823292,907367,842870,875613,930834,971949,958583,950077,945071,862648,1002880,958905,929615,969217,975189,944736,990919,954564,987734,980615,1000332,963340,1014702,863482,1000673,998790,996031,1022844,966829,953924,1005497,960707,933152,856450
Southern (WV),544630,599642,574677,637389,595640,593956,544913,471539,578661,636734,602008,573205,595933,544861,563628,558615,566851,571542,568570,602885,586808,604665,599114,655389,641236,610497,604085,497399,591129,568573,536449,571366,578271,545148,584194,605668,609900,618580,634715,584847,633707,520873,582589,623858,600908,595495,603933,575484,637329,653553,612763,582571
Wyoming,4116706,4622478,4355630,4771037,4593532,4502647,4078907,3636861,4386711,4831123,4705913,4404516,4521426,4418986,4609583,4553156,4831913,4674586,4634108,5139345,4799251,4928557,4782789,5019955,4894562,4892629,4797031,4221668,5007014,4760833,4549590,4838782,4841883,4623464,4947300,4792778,4888430,4950830,5022627,4662059,4599347,4012025,4579507,4526917,4628096,4680823,4382199,4432296,4836780,4563031,4555516,3982269
Appalachian Total,2471907,2812712,2644235,2876419,2795555,2733579,2459217,2213307,2663290,2969839,2916796,2723915,2779459,2664630,2753496,2741231,2808389,2792256,2790007,2987068,2866737,2967220,3005247,3241730,3185918,3083055,3084504,2707620,3147649,3016728,2917966,3041355,3068086,2965351,3109489,3081858,3183903,3159446,3229671,3104515,3299290,2788994,3223078,3247570,3217238,3294434,3143733,3081177,3351211,3233160,3118554,2888301
Interior Total,1565333,1794454,1678047,1833009,1783580,1734720,1567126,1412108,1690120,1934495,1904877,1768696,1810513,1753253,1834361,1845493,1866810,1860199,1878281,1985533,1909792,1997614,1942502,2102033,2087728,2032894,2012831,1693961,2079331,1956110,1825544,2009460,1989405,1855187,2054525,1959324,1953888,2045308,2053177,1875156,2047900,1687754,1871773,2016104,1947074,1913273,1951750,1864777,1906464,1963259,1847353,1740284
Western Total,5808721,6604293,6208071,6832479,6562713,6417474,5841214,5195952,6252189,6916101,6719300,6273915,6472716,6308723,6596781,6505867,6896935,6689845,6621503,7335822,6868213,7042268,6770947,7124298,6934645,6923481,6772889,5918555,6990679,6674562,6378607,6756159,6788184,6482224,6907689,6619019,6752717,6810709,6936536,6430494,6411003,5542712,6292406,6310279,6393955,6431644,6108576,6123436,6603527,6323425,6252997,5530345
East of Mississippi River,3673983,4196569,3935739,4283121,4171132,4068740,3661905,3302388,3964133,4449757,4381819,4081142,4164533,4006102,4151758,4146908,4226731,4210199,4220672,4495614,4322505,4488774,4530022,4896722,4828843,4640062,4640205,4017601,4759804,4528707,4329712,4599342,4605800,4400026,4702418,4634729,4733550,4784883,4856925,4609016,4976027,4166065,4768679,4898264,4805849,4874292,4741683,4602638,4935369,4850892,4635779,4332495
West of Mississippi River,6171978,7014890,6594614,7258786,6970716,6817033,6205652,5518979,6641466,7370678,7159154,6685384,6898155,6720504,7032880,6945683,7345403,7132101,7069119,7812809,7322237,7518328,7188674,7571339,7379448,7399368,7230019,6302535,7457855,7118693,6792405,7207632,7239875,6902736,7369285,7025472,7156958,7230580,7362459,6801149,6782166,5853395,6618578,6675689,6752418,6765059,6462376,6466752,6925833,6668952,6583125,5826435
Bituminous and Lignite,9795189,11158322,10477876,11483559,11089097,10831542,9817680,8779609,10552768,11767542,11492591,10719037,11013190,10681067,11137892,11047715,11522181,11294898,11244114,12255290,11596083,11958534,11670294,12418225,12161054,11986530,11818105,10275663,12165951,11597136,11074184,11757004,11794552,11254071,12020621,11615608,11845127,11970398,12172638,11367617,11718959,9984478,11347367,11535340,11517907,11598577,11166690,11030743,11820889,11482499,11180891,10126688
Anthracite,50772,53137,52477,58348,52751,54231,49877,41758,52831,52893,48382,47489,49498,45539,46746,44876,49953,47402,45677,53133,48659,48568,48402,49836,47237,52900,52119,44473,51708,50264,47933,49970,51123,48691,51082,44593,45381,45065,46746,42548,39234,34982,39890,38613,40360,40774,37369,38647,40313,37345,38013,32242
US Total,9845961,11211459,10530353,11541907,11141848,10885773,9867557,8821367,10605599,11820435,11540973,10766526,11062688,10726606,11184638,11092591,11572134,11342300,11289791,12308423,11644742,12007102,11718696,12468061,12208291,12039430,11870224,10320136,12217659,11647400,11122117,11806974,11845675,11302762,12071703,11660201,11890508,12015463,12219384,11410165,11758193,10019460,11387257,11573953,11558267,11639351,11204059,11069390,11861202,11519844,11218904,10158930
