State,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52
Alabama,210718,288829,252097,275109,287366,260691,235222,227551,254000,289277,305679,264789,270723,281029,302705,312429,298725,306974,317972,317734,315148,338184,290889,324304,330399,302270,300880,242502,284842,280642,261334,275283,285416,265580,281438,241248,239756,240458,252807,225620,227999,190808,213900,224437,220140,218625,217277,210821,200624,201406,192413,178098
Alaska,21673,25752,23916,27133,25577,24717,23190,20252,24083,27890,26615,24552,26107,25158,26310,24986,27732,26685,25431,29517,27409,27058,26757,27890,26127,27265,26159,23092,25815,25270,24875,24947,25696,25298,25525,22965,24150,23070,24081,23695,25177,21268,24969,24786,24533,25535,23985,23490,23617,22415,21617,20191
Colorado,176238,199569,190436,217044,198165,196783,185534,156875,191714,233084,215301,204153,218131,206870,220432,214643,232883,223543,218456,247704,229499,232337,229754,239263,229989,234311,226439,196977,230487,221971,212625,223111,225752,216082,228118,220019,224956,224778,230585,212774,219926,184671,204533,216508,213050,209063,209585,204033,220230,223084,213794,195802
Illinois,521597,619219,573626,633870,615457,592970,541932,487261,577719,687795,675618,621564,643716,621060,654055,655928,660180,663263,667583,702171,680952,709988,733041,799105,791047,746773,742540,621597,754755,714514,669875,729406,726669,680763,745756,758254,758702,786670,794570,743604,900130,705690,781368,886298,814117,798713,857981,779729,795611,863161,772544,782668
Indiana,352474,391928,372439,405333,389474,384996,346542,308347,375102,414160,402616,380023,387627,368743,375080,364556,390003,380351,371052,414796,390510,394616,400699,423988,406811,411040,394745,324027,395280,375094,349212,381974,381495,354869,390564,374348,371969,387437,392303,354703,358230,307374,348358,352598,354600,356052,341341,339585,376304,364453,356974,319990
Kentucky Total,407663,458447,423573,439793,456080,438054,376062,361119,426833,462964,485400,445247,433302,429634,435669,447724,432692,441787,455689,460217,453577,484636,468865,519357,526783,484185,506819,454548,549046,509197,489531,529930,517870,497477,541802,535287,549163,565764,560945,532168,560498,479308,544192,551721,552914,556248,534080,529536,556223,539302,526404,474928
Eastern (KY),131042,144930,137189,148590,144047,141816,127037,114035,138179,159910,156826,147432,149661,143330,146391,143979,151167,148445,146547,160781,152408,155855,166336,177223,172076,175249,171429,147355,174488,165608,158477,167955,168437,161046,171716,183039,186942,188668,191815,181214,188503,160923,185439,185547,185625,189543,179612,177781,202708,194067,189105,172285
Western (KY),276621,313517,286384,291203,312033,296238,249025,247084,288654,303054,328574,297815,283641,286304,289278,303745,281525,293342,309142,299436,301169,328781,302529,342134,354707,308936,335390,307193,374558,343589,331054,361975,349433,336431,370086,352248,362221,377096,369130,350954,371995,318385,358753,366174,367289,366705,354468,351755,353515,345235,337299,302643
Louisiana,18088,20908,17902,15967,20865,18534,13657,16526,18076,16412,21690,18396,15365,15742,11390,8890,10673,11550,9034,11333,11847,9609,10868,12769,9836,11096,9489,5112,5594,5758,5503,5402,5854,5588,5522,5799,5927,5530,6072,5368,5338,4295,4488,5249,4948,4592,5107,4765,4708,5273,4847,4564
Maryland,21085,23886,22906,26214,23715,23668,22410,18777,23053,26446,24220,23064,24745,23013,23677,21750,25567,24015,22142,27207,24667,23546,26177,26674,24170,26480,24018,19100,21817,21592,20586,21088,21975,20929,21549,21537,21897,21370,22549,21617,22208,19082,23112,21854,22009,23616,21156,21081,26124,23639,23178,21464
