state,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52,week_53
Alabama,193782.0,359607.0,316737.0,309630.0,313147.0,324775.0,324616.0,303965.0,318696.0,320580.0,339197.0,308250.0,329768.0,328027.0,319681.0,330293.0,326880.0,327782.0,316877.0,322882.0,327023.0,322212.0,330757.0,333317.0,316591.0,328453.0,276703.0,288474.0,320777.0,319085.0,327738.0,322535.0,332007.0,324796.0,329490.0,312915.0,337308.0,346425.0,339085.0,342553.0,344661.0,346141.0,332582.0,335060.0,328423.0,337926.0,336203.0,303064.0,343084.0,333475.0,345669.0,308689.0,206758.0
Alaska,8356.0,18067.0,16211.0,15847.0,16027.0,16622.0,16614.0,15557.0,16311.0,16407.0,16765.0,15235.0,16299.0,16213.0,15800.0,16325.0,16156.0,16201.0,15662.0,15959.0,16163.0,15925.0,19072.0,19220.0,17815.0,18482.0,15570.0,16233.0,18050.0,17955.0,18442.0,18149.0,18682.0,18277.0,18541.0,17608.0,17718.0,18196.0,17811.0,17993.0,18104.0,18218.0,17504.0,17634.0,17285.0,17785.0,17695.0,15950.0,18057.0,17551.0,16933.0,15122.0,12189.0
Arizona,125454.0,241736.0,227883.0,222769.0,225300.0,233666.0,233552.0,218694.0,229292.0,230647.0,250669.0,227799.0,243701.0,242415.0,236247.0,244089.0,241567.0,242234.0,234175.0,238613.0,241673.0,238118.0,244432.0,246324.0,226384.0,234866.0,197861.0,206279.0,229378.0,228167.0,234355.0,230634.0,237407.0,232251.0,235608.0,223756.0,232577.0,238863.0,233802.0,236194.0,237647.0,251745.0,241883.0,243685.0,238859.0,245770.0,244517.0,220415.0,249521.0,242533.0,239623.0,213988.0,151437.0
Arkansas,454.0,821.0,263.0,257.0,260.0,269.0,269.0,252.0,264.0,266.0,1165.0,1059.0,1133.0,1127.0,1098.0,1135.0,1123.0,1126.0,1089.0,1109.0,1124.0,1107.0,1136.0,1145.0,202.0,209.0,176.0,184.0,204.0,203.0,209.0,205.0,211.0,207.0,210.0,199.0,231.0,237.0,232.0,235.0,236.0,100.0,96.0,97.0,95.0,98.0,97.0,88.0,99.0,97.0,251.0,224.0,144.0
Colorado,347065.0,672299.0,623557.0,609565.0,616490.0,639380.0,639069.0,598412.0,627414.0,631122.0,666891.0,606047.0,648353.0,644930.0,628520.0,649385.0,642675.0,644448.0,623009.0,634814.0,642957.0,633497.0,650297.0,655331.0,625986.0,649441.0,547118.0,570393.0,634265.0,630918.0,648028.0,637740.0,656469.0,642211.0,651492.0,618719.0,658478.0,676275.0,661947.0,668718.0,672831.0,689898.0,662873.0,667812.0,654585.0,673526.0,770606.0,694646.0,786376.0,764353.0,770854.0,688388.0,449478.0
Illinois,318149.0,642937.0,493820.0,482740.0,488223.0,506351.0,506104.0,473907.0,496875.0,499811.0,586435.0,532931.0,570133.0,567124.0,552693.0,571041.0,565140.0,566700.0,547847.0,558228.0,565388.0,557070.0,657619.0,662710.0,692258.0,718196.0,605040.0,630779.0,701413.0,697712.0,716633.0,705256.0,725967.0,710200.0,720464.0,684222.0,680645.0,699041.0,684231.0,691229.0,695481.0,645801.0,620503.0,625126.0,612745.0,630475.0,545444.0,491679.0,556606.0,541018.0,536313.0,478938.0,347111.0
Indiana,379693.0,723931.0,656137.0,641415.0,648701.0,672788.0,672460.0,629679.0,660196.0,664098.0,674703.0,613146.0,655948.0,652486.0,635883.0,656992.0,650203.0,651998.0,630307.0,642251.0,650489.0,640919.0,657915.0,663008.0,659139.0,683836.0,576093.0,600601.0,667856.0,664332.0,682348.0,671515.0,691235.0,676223.0,685995.0,651487.0,684703.0,703209.0,688310.0,695350.0,699627.0,712508.0,684597.0,689698.0,676038.0,695599.0,692052.0,623836.0,706215.0,686437.0,688975.0,615269.0,417957.0
Kansas,2450.0,4431.0,3797.0,3712.0,3754.0,3894.0,3892.0,3644.0,3821.0,3843.0,4144.0,3766.0,4028.0,4007.0,3905.0,4035.0,3993.0,4004.0,3871.0,3944.0,3995.0,3936.0,4041.0,4072.0,3829.0,3973.0,3347.0,3489.0,3880.0,3859.0,3964.0,3901.0,4016.0,3928.0,3985.0,3785.0,3215.0,3302.0,3232.0,3265.0,3285.0,3542.0,3404.0,3429.0,3361.0,3458.0,3441.0,3101.0,3511.0,3413.0,2927.0,2613.0,1695.0
Kentucky Total,1189846.0,2371015.0,2212090.0,2162456.0,2187019.0,2268225.0,2267119.0,2122890.0,2225773.0,2238928.0,2331625.0,2118898.0,2266811.0,2254846.0,2197471.0,2270420.0,2246959.0,2253161.0,2178202.0,2219477.0,2247946.0,2214874.0,2273608.0,2291209.0,2159463.0,2240376.0,1887391.0,1967681.0,2188021.0,2176477.0,2235500.0,2200010.0,2264617.0,2215433.0,2247450.0,2134393.0,2202694.0,2262228.0,2214299.0,2236947.0,2250707.0,2260543.0,2171990.0,2188174.0,2144835.0,2206896.0,2195644.0,1979218.0,2240579.0,2177828.0,2160094.0,1929008.0,1398853.0
Eastern,945172.0,1889923.0,1799954.0,1759567.0,1779554.0,1845630.0,1844731.0,1727373.0,1811088.0,1821792.0,1892916.0,1720215.0,1840297.0,1830583.0,1784004.0,1843227.0,1824180.0,1829215.0,1768360.0,1801869.0,1824981.0,1798132.0,1845815.0,1860104.0,1740956.0,1806188.0,1521612.0,1586342.0,1763980.0,1754673.0,1802257.0,1773645.0,1825731.0,1786079.0,1811891.0,1720745.0,1789254.0,1837614.0,1798681.0,1817078.0,1828255.0,1840101.0,1768018.0,1781192.0,1745914.0,1796432.0,1787273.0,1611100.0,1823850.0,1772770.0,1775377.0,1585448.0,1158733.0
Western,244674.0,481092.0,412136.0,402889.0,407465.0,422595.0,422388.0,395517.0,414685.0,417136.0,438709.0,398683.0,426514.0,424263.0,413467.0,427193.0,422779.0,423946.0,409842.0,417608.0,422965.0,416742.0,427793.0,431105.0,418507.0,434188.0,365779.0,381339.0,424041.0,421804.0,433243.0,426365.0,438886.0,429354.0,435559.0,413648.0,413440.0,424614.0,415618.0,419869.0,422452.0,420442.0,403972.0,406982.0,398921.0,410464.0,408371.0,368118.0,416729.0,405058.0,384717.0,343560.0,240120.0
Louisiana,40137.0,112336.0,85626.0,102055.0,101574.0,84160.0,102298.0,69870.0,107278.0,104499.0,84349.0,74042.0,88280.0,58750.0,18500.0,18500.0,18500.0,87846.0,106735.0,68526.0,110772.0,89512.0,89512.0,99246.0,89477.0,92610.0,42149.0,62958.0,93723.0,86767.0,89742.0,104472.0,78100.0,104625.0,110396.0,37000.0,76456.0,72688.0,76611.0,81706.0,68526.0,81898.0,88308.0,64811.0,112595.0,49958.0,62320.0,87317.0,85436.0,94184.0,103823.0,103823.0,61681.0
Maryland,40147.0,83235.0,85097.0,83188.0,84133.0,87257.0,87214.0,81666.0,85624.0,86130.0,90535.0,82275.0,88018.0,87553.0,85325.0,88158.0,87247.0,87488.0,84577.0,86180.0,87285.0,86001.0,88282.0,88965.0,87123.0,90388.0,76147.0,79386.0,88276.0,87810.0,90191.0,88759.0,91366.0,89381.0,90673.0,86112.0,92690.0,95196.0,93179.0,94132.0,94711.0,96998.0,93198.0,93893.0,92033.0,94696.0,94213.0,84927.0,96142.0,93449.0,92960.0,83015.0,63504.0
Mississippi,36320.0,77692.0,65732.0,65380.0,88689.0,78831.0,74225.0,65723.0,54726.0,71616.0,51513.0,75448.0,68947.0,63564.0,63564.0,38688.0,81926.0,73566.0,80649.0,64297.0,80000.0,80000.0,73385.0,69537.0,75753.0,80328.0,80328.0,62382.0,63224.0,85766.0,86900.0,90158.0,49089.0,71083.0,74857.0,57000.0,34373.0,56034.0,53493.0,88811.0,88811.0,48632.0,79938.0,73754.0,63875.0,80798.0,67015.0,72595.0,46838.0,74691.0,74691.0,74691.0,46072.0
Missouri,2561.0,4818.0,2646.0,2587.0,2616.0,2713.0,2712.0,2539.0,2662.0,2678.0,6215.0,5648.0,6043.0,6011.0,5858.0,6052.0,5990.0,6006.0,5806.0,5917.0,5992.0,5904.0,6061.0,6108.0,8344.0,8656.0,7292.0,7603.0,8454.0,8409.0,8637.0,8500.0,8750.0,8560.0,8683.0,8247.0,8700.0,8935.0,8745.0,8835.0,8889.0,11491.0,11040.0,11123.0,10902.0,11218.0,11161.0,10061.0,11389.0,11070.0,6480.0,5787.0,3969.0
Montana,382797.0,736285.0,703766.0,687975.0,695790.0,721625.0,721273.0,675387.0,708119.0,712304.0,752030.0,683418.0,731125.0,727266.0,708761.0,732289.0,724722.0,726722.0,702546.0,715858.0,725040.0,714373.0,733317.0,738994.0,695052.0,721095.0,607482.0,633325.0,704244.0,700529.0,719526.0,708103.0,728898.0,713067.0,723372.0,686983.0,708889.0,728049.0,712624.0,719913.0,724341.0,743470.0,714346.0,719669.0,705415.0,725827.0,722126.0,650945.0,736904.0,716266.0,714666.0,638211.0,408104.0
New Mexico,266236.0,506589.0,494426.0,483332.0,488822.0,506973.0,506725.0,474489.0,497484.0,500424.0,542668.0,493157.0,527583.0,524798.0,511444.0,528422.0,522962.0,524406.0,506960.0,516566.0,523192.0,515494.0,529164.0,533261.0,505086.0,524011.0,441450.0,460229.0,511766.0,509065.0,522870.0,514570.0,529681.0,518177.0,525665.0,499222.0,530716.0,545060.0,533512.0,538969.0,542284.0,551508.0,529903.0,533852.0,523278.0,538419.0,535674.0,482872.0,546637.0,531328.0,530251.0,473525.0,324261.0
North Dakota,311788.0,582386.0,543469.0,531274.0,537309.0,557260.0,556988.0,521554.0,546830.0,550062.0,605189.0,549974.0,588366.0,585261.0,570369.0,589303.0,583213.0,584823.0,565367.0,576080.0,583470.0,574885.0,590130.0,594699.0,560911.0,581928.0,490241.0,511097.0,568329.0,565330.0,580661.0,571443.0,588224.0,575449.0,583765.0,554399.0,574508.0,590036.0,577535.0,583442.0,587031.0,613607.0,589571.0,593964.0,582199.0,599046.0,595991.0,537244.0,608188.0,591155.0,593172.0,529715.0,359742.0
Ohio,204966.0,386503.0,373900.0,365510.0,369662.0,383388.0,383201.0,358823.0,376213.0,378436.0,428803.0,389681.0,416884.0,414683.0,404131.0,417547.0,413233.0,414373.0,400588.0,408178.0,413414.0,407332.0,418134.0,421371.0,404641.0,419803.0,353660.0,368705.0,409992.0,407829.0,418889.0,412239.0,424345.0,415129.0,421128.0,399944.0,399424.0,410219.0,401528.0,405635.0,408130.0,407803.0,391828.0,394748.0,386930.0,398126.0,396096.0,357052.0,404202.0,392882.0,412394.0,368276.0,246017.0
Oklahoma,14760.0,28532.0,26380.0,25788.0,26081.0,27049.0,27036.0,25316.0,26543.0,26700.0,26481.0,24065.0,25744.0,25609.0,24957.0,25785.0,25519.0,25589.0,24738.0,25207.0,25530.0,25155.0,25822.0,26022.0,27852.0,28896.0,24343.0,25379.0,28220.0,28072.0,28833.0,28375.0,29208.0,28574.0,28987.0,27529.0,30995.0,31833.0,31158.0,31477.0,31670.0,29825.0,28657.0,28871.0,28299.0,29118.0,28969.0,26114.0,29562.0,28734.0,29914.0,26713.0,18981.0
Pennsylvania Total,694999.0,1337426.0,1355840.0,1325418.0,1340473.0,1390246.0,1389567.0,1301167.0,1364227.0,1372289.0,1395009.0,1267734.0,1356230.0,1349072.0,1314744.0,1358389.0,1344352.0,1348063.0,1303215.0,1327910.0,1344944.0,1325156.0,1360297.0,1370827.0,1350140.0,1400729.0,1180035.0,1230235.0,1367996.0,1360777.0,1397681.0,1375491.0,1415885.0,1385133.0,1405151.0,1334467.0,1315569.0,1351126.0,1322500.0,1336027.0,1344245.0,1400286.0,1345432.0,1355457.0,1328611.0,1367054.0,1360084.0,1226019.0,1387919.0,1349048.0,1327300.0,1185305.0,826049.0
Anthracite,16160.0,31752.0,32415.0,31688.0,32048.0,33238.0,33221.0,31108.0,32616.0,32808.0,31466.0,28595.0,30591.0,30430.0,29655.0,30640.0,30323.0,30407.0,29395.0,29952.0,30337.0,29890.0,30683.0,30920.0,27590.0,28624.0,24114.0,25140.0,27955.0,27807.0,28562.0,28108.0,28934.0,28305.0,28714.0,27270.0,28978.0,29761.0,29130.0,29428.0,29609.0,31444.0,30212.0,30437.0,29834.0,30697.0,30541.0,27530.0,31166.0,30293.0,24709.0,22065.0,15927.0
Bituminous,678839.0,1305674.0,1323425.0,1293730.0,1308425.0,1357008.0,1356346.0,1270059.0,1331611.0,1339481.0,1363543.0,1239139.0,1325639.0,1318642.0,1285089.0,1327749.0,1314029.0,1317656.0,1273820.0,1297958.0,1314607.0,1295266.0,1329614.0,1339907.0,1322550.0,1372105.0,1155921.0,1205095.0,1340041.0,1332970.0,1369119.0,1347383.0,1386951.0,1356828.0,1376437.0,1307197.0,1286591.0,1321365.0,1293370.0,1306599.0,1314636.0,1368842.0,1315220.0,1325020.0,1298777.0,1336357.0,1329543.0,1198489.0,1356753.0,1318755.0,1302591.0,1163240.0,810122.0
Tennessee,27978.0,59413.0,53951.0,52740.0,53340.0,55320.0,55293.0,51775.0,54285.0,54606.0,53997.0,49071.0,52496.0,52219.0,50890.0,52580.0,52036.0,52180.0,50444.0,51400.0,52059.0,51293.0,52653.0,53061.0,53064.0,55052.0,46378.0,48351.0,53766.0,53482.0,54932.0,54060.0,55648.0,54439.0,55226.0,52448.0,50222.0,51580.0,50487.0,51003.0,51317.0,53987.0,51873.0,52259.0,51224.0,52706.0,52438.0,47269.0,53511.0,52012.0,48894.0,43664.0,34557.0
