state,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52,week_53
Alabama,2431.0,437936.0,439886.0,457302.0,462823.0,463084.0,470945.0,472444.0,476069.0,470925.0,471539.0,479215.0,473588.0,467792.0,496972.0,502667.0,483801.0,503890.0,503774.0,478917.0,455182.0,492943.0,484491.0,493644.0,489974.0,494681.0,478683.0,432779.0,487558.0,483684.0,497738.0,481563.0,494152.0,489774.0,483758.0,483909.0,487740.0,493821.0,491730.0,492356.0,468270.0,457130.0,489706.0,487827.0,487568.0,481967.0,493250.0,480117.0,483008.0,402843.0,428282.0,437085.0,430555.0
Alaska,-1.0,22260.0,22360.0,22389.0,22659.0,22672.0,23057.0,23130.0,23308.0,23056.0,23086.0,23462.0,23186.0,22903.0,23464.0,23733.0,22842.0,23791.0,23785.0,22611.0,21491.0,23274.0,22875.0,23307.0,23133.0,23356.0,27091.0,24493.0,27593.0,27374.0,28169.0,27253.0,27966.0,27718.0,27378.0,27386.0,27603.0,27947.0,27829.0,27864.0,26501.0,25871.0,27714.0,27608.0,27593.0,27276.0,27915.0,26449.0,26608.0,24065.0,25585.0,26111.0,25721.0
Arizona,0.0,209983.0,210917.0,215809.0,218414.0,218537.0,222247.0,222954.0,224665.0,222238.0,222528.0,226150.0,223495.0,220759.0,214552.0,217011.0,208866.0,217539.0,217488.0,206757.0,196510.0,212813.0,209164.0,213115.0,211531.0,213563.0,210475.0,190291.0,214377.0,212674.0,218854.0,211741.0,217277.0,215352.0,212707.0,212773.0,214458.0,217131.0,216212.0,216487.0,205896.0,200998.0,215322.0,214496.0,214382.0,211919.0,216880.0,196642.0,197826.0,178919.0,190217.0,194127.0,191227.0
Arkansas,0.0,88.0,88.0,33.0,33.0,33.0,33.0,34.0,34.0,33.0,34.0,34.0,34.0,33.0,57.0,58.0,56.0,58.0,58.0,55.0,53.0,57.0,56.0,57.0,57.0,57.0,32.0,29.0,33.0,33.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,31.0,33.0,33.0,33.0,33.0,33.0,16.0,16.0,14.0,15.0,15.0,15.0
Colorado,76821.0,755341.0,758702.0,811143.0,820935.0,821398.0,835342.0,837999.0,844430.0,835307.0,836395.0,850011.0,840030.0,829748.0,800748.0,809924.0,779527.0,811894.0,811707.0,771657.0,733414.0,794256.0,780639.0,795386.0,789472.0,797057.0,819691.0,741084.0,834887.0,828254.0,852320.0,824621.0,846179.0,838683.0,828381.0,828639.0,835200.0,845613.0,842031.0,843103.0,801858.0,782783.0,838566.0,835349.0,834904.0,825314.0,844634.0,782815.0,787528.0,667008.0,709129.0,723705.0,712892.0
Illinois,22706.0,577145.0,579714.0,600211.0,607457.0,607799.0,618117.0,620084.0,624842.0,618091.0,618897.0,628972.0,621586.0,613978.0,554623.0,560978.0,539924.0,562343.0,562213.0,534474.0,507985.0,550126.0,540695.0,550909.0,546813.0,552066.0,541742.0,489790.0,551786.0,547402.0,563307.0,545001.0,559248.0,554294.0,547486.0,547656.0,551992.0,558874.0,556507.0,557216.0,529957.0,517349.0,554217.0,552091.0,551797.0,545459.0,558227.0,518793.0,521916.0,507342.0,539381.0,550468.0,542243.0
Indiana,20534.0,649747.0,652638.0,660832.0,668810.0,669187.0,680547.0,682712.0,687950.0,680518.0,681405.0,692498.0,684366.0,675990.0,627493.0,634684.0,610864.0,636228.0,636081.0,604697.0,574728.0,622406.0,611735.0,623291.0,618657.0,624601.0,602908.0,545091.0,614086.0,609207.0,626908.0,606535.0,622391.0,616877.0,609300.0,609490.0,614316.0,621975.0,619340.0,620129.0,589792.0,575761.0,616792.0,614425.0,614098.0,607045.0,621255.0,576100.0,579568.0,572600.0,608759.0,621272.0,611990.0
Kansas,2.0,3022.0,3035.0,1865.0,1888.0,1889.0,1921.0,1927.0,1942.0,1921.0,1923.0,1954.0,1931.0,1908.0,1464.0,1481.0,1425.0,1484.0,1484.0,1411.0,1341.0,1452.0,1427.0,1454.0,1443.0,1457.0,1404.0,1269.0,1430.0,1418.0,1460.0,1412.0,1449.0,1436.0,1419.0,1419.0,1430.0,1448.0,1442.0,1444.0,1373.0,1341.0,1436.0,1431.0,1430.0,1413.0,1447.0,2583.0,2599.0,1706.0,1814.0,1851.0,1823.0
Kentucky Total,47954.0,2149347.0,2158912.0,2132462.0,2158207.0,2159424.0,2196082.0,2203068.0,2219973.0,2195988.0,2198850.0,2234646.0,2208405.0,2181375.0,2200743.0,2225962.0,2142420.0,2231377.0,2230864.0,2120792.0,2015684.0,2182901.0,2145476.0,2186005.0,2169753.0,2190598.0,2192407.0,1982160.0,2233053.0,2215311.0,2279681.0,2205594.0,2263253.0,2243204.0,2215650.0,2216342.0,2233889.0,2261740.0,2252160.0,2255027.0,2144711.0,2093690.0,2242892.0,2234286.0,2233097.0,2207447.0,2259121.0,2151411.0,2164363.0,1890777.0,2010177.0,2051497.0,2020845.0
Eastern,24684.0,1618183.0,1625384.0,1618928.0,1638473.0,1639397.0,1667227.0,1672531.0,1685365.0,1667156.0,1669329.0,1696504.0,1676583.0,1656062.0,1675150.0,1694346.0,1630756.0,1698468.0,1698077.0,1614293.0,1534288.0,1661569.0,1633082.0,1663932.0,1651561.0,1667428.0,1631045.0,1474631.0,1661283.0,1648084.0,1695972.0,1640855.0,1683751.0,1668835.0,1648336.0,1648851.0,1661905.0,1682625.0,1675498.0,1677631.0,1595561.0,1557604.0,1668603.0,1662201.0,1661316.0,1642234.0,1680677.0,1590850.0,1600427.0,1447471.0,1538877.0,1570509.0,1547044.0
