State,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52,week_53
Bituminous (PA),856041,828775,1002415,981578,1007810,948280,1018270,1057132,942485,967804,919748,900340,941790,897298,865840,759205,769498,829692,783854,854845,866137,791655,773053,775721,722413,730701,724746,598935,653191,688251,688661,648151,699609,683421,730140,727883,651625,708741,705908,680766,657555,661766,689304,701255,673033,673924,655975,607795,693378,719099,609209,502060,534312
Texas,264764,230592,291586,279243,280327,275821,289709,294015,274161,296673,275658,282166,288726,271623,277308,272585,239198,265724,279929,264254,275887,282704,296950,307143,321170,280681,305483,303551,338195,341297,349509,336478,347727,346870,379044,390101,356612,396493,378310,370420,367517,366368,361986,392147,372679,353940,366846,336576,357661,395009,331412,270063,269669
Utah,213153,195132,240037,230446,237303,227077,239081,248913,225713,234136,223176,222177,227869,217572,214055,199863,186285,205109,206283,206834,214576,208338,222650,228812,226702,210441,219744,196414,220614,225291,226150,219486,229533,224429,247258,241410,216316,242477,234116,226985,223039,226671,235917,237842,230527,230654,222484,208180,236971,243562,208419,169147,181625
Virginia,203217,190950,234574,226756,232188,221913,235241,243550,220562,238310,225856,224586,231907,221849,223423,212150,193745,214110,217968,214792,222614,220147,214035,219759,221745,202320,213183,195209,218528,221671,221445,217435,225850,219773,244941,228438,203694,230988,221524,212341,206224,208768,212116,219968,212339,207387,205757,191763,214291,226550,193073,155756,162572
West Virginia Total,1459093,1420510,1724758,1686160,1727332,1631592,1749217,1811839,1621633,1702314,1613661,1585491,1656564,1581796,1580310,1463067,1373972,1514384,1505164,1519145,1576218,1520155,1535196,1578142,1553229,1451137,1510165,1350470,1485448,1535091,1556359,1467773,1556173,1538085,1653388,1668853,1512378,1652619,1618399,1586093,1591304,1588592,1642975,1697334,1615656,1606378,1587696,1459113,1658287,1746251,1467541,1219656,1278466
Northern (WV),888088,841284,1024685,994696,1023043,969375,1031897,1073109,963462,959249,913202,900213,933471,891887,873758,794769,767185,837290,815045,846989,868553,823154,852665,866197,837750,805973,829293,753790,811288,845800,867950,804765,859152,861391,906523,926303,851580,910975,898318,894056,895109,896104,932155,954679,911353,911384,893011,823034,953726,995818,839229,696514,736296
Southern (WV),571005,579226,700073,691464,704289,662217,717320,738730,658171,743065,700459,685278,723093,689909,706552,668298,606787,677094,690119,672156,707665,697001,682531,711945,715479,645164,680872,596680,674160,689291,688409,663008,697021,676694,746865,742550,660798,741644,720081,692037,696195,692488,710820,742655,704303,694994,694685,636079,704561,750433,628312,523142,542170
Wyoming,4161874,3886187,4691361,4508466,4727264,4438427,4677310,4958664,4411534,4695302,4556724,4450991,4569199,4565803,4680698,4405241,4194528,4485034,4518538,4627306,4647577,4563501,4874797,4850998,4860240,4607885,4750959,4500238,4985104,5117786,5181490,4961833,5214068,5140111,5589353,5427866,4903480,5425279,5263745,5120001,4912380,5013830,5166437,5238818,5099091,5051352,4900373,4605010,5096715,5268814,4527428,3632694,3878661
Appalachian Total,2977222,2848006,3479628,3410434,3462706,3291545,3537949,3632070,3271438,3452872,3243857,3208264,3360082,3174910,3143442,2873855,2746470,3012284,2948581,3033951,3127234,2977940,2989756,3054653,2971043,2825995,2910661,2566614,2820681,2921738,2954757,2795854,2969076,2925783,3149455,3171986,2865646,3137422,3076116,3001895,2990360,2989309,3088776,3189577,3040267,3019976,2983571,2745670,3127988,3294296,2771390,2298439,2408932
Interior Total,1688074,1615421,1999495,1974426,1963498,1891235,2048204,2059444,1879675,1974327,1819605,1823084,1921302,1766376,1765934,1665010,1494569,1692320,1705491,1648331,1753290,1722478,1672151,1759802,1765925,1580563,1676970,1467227,1635972,1683659,1689397,1627863,1715377,1676296,1833785,1920134,1719903,1914349,1862085,1797600,1789737,1784920,1824699,1909168,1815431,1784079,1785909,1639545,1866900,1991046,1671078,1383799,1432208
Western Total,5699899,5281656,6436940,6219914,6423316,6089503,6452766,6737603,6052559,6479748,6193541,6108774,6305728,6184315,6328777,5966000,5632787,6064301,6122427,6217235,6288895,6183336,6570000,6584851,6605969,6210283,6443084,6090601,6767525,6924884,7012584,6735559,7055209,6957067,7587424,7408252,6693416,7431845,7184248,6992125,6789446,6893648,7074745,7241187,7011037,6917238,6773441,6331725,7000116,7303786,6242827,5039294,5330712
East of Mississippi River,4394949,4228135,5181443,5099881,5140161,4901196,5290503,5391514,4871240,5124071,4781862,4742957,4986392,4663863,4626137,4260307,3996746,4433196,4368011,4412422,4598730,4411500,4358308,4500348,4408271,4119568,4275280,3723955,4110633,4256469,4287345,4079442,4328952,4247968,4595422,4694052,4222119,4646879,4552148,4422033,4406034,4401079,4544780,4699613,4476115,4443549,4396098,4042396,4630351,4883181,4104817,3407345,3566362
West of Mississippi River,5970246,5516948,6734620,6504893,6709359,6371087,6748416,7037603,6332432,6782876,6475141,6397165,6600720,6461738,6612016,6244558,5877080,6335709,6408488,6487095,6570689,6472254,6873599,6898958,6934666,6497273,6755435,6400487,7113545,7273812,7369393,7079834,7410710,7311178,7975242,7806320,7056846,7836737,7570301,7369587,7163509,7266798,7443440,7640319,7390620,7277744,7146823,6674544,7364653,7705947,6580478,5314187,5605490
Bituminous and Lignite,10331177,9716741,11880207,11570047,11815064,11238371,12002891,12392987,11169963,11869166,11222320,11104604,11550351,11091687,11204753,10473759,9844573,10736901,10744281,10866902,11135790,10851219,11194501,11361114,11305235,10581496,10993298,10089796,11182422,11489951,11616855,11117700,11698561,11519572,12523819,12451449,11235804,12431636,12075005,11745419,11518181,11616760,11934613,12285152,11814749,11668873,11491682,10669988,11939348,12531143,10636715,8680702,9128596
Anthracite,34018,28342,35856,34727,34456,33912,36028,36130,33709,37781,34683,35518,36761,33914,33400,31106,29253,32004,32218,32615,33629,32535,37406,38192,37702,35345,37417,34646,41756,40330,39883,41576,41101,39574,46845,48923,43161,51980,47444,46201,51362,51117,53607,54780,51986,52420,51239,46952,55656,57985,48580,40830,43256
US Total,10365195,9745083,11916063,11604774,11849520,11272283,12038919,12429117,11203672,11906947,11257003,11140122,11587112,11125601,11238153,10504865,9873826,10768905,10776499,10899517,11169419,10883754,11231907,11399306,11342937,10616841,11030715,10124442,11224178,11530281,11656738,11159276,11739662,11559146,12570664,12500372,11278965,12483616,12122449,11791620,11569543,11667877,11988220,12339932,11866735,11721293,11542921,10716940,11995004,12589128,10685295,8721532,9171852
