state,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52,week_53
Alabama,361190.0,380558.0,376708.0,372439.0,368747.0,369309.0,369383.0,360016.0,360088.0,366364.0,355568.0,362800.0,369106.0,359639.0,362553.0,356934.0,359561.0,351374.0,353323.0,354073.0,347629.0,339945,355531.0,358908.0,355722.0,335967.0,302190.0,363088.0,370182.0,365901.0,354922.0,357141.0,364794.0,363921.0,349668.0,352079.0,358324.0,357475.0,356399.0,365146.0,362945.0,370554.0,371446.0,353966.0,372772.0,379004.0,344458.0,386191.0,382315.0,384613.0,389444.0,330117,75730.0
Alaska,36954.0,40667.0,37691.0,37382.0,38170.0,38145.0,38511.0,37205.0,36434.0,37774.0,37031.0,38019.0,38529.0,41355.0,40941.0,40574.0,39978.0,40555.0,40377.0,40119.0,41415.0,38480,41416.0,42028.0,40998.0,37663.0,33644.0,41589.0,43462.0,40943.0,40767.0,41284.0,41277.0,41955.0,40515.0,40070.0,41162.0,41188.0,40405.0,40746.0,40764.0,41689.0,40630.0,39345.0,40901.0,42194.0,38115.0,43757.0,42228.0,43541.0,42893.0,33008,9290.0
Arizona,127946.0,140803.0,130499.0,129428.0,132158.0,132069.0,133338.0,128814.0,126144.0,130787.0,128212.0,131633.0,133400.0,134957.0,133606.0,132409.0,130464.0,132348.0,131768.0,130923.0,135153.0,125575,135157.0,137155.0,133792.0,122909.0,115998.0,143389.0,149849.0,141162.0,140555.0,142339.0,142313.0,144651.0,139687.0,138152.0,141916.0,142006.0,139307.0,138046.0,138107.0,141242.0,137655.0,133301.0,138574.0,142954.0,129134.0,148250.0,143067.0,147516.0,145322.0,111833,22430.0
Arkansas,1039.0,1144.0,1060.0,1051.0,1074.0,1073.0,1083.0,1046.0,1025.0,1062.0,1041.0,1069.0,1084.0,1461.0,1446.0,1433.0,1412.0,1432.0,1426.0,1417.0,1463.0,1359,1463.0,1485.0,1448.0,1330.0,1215.0,1502.0,1570.0,1479.0,1473.0,1491.0,1491.0,1516.0,1464.0,1448.0,1487.0,1488.0,1460.0,964.0,965.0,987.0,962.0,931.0,968.0,999.0,902.0,1036.0,999.0,1030.0,1015.0,781,340.0
Colorado,626598.0,657164.0,672447.0,580750.0,611315.0,641881.0,587648.0,662987.0,571642.0,571642.0,478943.0,514380.0,519316.0,598000.0,613737.0,472105.0,629474.0,660947.0,490375.0,458738.0,569468.0,552947,618000.0,666789.0,552947.0,606822.0,647152.0,603028.0,573612.0,617736.0,617736.0,689168.0,689168.0,629240.0,644222.0,635389.0,635389.0,535657.0,680429.0,582177.0,654949.0,654949.0,654949.0,705595.0,690582.0,675570.0,675570.0,635441.0,552557.0,483487.0,508827.0,401706,118760.0
Illinois,658899.0,694230.0,687207.0,679419.0,672685.0,673709.0,673845.0,656757.0,656889.0,668337.0,648643.0,661835.0,673340.0,671042.0,676480.0,665995.0,670896.0,655621.0,659258.0,660657.0,648634.0,634296,663377.0,669680.0,663734.0,626873.0,590330.0,709293.0,723153.0,714790.0,693342.0,697677.0,712627.0,710922.0,683078.0,687789.0,699987.0,698328.0,696227.0,775516.0,770841.0,787002.0,788895.0,751772.0,791712.0,804949.0,731579.0,820213.0,811981.0,816862.0,827121.0,701119,213709.0
Indiana,671131.0,707118.0,699964.0,692032.0,685173.0,686216.0,686355.0,668949.0,669084.0,680745.0,660684.0,674122.0,685840.0,685140.0,690692.0,679987.0,684992.0,669395.0,673109.0,674537.0,662262.0,647622,677314.0,683749.0,677679.0,640043.0,580124.0,697031.0,710651.0,702433.0,681355.0,685615.0,700307.0,698632.0,671269.0,675898.0,687885.0,686256.0,684190.0,680109.0,676010.0,690183.0,691843.0,659286.0,694313.0,705921.0,641577.0,719307.0,712088.0,716368.0,725366.0,614865,157889.0
Kansas,1437.0,1581.0,1465.0,1453.0,1484.0,1483.0,1497.0,1447.0,1417.0,1469.0,1440.0,1478.0,1498.0,2209.0,2187.0,2167.0,2135.0,2166.0,2157.0,2143.0,2212.0,2055,2212.0,2245.0,2190.0,2012.0,786.0,972.0,1016.0,957.0,953.0,965.0,965.0,980.0,947.0,936.0,962.0,962.0,944.0,905.0,905.0,926.0,902.0,874.0,908.0,937.0,846.0,972.0,938.0,967.0,953.0,733,131.0
Kentucky Total,2000165.0,2107415.0,2086097.0,2062455.0,2042014.0,2045121.0,2045535.0,1993662.0,1994063.0,2028816.0,1969031.0,2009078.0,2044001.0,1972229.0,1988210.0,1957395.0,1971801.0,1926904.0,1937596.0,1941708.0,1906371.0,1864228,1949700.0,1968224.0,1950751.0,1842413.0,1634356.0,1963713.0,2002083.0,1978931.0,1919550.0,1931552.0,1972942.0,1968222.0,1891135.0,1904176.0,1937947.0,1933355.0,1927537.0,1838758.0,1827673.0,1865992.0,1870480.0,1782460.0,1877159.0,1908543.0,1734582.0,1944735.0,1925216.0,1936788.0,1961114.0,1662360,422950.0
Eastern,1246792.0,1313646.0,1300357.0,1285620.0,1272878.0,1274815.0,1275073.0,1242738.0,1242988.0,1264651.0,1227385.0,1252348.0,1274117.0,1214581.0,1224423.0,1205446.0,1214318.0,1186668.0,1193253.0,1195785.0,1174023.0,1148070,1200707.0,1212115.0,1201354.0,1134635.0,965782.0,1160407.0,1183081.0,1169400.0,1134310.0,1141402.0,1165861.0,1163072.0,1117519.0,1125225.0,1145181.0,1142468.0,1139030.0,1056508.0,1050139.0,1072156.0,1074735.0,1024160.0,1078572.0,1096605.0,996651.0,1117400.0,1106185.0,1112834.0,1126811.0,955154,226651.0
Western,753373.0,793769.0,785740.0,776835.0,769136.0,770306.0,770462.0,750924.0,751075.0,764165.0,741646.0,756730.0,769884.0,757648.0,763787.0,751949.0,757483.0,740236.0,744343.0,745923.0,732348.0,716158,748993.0,756109.0,749397.0,707778.0,668574.0,803306.0,819002.0,809531.0,785240.0,790150.0,807081.0,805150.0,773616.0,778951.0,792766.0,790887.0,788507.0,782250.0,777534.0,793836.0,795745.0,758300.0,798587.0,811938.0,737931.0,827335.0,819031.0,823954.0,834303.0,707206,196299.0
Louisiana,42829.0,49479.0,78799.0,53952.0,44014.0,72443.0,57972.0,53309.0,95782.0,78476.0,31897.0,30310.0,0.0,0.0,5092.0,45896.0,97029.0,104895.0,98155.0,84169.0,113680.0,101660,109600.0,77071.0,89147.0,51506.0,85740.0,40476.0,72676.0,90983.0,90753.0,50064.0,95037.0,39469.0,56667.0,54460.0,61621.0,51140.0,69572.0,25545.0,45138.0,38581.0,61333.0,69611.0,96574.0,59813.0,78005.0,73734.0,74472.0,63699.0,76779.0,45800,18539.0
Maryland,34982.0,36858.0,36485.0,36071.0,35714.0,35768.0,35775.0,34868.0,34875.0,35483.0,34437.0,35138.0,35749.0,35686.0,35975.0,35418.0,35678.0,34866.0,35059.0,35134.0,34495.0,33732,35279.0,35614.0,35298.0,33337.0,27271.0,32767.0,33408.0,33021.0,32030.0,32231.0,32921.0,32843.0,31556.0,31774.0,32337.0,32261.0,32164.0,36444.0,36224.0,36984.0,37073.0,35328.0,37205.0,37827.0,34379.0,38544.0,38158.0,38387.0,38869.0,32948,8571.0
Mississippi,59133.0,46125.0,81790.0,66875.0,79750.0,51515.0,57500.0,85250.0,69875.0,84302.0,44275.0,21758.0,23185.0,12509.0,32500.0,22625.0,70391.0,50500.0,89985.0,22893.0,83160.0,74483,27000.0,30785.0,55500.0,27438.0,56500.0,81250.0,63750.0,32000.0,74081.0,70272.0,49753.0,55762.0,82250.0,4625.0,105435.0,89299.0,68092.0,20061.0,31752.0,33902.0,34196.0,77250.0,73125.0,43250.0,52750.0,13346.0,74750.0,54000.0,26160.0,31750,15759.0
