State,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52
Alabama,250717,325613,323448,308295,281780,278675,299123,322844,288531,285780,268237,239732,227178,264271,298945,311019,288585,309988,298771,301407,282876,262512,256077,286502,291645,282922,208554,283953,280046,288080,293530,275277,305171,288007,311252,270092,278805,276209,275871,269890,276763,272553,262543,273621,273712,260988,286099,241423,254195,266457,256387,219616
Alaska,13511,17812,17630,15491,15416,15185,15037,17653,15728,14366,14670,13058,11985,13459,15033,15580,14426,15589,14970,15067,14230,13146,12806,14403,14611,14234,11253,17335,14547,15667,17924,14297,16462,17402,16015,16621,19267,16253,16981,19620,20225,19735,19425,19999,19820,19307,20902,18927,20353,21088,20093,17622
Arizona,114338,141492,144489,137501,122438,124490,133410,140284,128896,127456,116559,107086,100189,119951,132412,137533,131990,137321,132133,137854,125324,116107,117124,126922,128986,125215,91404,123258,123030,126682,127419,120937,133187,123798,135568,116853,119090,119552,119346,30672,,,,,,,,,,,,
Colorado,221415,271740,277778,267823,235143,239304,259857,269388,247789,248254,223846,205859,198169,238724,262096,269189,263389,271810,258633,275077,248062,227246,233729,251230,252483,275380,195522,260546,261429,270209,269331,256973,284065,261675,288047,236146,238478,240653,241193,229446,217358,224081,222708,214938,225082,221391,224751,209777,227838,221176,222779,181015
Illinois,782404,1017936,1006281,945103,880959,866975,917025,1009320,897690,876097,838644,745844,706049,834310,940513,983936,910559,975261,945215,950964,889980,830481,807963,901376,922664,928429,687095,937386,919244,946727,965345,901208,995299,937930,1010178,885588,914981,903337,904528,882807,908132,892256,857790,897794,896075,852701,938731,805213,846107,890754,855143,734135
Indiana,574355,726941,723263,693527,629072,623129,672911,720726,645193,642882,598841,536048,529121,641275,706378,717336,704999,732551,689180,736333,668519,605568,625605,677095,672789,668507,489668,682873,649273,684789,710265,643656,719919,690075,721508,636275,668678,640880,649866,654970,637500,645449,639795,630380,648282,636026,659154,566560,613684,608259,601703,501527
Kentucky Total,625208,799159,794892,744397,691623,684849,722300,792385,709115,690043,658401,589160,558508,662325,730924,743798,723491,757961,714598,755625,691722,627886,642004,700580,697584,726789,519632,708827,690027,717245,732692,678198,751962,710655,758214,681414,705775,690178,695986,692680,665028,679077,677127,657623,682086,673136,687656,619418,675033,659404,657840,543129
Eastern (KY),280607,357696,357713,333178,309558,308194,323284,354660,319114,308850,294694,265129,239685,280628,308536,312163,305973,319946,299913,319560,291990,263521,271512,295731,292783,300184,211184,285207,279868,290838,294775,275030,303670,285178,306285,270086,277758,273423,275860,262873,255481,259619,253615,252609,260765,252110,264144,236526,252539,253003,251204,206718
Western (KY),344601,441463,437179,411219,382065,376655,399016,437725,390001,381193,363707,324031,318823,381697,422388,431635,417518,438015,414685,436065,399732,364365,370492,404849,404801,426605,308448,423620,410159,426407,437917,403168,448292,425477,451929,411328,428017,416755,420126,429807,409547,419458,423512,405014,421321,421026,423512,382892,422494,406401,406636,336411
Louisiana,19525,21166,23817,24527,18309,20510,23794,20971,21240,22733,17431,17650,23366,29708,32924,36553,33620,34151,35113,35109,31165,30850,29834,31563,34279,34646,25989,31811,36845,36261,32884,36226,38112,31944,40598,26412,24274,28275,26971,19381,18466,19577,17401,18255,19655,17290,19085,20153,19580,20655,21399,15732
Maryland,17864,23761,23333,20370,20571,20101,19766,23566,20824,18878,19591,17291,15121,16516,18187,18019,17590,18861,17315,18368,17205,15209,15607,17429,16900,19719,14188,20387,18381,19515,21079,18072,20515,20466,20235,21550,23578,21364,21997,24959,24067,24304,25018,23798,24423,24875,24890,25045,28165,26953,26593,22672
Mississippi,47079,58055,58560,58207,50234,50445,56468,57555,52235,53938,47822,43400,45703,58580,65664,70332,65301,68100,67557,68209,62140,59355,57936,62943,65951,66285,49448,64412,68297,68732,66577,67123,72249,64691,75246,56817,55768,59473,58034,49546,47955,49588,46648,47418,49804,46371,49581,43075,44296,45286,45749,35972
Missouri,4291,5399,5376,5103,4667,4629,4959,5357,4792,4722,4433,3959,3740,4521,5006,5136,4965,5191,4937,5187,4737,4342,4420,4802,4811,4631,3339,4602,4478,4650,4769,4417,4891,4645,4960,4168,4319,4230,4281,3833,3898,3883,3594,3857,3909,3566,4023,3340,3389,3654,3565,2940
Montana,631813,796576,800429,748561,689355,689627,726315,789798,714042,693903,656241,593273,539090,641479,712103,740475,701983,738455,711372,733155,673901,625055,622913,682541,694418,647275,496724,709775,663257,692190,733770,651951,727727,712898,730824,666698,716098,672903,680957,623807,663113,646517,582480,655402,649202,578980,685262,599290,590248,667970,636434,536280
New Mexico,112678,131081,137867,125914,113439,118763,122183,129957,122987,116717,107988,102166,106617,142618,144192,142370,158911,149575,136840,165986,136517,120230,141048,138274,133608,214548,186282,266042,289057,266991,275003,284154,280668,267214,318504,258963,270264,295283,264481,310878,324814,322264,319732,321181,323651,317863,335814,295604,320536,323869,313916,269788
North Dakota,491110,617973,623201,583386,534790,536931,566051,612717,555941,540787,509093,461911,422066,502500,554266,571834,550268,574788,549382,574708,524552,482719,488296,531285,536291,536825,397109,552441,528922,551113,571102,519909,579397,554873,582794,505912,531260,511421,516734,496642,492945,496150,476923,487373,498303,474095,509611,449424,472183,485329,477301,395274
Ohio,132359,180307,174801,150051,156082,150622,145607,178837,155968,139109,148600,129580,108581,124112,142531,154715,132444,147774,148609,138299,134850,130559,117493,136566,145046,135420,112451,160441,155578,157152,165866,152921,165219,161139,171424,160559,171714,167433,163999,160474,164881,164701,154094,163001,165399,153180,170437,144135,147391,156829,153068,126549
Oklahoma,14322,15692,16839,18624,13574,14504,18062,15544,15016,17265,12914,12478,13461,18174,19959,21170,20749,20713,20340,21675,18893,17874,18413,19142,19857,12441,8472,9758,11786,15040,12563,15018,15799,12199,16832,11642,9873,12469,11910,6764,6132,6771,5601,6062,6797,5564,6344,6207,5601,6096,6586,4386
Pennsylvania Total,814799,1012524,1021393,986970,876179,879945,957628,1003798,911108,914872,834064,756983,740192,890109,970560,971490,980377,1006527,933432,1023956,918573,820187,870005,930355,911242,975620,676764,925630,883151,932963,956889,868099,980834,929675,973089,893127,928145,890527,912216,898171,870724,880354,873569,860994,884216,868420,900306,809295,877607,870190,859471,718433
Anthracite (PA),28389,38098,36803,33457,32976,31705,32461,37769,32834,31012,31391,27282,25544,31877,35803,38082,34797,37121,36580,36339,33879,32139,30873,34312,35711,36200,27634,37343,37911,38355,38609,37259,40322,37509,41759,38888,39660,40477,39716,39729,40890,40235,39114,40431,40402,38895,42278,39793,42282,43960,42247,36413
Bituminous (PA),786410,974426,984590,953513,843203,848240,925167,966029,878274,883860,802673,729701,714648,858232,934757,933408,945580,969406,896852,987617,884694,788048,839132,896043,875531,939420,649130,888287,845240,894608,918280,830840,940512,892166,931330,854239,888485,850050,872500,858442,829834,840119,834455,820563,843814,829525,858028,769502,835325,826230,817224,682020
Tennessee,2829,3679,3676,3192,3177,3154,3090,3669,3299,2980,3055,2750,2399,2577,2824,2851,2733,2931,2738,2841,2670,2408,2428,2721,2693,3645,2629,3586,3555,3650,3713,3501,3843,3608,3920,4613,4742,4723,4699,5113,4662,4881,5134,4616,4901,5111,4830,4838,5550,4994,5112,4212
Texas,372555,451177,473593,432280,390449,408005,419459,447309,422477,400719,371683,350990,311323,349296,382598,396998,380088,396728,381435,396943,362086,335118,337282,366693,372359,390511,279174,366403,377636,385575,378786,371174,405380,367997,416103,378174,376354,390125,386288,370543,342863,358886,362627,339075,360514,360470,354596,379349,418775,394072,402889,322864
Utah,226097,295500,294226,262213,255762,253519,254434,293034,262506,243081,243491,218089,183132,208765,233316,243717,225028,241929,234124,235010,220783,205698,199674,223599,228545,236854,178839,246581,242160,247891,254909,238038,260612,247337,266478,247028,257372,254192,252313,274082,254744,264881,275354,251963,266071,273748,263475,253321,287778,264867,269034,221071
Virginia,198916,256472,253803,235644,221970,218664,228643,254308,226416,218439,211309,188111,177385,210253,233342,239644,229219,241965,230225,239391,220816,202285,203400,223644,224737,233144,169255,231876,225870,233988,239706,222019,245992,232889,248872,224735,233272,228495,229547,225003,218811,222437,218576,216364,223414,217285,226243,207598,222969,221989,220476,181893
West Virginia Total,1586098,2068895,2039501,1904555,1790531,1757196,1847966,2051421,1819437,1765509,1704529,1511690,1386494,1656851,1859610,1943793,1809210,1928329,1867309,1889516,1759743,1640697,1605387,1782262,1822784,1789708,1298642,1772432,1703524,1786382,1826889,1670768,1878117,1774486,1872341,1681419,1742420,1685212,1717381,1662471,1626996,1640261,1608647,1608712,1647415,1599125,1682139,1532034,1642303,1651719,1627041,1357619
Northern (WV),743726,931097,942492,890062,805755,811996,863610,923130,840758,825065,767036,698538,666641,789509,868128,887217,865448,900266,852395,903901,821586,748967,767993,832111,832103,877433,634532,875374,841036,878313,904932,826706,923384,879200,926710,840171,877091,847422,858143,867053,834582,849748,849728,825297,853496,844726,862977,797782,871850,851744,847249,703571
Southern (WV),842372,1137798,1097009,1014493,984776,945200,984356,1128291,978679,940444,937493,813152,719853,867342,991482,1056576,943762,1028063,1014914,985615,938157,891730,837394,950151,990681,912275,664110,897058,862488,908069,921957,844062,954733,895286,945631,841248,865329,837790,859238,795418,792414,790513,758919,783415,793919,754399,819162,734252,770453,799975,779792,654048
Wyoming,4688701,5823510,5909105,5526452,5039628,5090962,5362312,5773804,5271324,5122906,4797470,4379599,4110042,4889465,5361475,5510035,5357778,5560035,5293850,5595770,5074124,4651468,4754430,5139109,5167842,5252378,3935216,5493886,5323322,5476257,5679477,5232574,5757329,5518136,5865437,5307248,5577170,5433981,5420803,5243984,4972036,5171939,5046427,4916688,5194683,5016595,5141206,4705000,5017378,4916888,4996833,3967913
Appalachian Total,3284189,4228947,4197668,3942255,3659848,3616551,3825107,4193103,3744697,3654417,3484079,3111266,2897035,3445317,3834535,3953694,3766131,3976321,3798312,3933338,3628723,3337378,3341909,3675210,3707830,3740362,2693667,3683512,3549973,3712568,3802447,3485687,3903361,3695448,3907418,3526181,3660434,3547386,3601570,3508954,3442385,3469110,3401196,3403715,3484245,3381094,3559088,3200894,3430719,3452134,3399352,2837712
Interior Total,2159132,2737829,2744908,2588590,2369329,2364852,2511694,2714507,2448644,2399549,2255475,2034400,1951586,2317561,2575430,2663096,2537799,2670710,2558462,2650485,2437252,2247953,2251945,2468463,2497511,2532055,1851633,2520865,2477718,2568181,2609106,2441990,2699941,2534958,2737354,2410404,2482264,2455544,2462004,2417651,2374493,2395868,2356968,2347855,2406357,2343014,2455026,2206789,2373926,2375177,2343670,1953967
Western Total,6499663,8095684,8204725,7667341,7005971,7068781,7439599,8026635,7319213,7107470,6669358,6081041,5671290,6756961,7414893,7630733,7403773,7689502,7331304,7732627,7017493,6441669,6570020,7107363,7156784,7302709,5492349,7669864,7445724,7647000,7928935,7318833,8039447,7703333,8203667,7355469,7728999,7544238,7512808,7229131,6945235,7145567,6943049,6867544,7176812,6901979,7181021,6531343,6936314,6901187,6936390,5588963
East of Mississippi River,5032628,6473342,6422951,6050311,5602178,5533755,5870527,6418429,5729816,5608527,5333093,4760589,4496731,5361179,5969478,6156933,5864508,6190248,5914949,6124909,5649094,5197147,5203905,5721473,5774035,5830188,4228326,5791803,5596946,5839223,5982551,5500842,6139120,5813621,6166279,5516189,5727878,5567831,5634124,5526084,5445519,5475861,5368941,5384321,5499727,5337218,5630066,4998634,5357300,5402834,5308583,4445757
West of Mississippi River,6910356,8589118,8724350,8147875,7432970,7516429,7905873,8515816,7782738,7552909,7075819,6466118,6023180,7158660,7855380,8090590,7843195,8146285,7773129,8191541,7434374,6829853,6959969,7529563,7588090,7744938,5809323,8082438,7876469,8088526,8357937,7745668,8503629,8120118,8682160,7775865,8143819,7979337,7942258,7629652,7316594,7534684,7332272,7234793,7567687,7288869,7565069,6940392,7383659,7325664,7370829,5934885
Bituminous and Lignite,11914595,15024362,15110498,14164729,13002172,13018479,13743939,14896476,13479720,13130424,12377521,11199425,10494367,12487962,13789055,14209441,13672906,14299412,13651498,14280111,13049589,11994861,12133001,13216724,13326414,13538926,10010015,13836898,13435504,13889394,14301879,13209251,14602427,13896230,14806680,13253166,13832037,13506691,13536666,13116007,12721223,12970310,12662099,12578683,13027012,12587192,13152857,11899233,12698677,12684538,12637165,10344229
