state,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52,week_53
Alabama,362598.0,422207.0,410755.0,420065.0,413685.0,415764.0,399024.0,421333.0,413323.0,429295.0,424629.0,433387.0,384083.0,369197.0,404908.0,370573.0,377779.0,377554.0,380543.0,373161.0,385405.0,384519.0,387088.0,417013.0,410902.0,374639.0,319457.0,377841.0,383530.0,390085.0,395236.0,387101.0,405811.0,412272.0,397441.0,382025.0,399023.0,396798.0,397482.0,376491.0,387635.0,361384.0,365070.0,353345.0,381947.0,365112.0,325722.0,379989.0,365670.0,376589.0,365242.0,311147.0,67558.0
Alaska,22475.0,26012.0,25307.0,25880.0,25487.0,25615.0,24584.0,25958.0,25465.0,26449.0,26162.0,26701.0,23663.0,25143.0,27575.0,25236.0,25727.0,25712.0,25915.0,25413.0,26247.0,26186.0,26361.0,28399.0,27983.0,25513.0,21755.0,25731.0,26119.0,26565.0,26916.0,26362.0,27636.0,28076.0,27066.0,26016.0,27174.0,27022.0,27069.0,25639.0,26398.0,28041.0,28327.0,27418.0,29637.0,28331.0,25274.0,29485.0,28374.0,29221.0,21624.0,18422.0,4722.0
Arizona,153299.0,177429.0,172617.0,176529.0,173848.0,174722.0,167687.0,177062.0,173696.0,180408.0,178447.0,182128.0,161408.0,142143.0,155892.0,142673.0,145447.0,145360.0,146511.0,143669.0,148383.0,148042.0,149031.0,160552.0,158200.0,144238.0,122993.0,145471.0,147661.0,150185.0,152168.0,149036.0,156239.0,158727.0,153017.0,147082.0,153626.0,152769.0,153033.0,144951.0,149242.0,128982.0,130297.0,126113.0,136321.0,130312.0,116254.0,135622.0,130512.0,134409.0,140237.0,119467.0,26889.0
Arkansas,379.0,438.0,427.0,436.0,430.0,432.0,414.0,438.0,429.0,446.0,441.0,450.0,399.0,645.0,707.0,647.0,660.0,659.0,664.0,652.0,673.0,671.0,676.0,728.0,718.0,654.0,558.0,660.0,670.0,681.0,690.0,676.0,709.0,720.0,694.0,667.0,697.0,693.0,694.0,657.0,677.0,1458.0,1472.0,1425.0,1540.0,1473.0,1314.0,1533.0,1475.0,1519.0,2018.0,1719.0,355.0
Colorado,588656.0,766177.0,745396.0,762290.0,750712.0,754486.0,724108.0,764591.0,750056.0,779040.0,770572.0,786466.0,696993.0,705140.0,773345.0,707769.0,721532.0,721102.0,726810.0,712711.0,736098.0,734405.0,739310.0,796467.0,784795.0,715535.0,610141.0,721651.0,732515.0,745036.0,754873.0,739336.0,775070.0,787411.0,759085.0,729641.0,762106.0,757856.0,759164.0,719072.0,740356.0,696293.0,703394.0,680804.0,735913.0,703476.0,627581.0,732141.0,704551.0,725589.0,707418.0,602645.0,170775.0
Illinois,516349.0,626780.0,609779.0,623599.0,614128.0,617215.0,592364.0,625482.0,613591.0,637302.0,630375.0,643377.0,570183.0,594982.0,652532.0,597201.0,608813.0,608450.0,613267.0,601370.0,621103.0,619675.0,623814.0,672041.0,662193.0,603753.0,514823.0,608914.0,618081.0,628645.0,636946.0,623836.0,653988.0,664401.0,640500.0,615656.0,643048.0,639463.0,640566.0,606738.0,624697.0,646563.0,653156.0,632180.0,683353.0,653232.0,582758.0,679850.0,654231.0,673766.0,634560.0,540578.0,141793.0
Indiana,576119.0,690934.0,672194.0,687429.0,676988.0,680391.0,652997.0,689504.0,676396.0,702534.0,694898.0,709231.0,628545.0,655999.0,719451.0,658444.0,671248.0,670848.0,676158.0,663042.0,684798.0,683224.0,687787.0,740960.0,730102.0,665669.0,567619.0,671359.0,681466.0,693114.0,702266.0,687811.0,721055.0,732536.0,706184.0,678792.0,708994.0,705041.0,706257.0,668960.0,688760.0,680478.0,687417.0,665340.0,719197.0,687497.0,613326.0,715511.0,688548.0,709108.0,708371.0,603457.0,144784.0
Kansas,5537.0,6409.0,6235.0,6376.0,6279.0,6311.0,6057.0,6396.0,6274.0,6516.0,6446.0,6579.0,5830.0,8319.0,9123.0,8350.0,8512.0,8507.0,8574.0,8408.0,8684.0,8664.0,8722.0,9396.0,9258.0,8441.0,7198.0,8513.0,8641.0,8789.0,8905.0,8722.0,9143.0,9289.0,8955.0,8608.0,8991.0,8940.0,8956.0,8483.0,8734.0,9528.0,9626.0,9316.0,10071.0,9627.0,8588.0,10019.0,9641.0,9929.0,8716.0,7425.0,1532.0
Kentucky Total,1912294.0,2271566.0,2209953.0,2260040.0,2225714.0,2236903.0,2146838.0,2266864.0,2223769.0,2309702.0,2284596.0,2331719.0,2066449.0,2135261.0,2341796.0,2143222.0,2184896.0,2183595.0,2200880.0,2158185.0,2229003.0,2223877.0,2238733.0,2411809.0,2376465.0,2166739.0,1847589.0,2185258.0,2218156.0,2256070.0,2285858.0,2238810.0,2347018.0,2384388.0,2298614.0,2209453.0,2307759.0,2294892.0,2298852.0,2177449.0,2241899.0,2244120.0,2267005.0,2194198.0,2371811.0,2267267.0,2022662.0,2359654.0,2270735.0,2338536.0,2265173.0,1929688.0,478289.0
Eastern,1468871.0,1731317.0,1684357.0,1722532.0,1696370.0,1704898.0,1636253.0,1727733.0,1694887.0,1760383.0,1741248.0,1777163.0,1574983.0,1602314.0,1757299.0,1608288.0,1639560.0,1638584.0,1651555.0,1619516.0,1672659.0,1668812.0,1679960.0,1809837.0,1783315.0,1625935.0,1386443.0,1639832.0,1664519.0,1692970.0,1715323.0,1680018.0,1761218.0,1789261.0,1724895.0,1657988.0,1731758.0,1722102.0,1725074.0,1633972.0,1682336.0,1650225.0,1667053.0,1613514.0,1744123.0,1667246.0,1487374.0,1735183.0,1669796.0,1719654.0,1669138.0,1421929.0,348056.0
Western,443423.0,540249.0,525596.0,537508.0,529344.0,532005.0,510585.0,539131.0,528882.0,549319.0,543348.0,554556.0,491466.0,532947.0,584497.0,534934.0,545336.0,545011.0,549325.0,538669.0,556344.0,555065.0,558773.0,601972.0,593150.0,540804.0,461146.0,545426.0,553637.0,563100.0,570535.0,558792.0,585800.0,595127.0,573719.0,551465.0,576001.0,572790.0,573778.0,543477.0,559563.0,593895.0,599952.0,580684.0,627688.0,600021.0,535288.0,624471.0,600939.0,618882.0,596035.0,507759.0,130233.0
Louisiana,61064.0,103802.0,82509.0,72247.0,25583.0,99301.0,86003.0,90189.0,97091.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,44037.0,89805.0,75365.0,79274.0,104686.0,87526.0,75460.0,105442.0,86305.0,103855.0,60758.0,90219.0,57000.0,73000.0,71000.0,101501.0,76650.0,47377.0,18512.0,18512.0,94939.0,91467.0,78290.0,88574.0,72471.0,85352.0,97370.0,97370.0,93758.0,75838.0,91000.0,75535.0,30594.0
Maryland,98699.0,115647.0,112511.0,115060.0,113313.0,113883.0,109297.0,115408.0,113214.0,117589.0,116311.0,118710.0,105205.0,95601.0,104848.0,95957.0,97823.0,97765.0,98539.0,96627.0,99798.0,99568.0,100233.0,107982.0,106400.0,97010.0,82721.0,97839.0,99312.0,101010.0,102343.0,100237.0,105081.0,106755.0,102914.0,98922.0,103324.0,102748.0,102925.0,97489.0,100375.0,71072.0,71796.0,69491.0,75116.0,71805.0,64058.0,74731.0,71915.0,74062.0,40543.0,34538.0,8691.0
Mississippi,45119.0,66217.0,54696.0,68163.0,44928.0,67751.0,71483.0,62742.0,80878.0,84641.0,59991.0,42223.0,95225.0,49748.0,86289.0,96684.0,96684.0,59757.0,59757.0,47992.0,47992.0,84959.0,84959.0,72723.0,66559.0,85536.0,85536.0,84491.0,63294.0,67389.0,83554.0,80384.0,80384.0,64000.0,64000.0,87042.0,34401.0,86617.0,86119.0,86119.0,61328.0,93487.0,70026.0,70026.0,80454.0,38609.0,38546.0,59455.0,81730.0,37432.0,72000.0,72000.0,19212.0
Missouri,3016.0,3490.0,3396.0,3473.0,3420.0,3437.0,3299.0,3483.0,3417.0,3549.0,3510.0,3583.0,3175.0,5553.0,6090.0,5573.0,5682.0,5678.0,5723.0,5612.0,5796.0,5783.0,5822.0,6272.0,6180.0,5634.0,4805.0,5683.0,5768.0,5867.0,5944.0,5822.0,6103.0,6200.0,5977.0,5746.0,6001.0,5968.0,5978.0,5662.0,5830.0,4416.0,4461.0,4318.0,4667.0,4462.0,3980.0,4644.0,4469.0,4602.0,4303.0,3665.0,799.0
Montana,586711.0,775159.0,754134.0,771225.0,759512.0,763330.0,732596.0,773554.0,758848.0,788172.0,779605.0,795685.0,705163.0,743510.0,815426.0,746282.0,760793.0,760339.0,766359.0,751492.0,776151.0,774366.0,779539.0,839805.0,827498.0,754470.0,643340.0,760919.0,772374.0,785576.0,795948.0,779566.0,817245.0,830257.0,800390.0,769344.0,803574.0,799094.0,800473.0,758200.0,780642.0,821012.0,829384.0,802748.0,867727.0,829480.0,739991.0,863280.0,830749.0,855554.0,867017.0,738606.0,212803.0
New Mexico,414505.0,490198.0,476902.0,487711.0,480303.0,482718.0,463282.0,489183.0,479884.0,498428.0,493010.0,503179.0,445934.0,464153.0,509048.0,465883.0,474942.0,474659.0,478417.0,469136.0,484530.0,483416.0,486645.0,524267.0,516585.0,470995.0,401620.0,475021.0,482172.0,490414.0,496889.0,486662.0,510184.0,518307.0,499662.0,480280.0,501650.0,498853.0,499713.0,473323.0,487333.0,476596.0,481456.0,465993.0,503714.0,481512.0,429563.0,501132.0,482248.0,496647.0,463871.0,395169.0,91821.0
North Dakota,499059.0,577616.0,561949.0,574685.0,565956.0,568802.0,545900.0,576420.0,565462.0,587313.0,580929.0,592911.0,525458.0,485032.0,531947.0,486841.0,496307.0,496011.0,499938.0,490240.0,506326.0,505162.0,508536.0,547851.0,539823.0,492183.0,419686.0,496389.0,503862.0,512475.0,519241.0,508554.0,533134.0,541622.0,522138.0,501885.0,524216.0,521293.0,522193.0,494615.0,509256.0,564092.0,569844.0,551543.0,596189.0,569910.0,508425.0,593133.0,570782.0,587825.0,580621.0,494627.0,106836.0
Ohio,396916.0,477070.0,464130.0,474649.0,467440.0,469790.0,450875.0,476083.0,467032.0,485079.0,479807.0,489703.0,433992.0,440757.0,483389.0,442400.0,451002.0,450734.0,454302.0,445489.0,460107.0,459049.0,462115.0,497841.0,490546.0,447255.0,381376.0,451077.0,457868.0,465694.0,471843.0,462132.0,484468.0,492181.0,474476.0,456072.0,476364.0,473708.0,474525.0,449465.0,462769.0,429780.0,434163.0,420219.0,454235.0,434213.0,387368.0,451906.0,434877.0,447862.0,458193.0,390332.0,92816.0
Oklahoma,34411.0,39828.0,38748.0,39626.0,39024.0,39220.0,37641.0,39745.0,38990.0,40497.0,40056.0,40883.0,36232.0,37121.0,40712.0,37260.0,37984.0,37962.0,38262.0,37520.0,38751.0,38662.0,38920.0,41929.0,41315.0,37669.0,32120.0,37991.0,38563.0,39222.0,39740.0,38922.0,40803.0,41452.0,39961.0,38411.0,40120.0,39897.0,39965.0,37855.0,38975.0,36961.0,37338.0,36139.0,39064.0,37342.0,33313.0,38864.0,37399.0,38516.0,36640.0,31213.0,7054.0
Pennsylvania Total,1018324.0,1199760.0,1167219.0,1193673.0,1175543.0,1181453.0,1133884.0,1197276.0,1174515.0,1219903.0,1206643.0,1231531.0,1091424.0,1129968.0,1239264.0,1134180.0,1156234.0,1155546.0,1164693.0,1142099.0,1179576.0,1176863.0,1184724.0,1276315.0,1257611.0,1146625.0,977732.0,1156425.0,1173835.0,1193899.0,1209663.0,1184765.0,1242028.0,1261804.0,1216412.0,1169230.0,1221253.0,1214443.0,1216539.0,1152293.0,1186400.0,1217203.0,1229616.0,1190126.0,1286462.0,1229758.0,1097085.0,1279868.0,1231639.0,1268414.0,1232879.0,1050283.0,245475.0
Anthracite,22776.0,26522.0,25803.0,26388.0,25987.0,26118.0,25066.0,26467.0,25964.0,26968.0,26675.0,27225.0,24127.0,25351.0,27803.0,25445.0,25940.0,25925.0,26130.0,25623.0,26464.0,26403.0,26579.0,28634.0,28214.0,25724.0,21935.0,25944.0,26335.0,26785.0,27139.0,26580.0,27865.0,28308.0,27290.0,26232.0,27399.0,27246.0,27293.0,25852.0,26617.0,33110.0,33448.0,32374.0,34994.0,33452.0,29843.0,34815.0,33503.0,34503.0,31161.0,26546.0,6204.0
Bituminous,995548.0,1173238.0,1141416.0,1167285.0,1149556.0,1155335.0,1108818.0,1170809.0,1148551.0,1192935.0,1179968.0,1204306.0,1067297.0,1104617.0,1211461.0,1108735.0,1130294.0,1129621.0,1138563.0,1116476.0,1153112.0,1150460.0,1158145.0,1247681.0,1229397.0,1120901.0,955797.0,1130481.0,1147500.0,1167114.0,1182524.0,1158185.0,1214163.0,1233496.0,1189122.0,1142998.0,1193854.0,1187197.0,1189246.0,1126441.0,1159783.0,1184093.0,1196168.0,1157752.0,1251468.0,1196306.0,1067242.0,1245053.0,1198136.0,1233911.0,1201718.0,1023737.0,239271.0
Tennessee,48034.0,55595.0,54087.0,55313.0,54473.0,54747.0,52542.0,55480.0,54425.0,56528.0,55914.0,57067.0,50575.0,51991.0,57020.0,52185.0,53199.0,53168.0,53589.0,52549.0,54273.0,54148.0,54510.0,58724.0,57864.0,52757.0,44986.0,53208.0,54009.0,54932.0,55658.0,54512.0,57147.0,58057.0,55968.0,53797.0,56191.0,55878.0,55974.0,53018.0,54587.0,48773.0,49271.0,47688.0,51549.0,49276.0,43960.0,51284.0,49352.0,50825.0,47773.0,40698.0,10244.0
Texas,659258.0,876436.0,852664.0,871989.0,858745.0,863062.0,828312.0,874622.0,857994.0,891150.0,881463.0,899645.0,797296.0,847408.0,929374.0,850567.0,867106.0,866590.0,873450.0,856506.0,884611.0,882577.0,888472.0,957160.0,943133.0,859900.0,733241.0,867250.0,880306.0,895353.0,907175.0,888503.0,931447.0,946278.0,912237.0,876852.0,915866.0,910760.0,912331.0,864151.0,889729.0,843614.0,852217.0,824848.0,891616.0,852316.0,760363.0,887046.0,853619.0,879108.0,838095.0,713968.0,203248.0
Utah,373186.0,444405.0,432351.0,442150.0,435435.0,437624.0,420004.0,443485.0,435054.0,451866.0,446954.0,456173.0,404276.0,428945.0,470435.0,430544.0,438916.0,438654.0,442127.0,433550.0,447776.0,446747.0,449731.0,484499.0,477399.0,435268.0,371155.0,438988.0,445597.0,453214.0,459198.0,449746.0,471484.0,478991.0,461760.0,443849.0,463597.0,461012.0,461808.0,437420.0,450367.0,455168.0,459809.0,445042.0,481067.0,459862.0,410250.0,478601.0,460566.0,474318.0,436436.0,371797.0,95590.0
Virginia,483276.0,582428.0,566630.0,579472.0,570671.0,573540.0,550448.0,581222.0,570173.0,592206.0,585769.0,597851.0,529836.0,530555.0,581874.0,532533.0,542888.0,542565.0,546860.0,536251.0,553848.0,552574.0,556265.0,599270.0,590488.0,538377.0,459076.0,542978.0,551153.0,560573.0,567975.0,556285.0,583171.0,592457.0,571144.0,548990.0,573417.0,570219.0,571203.0,541038.0,557052.0,538030.0,543517.0,526061.0,568644.0,543580.0,484935.0,565729.0,544411.0,560667.0,487314.0,415140.0,104183.0
Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Virginia Total,2449599.0,2941499.0,2861716.0,2926574.0,2882125.0,2896615.0,2779988.0,2935411.0,2879606.0,2990883.0,2958373.0,3019394.0,2675889.0,2727997.0,2991864.0,2738168.0,2791410.0,2789747.0,2811832.0,2757285.0,2847762.0,2841213.0,2860192.0,3081313.0,3036159.0,2768213.0,2360469.0,2791872.0,2833904.0,2882342.0,2920400.0,2860292.0,2998537.0,3046281.0,2936695.0,2822785.0,2948380.0,2931941.0,2937000.0,2781896.0,2864238.0,2879936.0,2909306.0,2815870.0,3043806.0,2909642.0,2595733.0,3028204.0,2914091.0,3001104.0,2957199.0,2519219.0,625524.0
